Language_ID,Feature_ID,Value
Akha_akha1245,1pl,sinotibetan.1pl.0004
Akha_akha1245,1pl,sinotibetan.1pl.0004
AmdoTibetan_amdo1237,1pl,sinotibetan.1pl.0005
AmriKarbi_amri1238,1pl,sinotibetan.1pl.0004
Anu-Hkongso_anuu1241,1pl,sinotibetan.1pl.0003
Anu-Hkongso_anuu1241,1pl,sinotibetan.1pl.0020
Apatani_apat1240,1pl,?
Athpariya_athp1241,1pl,sinotibetan.1pl.0005
AtongIndia_aton1241,1pl,sinotibetan.1pl.0001
Bahing_bahi1252,1pl,sinotibetan.1pl.0006
Baima_baim1244,1pl,sinotibetan.1pl.0002
Baima_baim1244,1pl,sinotibetan.1pl.0005
Baima_baim1244,1pl,sinotibetan.1pl.0006
Baima_baim1244,1pl,sinotibetan.1pl.0011
Balti_balt1258,1pl,sinotibetan.1pl.0002
Balti_balt1258,1pl,sinotibetan.1pl.0002
Bantawa_bant1281,1pl,sinotibetan.1pl.0004
BawmChin_bawm1236,1pl,sinotibetan.1pl.0004
Bisu_bisu1244,1pl,sinotibetan.1pl.0007
Biyo_biyo1243,1pl,sinotibetan.1pl.0005
Biyo_biyo1243,1pl,sinotibetan.1pl.0005
Biyo_biyo1243,1pl,sinotibetan.1pl.0024
Bodo-Mech_bodo1269,1pl,sinotibetan.1pl.0003
Bori-Karko_bori1243,1pl,sinotibetan.1pl.0006
Bugun_bugu1246,1pl,sinotibetan.1pl.0002
Bujhyal_bujh1238,1pl,sinotibetan.1pl.0005
Bunan_gahr1239,1pl,sinotibetan.1pl.0004
Burmese_nucl1310,1pl,sinotibetan.1pl.0002
Burmese_nucl1310,1pl,sinotibetan.1pl.0002
BweKaren_bwek1238,1pl,sinotibetan.1pl.0007
Byangsi_byan1241,1pl,sinotibetan.1pl.0003
Camling_caml1239,1pl,sinotibetan.1pl.0007
CentralBai_cent2004,1pl,sinotibetan.1pl.0005
CentralBai_cent2004,1pl,sinotibetan.1pl.0005
CentralBai_cent2004,1pl,sinotibetan.1pl.0005
CentralBai_cent2004,1pl,sinotibetan.1pl.0005
CentralBai_cent2004,1pl,sinotibetan.1pl.0005
CentralBai_cent2004,1pl,sinotibetan.1pl.0005
CentralBai_cent2004,1pl,sinotibetan.1pl.0005
CentralBai_cent2004,1pl,sinotibetan.1pl.0005
CentralBai_cent2004,1pl,sinotibetan.1pl.0005
CentralBai_cent2004,1pl,sinotibetan.1pl.0005
CentralBai_cent2004,1pl,sinotibetan.1pl.0005
CentralBai_cent2004,1pl,sinotibetan.1pl.0005
CentralBai_cent2004,1pl,sinotibetan.1pl.0013
ChangNaga_chan1313,1pl,sinotibetan.1pl.0003
ChangNaga_chan1313,1pl,sinotibetan.1pl.0011
Chantyal_chan1310,1pl,sinotibetan.1pl.0005
Chaudangsi_chau1259,1pl,sinotibetan.1pl.0004
Chaudangsi_chau1259,1pl,sinotibetan.1pl.0006
Chepang_chep1245,1pl,sinotibetan.1pl.0005
Chintang_chhi1245,1pl,sinotibetan.1pl.0005
ChokriNaga_chok1243,1pl,?
Chothe_chot1239,1pl,sinotibetan.1pl.0005
Chothe_chot1239,1pl,sinotibetan.1pl.0010
Darma_darm1243,1pl,sinotibetan.1pl.0005
Deori_deor1238,1pl,sinotibetan.1pl.0009
Deori_deor1238,1pl,sinotibetan.1pl.0020
Dhimal_dhim1246,1pl,sinotibetan.1pl.0010
Dimasa_dima1251,1pl,sinotibetan.1pl.0011
Drung_drun1238,1pl,sinotibetan.1pl.0003
Drung_drun1238,1pl,sinotibetan.1pl.0008
Dumi_dumi1241,1pl,sinotibetan.1pl.0005
Dungan_dung1253,1pl,sinotibetan.1pl.0004
Dungan_dung1253,1pl,sinotibetan.1pl.0004
Dzongkha_dzon1239,1pl,sinotibetan.1pl.0002
East-CentralTangkhulNaga_tang1336,1pl,sinotibetan.1pl.0002
EasternGorkhaTamang_east2346,1pl,sinotibetan.1pl.0005
EasternKayah_east2342,1pl,?
EasternMagar_east2352,1pl,sinotibetan.1pl.0010
EasternPuroik_sulu1241,1pl,sinotibetan.1pl.0004
EasternPuroik_sulu1241,1pl,sinotibetan.1pl.0004
EasternTamang_east2347,1pl,sinotibetan.1pl.0005
Enu_enuu1235,1pl,sinotibetan.1pl.0002
Galo_galo1242,1pl,sinotibetan.1pl.0001
Galo_galo1242,1pl,sinotibetan.1pl.0001
GamaleKham_gama1251,1pl,sinotibetan.1pl.0007
GanChinese_ganc1239,1pl,sinotibetan.1pl.0002
GanChinese_ganc1239,1pl,sinotibetan.1pl.0002
GanChinese_ganc1239,1pl,sinotibetan.1pl.0002
GanChinese_ganc1239,1pl,sinotibetan.1pl.0002
GanChinese_ganc1239,1pl,sinotibetan.1pl.0004
GanChinese_ganc1239,1pl,sinotibetan.1pl.0006
GanChinese_ganc1239,1pl,sinotibetan.1pl.0006
GanChinese_ganc1239,1pl,sinotibetan.1pl.0006
GanChinese_ganc1239,1pl,sinotibetan.1pl.0008
Garo_garo1247,1pl,?
GebaKaren_geba1237,1pl,sinotibetan.1pl.0014
Gurung_guru1261,1pl,sinotibetan.1pl.0005
Gurung_guru1261,1pl,sinotibetan.1pl.0005
Gurung_guru1261,1pl,sinotibetan.1pl.0005
HakaChin_haka1240,1pl,sinotibetan.1pl.0004
HakkaChinese_hakk1236,1pl,sinotibetan.1pl.0001
HakkaChinese_hakk1236,1pl,sinotibetan.1pl.0001
HakkaChinese_hakk1236,1pl,sinotibetan.1pl.0001
HakkaChinese_hakk1236,1pl,sinotibetan.1pl.0001
HakkaChinese_hakk1236,1pl,sinotibetan.1pl.0001
HakkaChinese_hakk1236,1pl,sinotibetan.1pl.0001
HakkaChinese_hakk1236,1pl,sinotibetan.1pl.0001
HakkaChinese_hakk1236,1pl,sinotibetan.1pl.0001
HakkaChinese_hakk1236,1pl,sinotibetan.1pl.0002
HakkaChinese_hakk1236,1pl,sinotibetan.1pl.0002
HakkaChinese_hakk1236,1pl,sinotibetan.1pl.0002
HakkaChinese_hakk1236,1pl,sinotibetan.1pl.0002
HakkaChinese_hakk1236,1pl,sinotibetan.1pl.0002
HakkaChinese_hakk1236,1pl,sinotibetan.1pl.0002
HakkaChinese_hakk1236,1pl,sinotibetan.1pl.0006
Hani_hani1248,1pl,sinotibetan.1pl.0002
Hani_hani1248,1pl,sinotibetan.1pl.0005
HillsKarbi_karb1241,1pl,sinotibetan.1pl.0002
HillsKarbi_karb1241,1pl,sinotibetan.1pl.0004
Honi_honi1244,1pl,sinotibetan.1pl.0002
Honi_honi1244,1pl,sinotibetan.1pl.0002
Honi_honi1244,1pl,sinotibetan.1pl.0002
Hrangkhol_hran1239,1pl,?
HuiChinese_huiz1242,1pl,sinotibetan.1pl.0003
HuiChinese_huiz1242,1pl,sinotibetan.1pl.0004
Idu_idum1241,1pl,sinotibetan.1pl.0004
Jerung_jeru1240,1pl,sinotibetan.1pl.0003
Jerung_jeru1240,1pl,sinotibetan.1pl.0005
JinyuChinese_jiny1235,1pl,sinotibetan.1pl.0002
JinyuChinese_jiny1235,1pl,sinotibetan.1pl.0004
JinyuChinese_jiny1235,1pl,sinotibetan.1pl.0004
JinyuChinese_jiny1235,1pl,sinotibetan.1pl.0004
JinyuChinese_jiny1235,1pl,sinotibetan.1pl.0005
Jirel_jire1238,1pl,sinotibetan.1pl.0004
Kachari_kach1279,1pl,sinotibetan.1pl.0003
Kagate_kaga1252,1pl,sinotibetan.1pl.0005
Kaike_kaik1246,1pl,sinotibetan.1pl.0004
Kanashi_kana1283,1pl,sinotibetan.1pl.0005
Kanashi_kana1283,1pl,sinotibetan.1pl.0005
KathmanduValleyNewari_newa1246,1pl,sinotibetan.1pl.0002
KathmanduValleyNewari_newa1246,1pl,sinotibetan.1pl.0002
KathmanduValleyNewari_newa1246,1pl,sinotibetan.1pl.0008
Katso_kats1235,1pl,sinotibetan.1pl.0002
KayanLahwi_kaya1315,1pl,?
Khaling_khal1275,1pl,sinotibetan.1pl.0008
Khaling_khal1275,1pl,sinotibetan.1pl.0016
KhamsTibetan_kham1282,1pl,?
Kinnauri_kinn1249,1pl,sinotibetan.1pl.0001
Kman_miju1243,1pl,?
Koch_koch1250,1pl,sinotibetan.1pl.0005
Koireng_koir1240,1pl,sinotibetan.1pl.0001
Koireng_koir1240,1pl,sinotibetan.1pl.0005
KonyakNaga_kony1248,1pl,sinotibetan.1pl.0004
KulungNepal_kulu1253,1pl,sinotibetan.1pl.0008
Kuno-Charang_tukp1239,1pl,sinotibetan.1pl.0008
Kurtokha_kurt1248,1pl,sinotibetan.1pl.0002
Kyerung_kyer1238,1pl,sinotibetan.1pl.0006
Kyerung_kyer1238,1pl,sinotibetan.1pl.0025
Lahu_lahu1253,1pl,sinotibetan.1pl.0002
Lamjung-MelamchiYolmo_hela1238,1pl,sinotibetan.1pl.0004
Lamjung-MelamchiYolmo_hela1238,1pl,sinotibetan.1pl.0008
Lashi_lash1243,1pl,sinotibetan.1pl.0001
LehLadakhi_lada1244,1pl,sinotibetan.1pl.0002
LeinongNaga_lein1237,1pl,sinotibetan.1pl.0004
Lepcha_lepc1244,1pl,?
Lhomi_lhom1239,1pl,sinotibetan.1pl.0002
Lhomi_lhom1239,1pl,sinotibetan.1pl.0011
LiangmaiNaga_lian1251,1pl,sinotibetan.1pl.0006
Limbu_limb1266,1pl,sinotibetan.1pl.0005
Limbu_limb1266,1pl,sinotibetan.1pl.0017
Lisu_lisu1250,1pl,?
Lolopo_lolo1259,1pl,?
LongchuanAchang_acha1249,1pl,sinotibetan.1pl.0002
LongchuanAchang_acha1249,1pl,sinotibetan.1pl.0002
LothaNaga_loth1237,1pl,sinotibetan.1pl.0001
Lowa_lowa1242,1pl,sinotibetan.1pl.0004
Lowa_lowa1242,1pl,sinotibetan.1pl.0004
Manange_mana1288,1pl,sinotibetan.1pl.0005
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0001
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0002
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0002
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0002
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0002
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0003
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0003
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0003
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0003
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0003
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0003
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0003
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
MandarinChinese_mand1415,1pl,sinotibetan.1pl.0004
