Language_ID,Feature_ID,Value
Berik_beri1254,1pl,tororya.1pl.0002
Berik_beri1254,1pl,tororya.1pl.0005
Betaf_beta1253,1pl,tororya.1pl.0003
Bonerif_bone1255,1pl,tororya.1pl.0001
Dabe_dabe1239,1pl,tororya.1pl.0001
Itik_itik1240,1pl,tororya.1pl.0005
Jofotek-Bromnya_jofo1235,1pl,tororya.1pl.0006
Keder_kede1239,1pl,tororya.1pl.0003
Kwesten_kwes1245,1pl,tororya.1pl.0007
Kwinsu_kwin1242,1pl,tororya.1pl.0008
Mander_mand1443,1pl,tororya.1pl.0009
Maremgi_mare1261,1pl,tororya.1pl.0004
Orya_orya1242,1pl,tororya.1pl.0010
Vitou_vito1235,1pl,tororya.1pl.0011
Berik_beri1254,1sg,tororya.1sg.0012
Berik_beri1254,1sg,tororya.1sg.0016
Betaf_beta1253,1sg,tororya.1sg.0012
Bonerif_bone1255,1sg,tororya.1sg.0012
Dabe_dabe1239,1sg,tororya.1sg.0012
Itik_itik1240,1sg,tororya.1sg.0012
Jofotek-Bromnya_jofo1235,1sg,tororya.1sg.0014
Keder_kede1239,1sg,tororya.1sg.0012
Kwesten_kwes1245,1sg,tororya.1sg.0012
Kwinsu_kwin1242,1sg,tororya.1sg.0015
Mander_mand1443,1sg,tororya.1sg.0012
Maremgi_mare1261,1sg,tororya.1sg.0013
Orya_orya1242,1sg,tororya.1sg.0012
Vitou_vito1235,1sg,tororya.1sg.0012
Berik_beri1254,2sg,tororya.2sg.0017
Berik_beri1254,2sg,tororya.2sg.0018
Betaf_beta1253,2sg,tororya.2sg.0018
Bonerif_bone1255,2sg,tororya.2sg.0017
Dabe_dabe1239,2sg,tororya.2sg.0019
Itik_itik1240,2sg,tororya.2sg.0018
Jofotek-Bromnya_jofo1235,2sg,tororya.2sg.0018
Keder_kede1239,2sg,tororya.2sg.0021
Kwesten_kwes1245,2sg,tororya.2sg.0018
Kwinsu_kwin1242,2sg,tororya.2sg.0022
Mander_mand1443,2sg,tororya.2sg.0018
Maremgi_mare1261,2sg,tororya.2sg.0020
Orya_orya1242,2sg,tororya.2sg.0017
Vitou_vito1235,2sg,tororya.2sg.0018
Berik_beri1254,blood,tororya.blood.0024
Betaf_beta1253,blood,tororya.blood.0025
Bonerif_bone1255,blood,tororya.blood.0023
Dabe_dabe1239,blood,tororya.blood.0025
Itik_itik1240,blood,tororya.blood.0027
Itik_itik1240,blood,tororya.blood.0030
Jofotek-Bromnya_jofo1235,blood,tororya.blood.0027
Keder_kede1239,blood,tororya.blood.0023
Keder_kede1239,blood,tororya.blood.0028
Kwesten_kwes1245,blood,tororya.blood.0028
Kwinsu_kwin1242,blood,tororya.blood.0025
Mander_mand1443,blood,tororya.blood.0027
Maremgi_mare1261,blood,tororya.blood.0026
Orya_orya1242,blood,tororya.blood.0029
Vitou_vito1235,blood,tororya.blood.0023
Berik_beri1254,bone,tororya.bone.0031
Betaf_beta1253,bone,tororya.bone.0031
Bonerif_bone1255,bone,tororya.bone.0031
Dabe_dabe1239,bone,tororya.bone.0031
Itik_itik1240,bone,tororya.bone.0031
Itik_itik1240,bone,tororya.bone.0031
Jofotek-Bromnya_jofo1235,bone,tororya.bone.0031
Keder_kede1239,bone,tororya.bone.0031
Kwesten_kwes1245,bone,tororya.bone.0031
Kwinsu_kwin1242,bone,tororya.bone.0032
Mander_mand1443,bone,tororya.bone.0031
Maremgi_mare1261,bone,tororya.bone.0031
Orya_orya1242,bone,tororya.bone.0032
Vitou_vito1235,bone,tororya.bone.0031
Berik_beri1254,breast,tororya.breast.0033
Betaf_beta1253,breast,tororya.breast.0033
Bonerif_bone1255,breast,tororya.breast.0033
Dabe_dabe1239,breast,tororya.breast.0033
Itik_itik1240,breast,tororya.breast.0033
Itik_itik1240,breast,tororya.breast.0033
Jofotek-Bromnya_jofo1235,breast,tororya.breast.0033
Keder_kede1239,breast,tororya.breast.0033
Kwesten_kwes1245,breast,tororya.breast.0033
Kwinsu_kwin1242,breast,tororya.breast.0033
Mander_mand1443,breast,tororya.breast.0034
Maremgi_mare1261,breast,tororya.breast.0033
Orya_orya1242,breast,tororya.breast.0033
Vitou_vito1235,breast,tororya.breast.0033
Berik_beri1254,come,tororya.come.0036
Betaf_beta1253,come,tororya.come.0035
Bonerif_bone1255,come,tororya.come.0035
Dabe_dabe1239,come,tororya.come.0035
Itik_itik1240,come,tororya.come.0038
Jofotek-Bromnya_jofo1235,come,tororya.come.0039
Keder_kede1239,come,tororya.come.0035
Kwesten_kwes1245,come,tororya.come.0035
Kwinsu_kwin1242,come,tororya.come.0035
Mander_mand1443,come,tororya.come.0040
Maremgi_mare1261,come,tororya.come.0037
Orya_orya1242,come,tororya.come.0041
Vitou_vito1235,come,tororya.come.0035
Berik_beri1254,die,tororya.die.0043
Betaf_beta1253,die,tororya.die.0043
Bonerif_bone1255,die,tororya.die.0042
Dabe_dabe1239,die,tororya.die.0043
Itik_itik1240,die,tororya.die.0042
Itik_itik1240,die,tororya.die.0042
Jofotek-Bromnya_jofo1235,die,tororya.die.0042
Keder_kede1239,die,tororya.die.0043
Kwesten_kwes1245,die,tororya.die.0043
Kwinsu_kwin1242,die,tororya.die.0043
Mander_mand1443,die,tororya.die.0042
Maremgi_mare1261,die,tororya.die.0042
Orya_orya1242,die,tororya.die.0043
Vitou_vito1235,die,tororya.die.0043
Vitou_vito1235,die,tororya.die.0043
Berik_beri1254,dog,tororya.dog.0045
Betaf_beta1253,dog,tororya.dog.0044
Bonerif_bone1255,dog,tororya.dog.0044
Dabe_dabe1239,dog,tororya.dog.0044
Itik_itik1240,dog,?
Jofotek-Bromnya_jofo1235,dog,tororya.dog.0047
Keder_kede1239,dog,tororya.dog.0044
Kwesten_kwes1245,dog,tororya.dog.0048
Kwinsu_kwin1242,dog,tororya.dog.0044
Mander_mand1443,dog,?
Maremgi_mare1261,dog,tororya.dog.0046
Orya_orya1242,dog,tororya.dog.0049
Vitou_vito1235,dog,tororya.dog.0044
Berik_beri1254,drink,tororya.drink.0050
Betaf_beta1253,drink,tororya.drink.0050
Bonerif_bone1255,drink,tororya.drink.0050
Dabe_dabe1239,drink,tororya.drink.0050
Itik_itik1240,drink,tororya.drink.0050
Itik_itik1240,drink,tororya.drink.0050
Jofotek-Bromnya_jofo1235,drink,tororya.drink.0050
Keder_kede1239,drink,tororya.drink.0050
Kwesten_kwes1245,drink,tororya.drink.0051
Kwinsu_kwin1242,drink,tororya.drink.0050
Mander_mand1443,drink,tororya.drink.0050
Maremgi_mare1261,drink,tororya.drink.0050
Orya_orya1242,drink,tororya.drink.0052
