Language_ID,Feature_ID,Value
Ipiko_ipik1244,1pl,anim.1pl.0001
Makayam_maka1315,1pl,anim.1pl.0003
Marind_nucl1622,1pl,anim.1pl.0004
Minanibai-FoiaFoia_mina1274,1pl,anim.1pl.0001
Mubami_muba1238,1pl,anim.1pl.0001
Warkay-Bipim_wark1247,1pl,?
Yaqay_yaqa1246,1pl,anim.1pl.0002
Ipiko_ipik1244,1sg,anim.1sg.0005
Ipiko_ipik1244,1sg,anim.1sg.0010
Makayam_maka1315,1sg,anim.1sg.0007
Marind_nucl1622,1sg,anim.1sg.0006
Minanibai-FoiaFoia_mina1274,1sg,anim.1sg.0008
Mubami_muba1238,1sg,anim.1sg.0008
Mubami_muba1238,1sg,anim.1sg.0008
Mubami_muba1238,1sg,anim.1sg.0011
Warkay-Bipim_wark1247,1sg,anim.1sg.0009
Yaqay_yaqa1246,1sg,anim.1sg.0006
Ipiko_ipik1244,2sg,anim.2sg.0012
Makayam_maka1315,2sg,anim.2sg.0014
Marind_nucl1622,2sg,anim.2sg.0015
Minanibai-FoiaFoia_mina1274,2sg,anim.2sg.0012
Mubami_muba1238,2sg,anim.2sg.0012
Mubami_muba1238,2sg,anim.2sg.0012
Mubami_muba1238,2sg,anim.2sg.0016
Warkay-Bipim_wark1247,2sg,?
Yaqay_yaqa1246,2sg,anim.2sg.0013
Ipiko_ipik1244,blood,anim.blood.0017
Makayam_maka1315,blood,anim.blood.0019
Marind_nucl1622,blood,anim.blood.0020
Minanibai-FoiaFoia_mina1274,blood,anim.blood.0021
Mubami_muba1238,blood,anim.blood.0022
Mubami_muba1238,blood,anim.blood.0022
Warkay-Bipim_wark1247,blood,anim.blood.0018
Yaqay_yaqa1246,blood,anim.blood.0018
Yaqay_yaqa1246,blood,anim.blood.0018
Ipiko_ipik1244,bone,anim.bone.0023
Makayam_maka1315,bone,anim.bone.0025
Marind_nucl1622,bone,anim.bone.0026
Minanibai-FoiaFoia_mina1274,bone,anim.bone.0027
Mubami_muba1238,bone,anim.bone.0028
Mubami_muba1238,bone,anim.bone.0028
Warkay-Bipim_wark1247,bone,anim.bone.0029
Yaqay_yaqa1246,bone,anim.bone.0024
Yaqay_yaqa1246,bone,anim.bone.0030
Ipiko_ipik1244,breast,anim.breast.0031
Makayam_maka1315,breast,anim.breast.0033
Marind_nucl1622,breast,anim.breast.0032
Marind_nucl1622,breast,anim.breast.0036
Minanibai-FoiaFoia_mina1274,breast,anim.breast.0034
Mubami_muba1238,breast,anim.breast.0035
Mubami_muba1238,breast,anim.breast.0035
Warkay-Bipim_wark1247,breast,anim.breast.0032
Yaqay_yaqa1246,breast,anim.breast.0032
Yaqay_yaqa1246,breast,anim.breast.0032
Ipiko_ipik1244,come,anim.come.0037
Makayam_maka1315,come,anim.come.0039
Marind_nucl1622,come,anim.come.0040
Minanibai-FoiaFoia_mina1274,come,anim.come.0041
Mubami_muba1238,come,anim.come.0042
Mubami_muba1238,come,anim.come.0043
Warkay-Bipim_wark1247,come,anim.come.0044
Yaqay_yaqa1246,come,anim.come.0038
Yaqay_yaqa1246,come,anim.come.0045
Ipiko_ipik1244,die,anim.die.0046
Makayam_maka1315,die,?
Marind_nucl1622,die,anim.die.0048
Minanibai-FoiaFoia_mina1274,die,anim.die.0049
Mubami_muba1238,die,anim.die.0050
Mubami_muba1238,die,anim.die.0051
Mubami_muba1238,die,anim.die.0053
Warkay-Bipim_wark1247,die,?
Yaqay_yaqa1246,die,anim.die.0047
Yaqay_yaqa1246,die,anim.die.0052
Ipiko_ipik1244,dog,anim.dog.0054
Makayam_maka1315,dog,anim.dog.0056
Marind_nucl1622,dog,anim.dog.0057
Minanibai-FoiaFoia_mina1274,dog,anim.dog.0055
Mubami_muba1238,dog,anim.dog.0055
Mubami_muba1238,dog,anim.dog.0055
Warkay-Bipim_wark1247,dog,anim.dog.0058
Yaqay_yaqa1246,dog,anim.dog.0055
Yaqay_yaqa1246,dog,anim.dog.0055
Ipiko_ipik1244,drink,anim.drink.0059
Makayam_maka1315,drink,anim.drink.0060
Marind_nucl1622,drink,anim.drink.0061
Minanibai-FoiaFoia_mina1274,drink,anim.drink.0062
Mubami_muba1238,drink,anim.drink.0063
Mubami_muba1238,drink,anim.drink.0063
Mubami_muba1238,drink,anim.drink.0065
Warkay-Bipim_wark1247,drink,?
Yaqay_yaqa1246,drink,anim.drink.0064
Ipiko_ipik1244,ear,anim.ear.0066
Makayam_maka1315,ear,anim.ear.0068
Marind_nucl1622,ear,anim.ear.0069
Minanibai-FoiaFoia_mina1274,ear,anim.ear.0070
Mubami_muba1238,ear,anim.ear.0068
Mubami_muba1238,ear,anim.ear.0068
Warkay-Bipim_wark1247,ear,anim.ear.0071
Yaqay_yaqa1246,ear,anim.ear.0067
Yaqay_yaqa1246,ear,anim.ear.0067
Ipiko_ipik1244,eye,anim.eye.0072
Makayam_maka1315,eye,anim.eye.0074
Marind_nucl1622,eye,anim.eye.0075
Minanibai-FoiaFoia_mina1274,eye,anim.eye.0072
Mubami_muba1238,eye,anim.eye.0072
Mubami_muba1238,eye,anim.eye.0072
Warkay-Bipim_wark1247,eye,anim.eye.0076
Yaqay_yaqa1246,eye,anim.eye.0073
Yaqay_yaqa1246,eye,anim.eye.0073
Ipiko_ipik1244,fire,anim.fire.0077
Makayam_maka1315,fire,anim.fire.0079
Marind_nucl1622,fire,anim.fire.0080
Minanibai-FoiaFoia_mina1274,fire,anim.fire.0081
Minanibai-FoiaFoia_mina1274,fire,anim.fire.0084
Mubami_muba1238,fire,anim.fire.0082
Mubami_muba1238,fire,anim.fire.0082
Warkay-Bipim_wark1247,fire,anim.fire.0083
Yaqay_yaqa1246,fire,anim.fire.0078
Yaqay_yaqa1246,fire,anim.fire.0078
Ipiko_ipik1244,fish,anim.fish.0085
Makayam_maka1315,fish,anim.fish.0087
Marind_nucl1622,fish,anim.fish.0088
Minanibai-FoiaFoia_mina1274,fish,anim.fish.0087
Mubami_muba1238,fish,anim.fish.0087
Mubami_muba1238,fish,anim.fish.0089
Warkay-Bipim_wark1247,fish,anim.fish.0090
Yaqay_yaqa1246,fish,anim.fish.0086
Yaqay_yaqa1246,fish,anim.fish.0086
Ipiko_ipik1244,full,anim.full.0091
Makayam_maka1315,full,anim.full.0093
Marind_nucl1622,full,?
Minanibai-FoiaFoia_mina1274,full,anim.full.0094
Mubami_muba1238,full,anim.full.0093
Mubami_muba1238,full,anim.full.0093
Warkay-Bipim_wark1247,full,?
Yaqay_yaqa1246,full,anim.full.0092
Ipiko_ipik1244,hand,anim.hand.0095
Makayam_maka1315,hand,?
Marind_nucl1622,hand,anim.hand.0097
Minanibai-FoiaFoia_mina1274,hand,anim.hand.0098
Mubami_muba1238,hand,anim.hand.0099
Warkay-Bipim_wark1247,hand,anim.hand.0100
Yaqay_yaqa1246,hand,anim.hand.0096
Ipiko_ipik1244,hear,anim.hear.0101
Makayam_maka1315,hear,?
Marind_nucl1622,hear,anim.hear.0103
Minanibai-FoiaFoia_mina1274,hear,anim.hear.0104
