Language_ID,Feature_ID,Value
CentralAymara_cent2142,1pl,aymaran.1pl.0001
CentralAymara_cent2142,1pl,aymaran.1pl.0002
CentralAymara_cent2142,1pl,aymaran.1pl.0002
CentralAymara_cent2142,1pl,aymaran.1pl.0002
Jaqaru_jaqa1244,1pl,aymaran.1pl.0002
Jaqaru_jaqa1244,1pl,aymaran.1pl.0002
SouthernAymara_sout2996,1pl,aymaran.1pl.0002
SouthernAymara_sout2996,1pl,aymaran.1pl.0002
CentralAymara_cent2142,1sg,aymaran.1sg.0003
Jaqaru_jaqa1244,1sg,aymaran.1sg.0003
SouthernAymara_sout2996,1sg,aymaran.1sg.0003
CentralAymara_cent2142,2sg,aymaran.2sg.0004
CentralAymara_cent2142,2sg,aymaran.2sg.0004
CentralAymara_cent2142,2sg,aymaran.2sg.0004
Jaqaru_jaqa1244,2sg,aymaran.2sg.0004
Jaqaru_jaqa1244,2sg,aymaran.2sg.0004
SouthernAymara_sout2996,2sg,aymaran.2sg.0004
SouthernAymara_sout2996,2sg,aymaran.2sg.0004
CentralAymara_cent2142,blood,aymaran.blood.0005
CentralAymara_cent2142,blood,aymaran.blood.0005
CentralAymara_cent2142,blood,aymaran.blood.0005
Jaqaru_jaqa1244,blood,aymaran.blood.0005
Jaqaru_jaqa1244,blood,aymaran.blood.0005
SouthernAymara_sout2996,blood,aymaran.blood.0005
SouthernAymara_sout2996,blood,aymaran.blood.0005
CentralAymara_cent2142,bone,aymaran.bone.0006
CentralAymara_cent2142,bone,aymaran.bone.0006
CentralAymara_cent2142,bone,aymaran.bone.0006
Jaqaru_jaqa1244,bone,aymaran.bone.0006
Jaqaru_jaqa1244,bone,aymaran.bone.0006
SouthernAymara_sout2996,bone,aymaran.bone.0006
SouthernAymara_sout2996,bone,aymaran.bone.0006
CentralAymara_cent2142,breast,aymaran.breast.0007
CentralAymara_cent2142,breast,aymaran.breast.0007
CentralAymara_cent2142,breast,aymaran.breast.0007
Jaqaru_jaqa1244,breast,aymaran.breast.0007
Jaqaru_jaqa1244,breast,aymaran.breast.0007
SouthernAymara_sout2996,breast,aymaran.breast.0007
CentralAymara_cent2142,come,aymaran.come.0008
CentralAymara_cent2142,come,aymaran.come.0008
CentralAymara_cent2142,come,aymaran.come.0008
Jaqaru_jaqa1244,come,aymaran.come.0009
Jaqaru_jaqa1244,come,aymaran.come.0009
Jaqaru_jaqa1244,come,aymaran.come.0009
SouthernAymara_sout2996,come,aymaran.come.0008
SouthernAymara_sout2996,come,aymaran.come.0008
CentralAymara_cent2142,die,aymaran.die.0010
CentralAymara_cent2142,die,aymaran.die.0010
CentralAymara_cent2142,die,aymaran.die.0010
Jaqaru_jaqa1244,die,aymaran.die.0010
Jaqaru_jaqa1244,die,aymaran.die.0010
Jaqaru_jaqa1244,die,aymaran.die.0011
SouthernAymara_sout2996,die,aymaran.die.0010
SouthernAymara_sout2996,die,aymaran.die.0010
CentralAymara_cent2142,dog,aymaran.dog.0012
CentralAymara_cent2142,dog,aymaran.dog.0012
CentralAymara_cent2142,dog,aymaran.dog.0012
CentralAymara_cent2142,dog,aymaran.dog.0013
Jaqaru_jaqa1244,dog,aymaran.dog.0014
Jaqaru_jaqa1244,dog,aymaran.dog.0015
SouthernAymara_sout2996,dog,aymaran.dog.0013
CentralAymara_cent2142,drink,aymaran.drink.0016
CentralAymara_cent2142,drink,aymaran.drink.0016
CentralAymara_cent2142,drink,aymaran.drink.0016
Jaqaru_jaqa1244,drink,aymaran.drink.0016
Jaqaru_jaqa1244,drink,aymaran.drink.0016
Jaqaru_jaqa1244,drink,aymaran.drink.0017
SouthernAymara_sout2996,drink,aymaran.drink.0016
SouthernAymara_sout2996,drink,aymaran.drink.0016
CentralAymara_cent2142,ear,aymaran.ear.0018
CentralAymara_cent2142,ear,aymaran.ear.0019
CentralAymara_cent2142,ear,aymaran.ear.0019
CentralAymara_cent2142,ear,aymaran.ear.0019
Jaqaru_jaqa1244,ear,aymaran.ear.0019
Jaqaru_jaqa1244,ear,aymaran.ear.0019
