Language_ID,Feature_ID,Value
Aringa_arin1244,1pl,?
Avokaya_avok1242,1pl,centralsudanic.1pl.0001
Avokaya_avok1242,1pl,centralsudanic.1pl.0001
Bagirmi_bagi1246,1pl,centralsudanic.1pl.0002
Bagirmi_bagi1246,1pl,centralsudanic.1pl.0005
BakaSouthSudan_baka1274,1pl,centralsudanic.1pl.0002
Birri_birr1240,1pl,centralsudanic.1pl.0001
Birri_birr1240,1pl,centralsudanic.1pl.0003
Birri_birr1240,1pl,centralsudanic.1pl.0003
Bongo_bong1285,1pl,centralsudanic.1pl.0002
Dagba_dagb1248,1pl,centralsudanic.1pl.0002
Furu_furu1242,1pl,centralsudanic.1pl.0005
Gor_gorr1238,1pl,?
GulaCentralAfricanRepublic_gula1266,1pl,?
GulaChad_gula1269,1pl,?
Gulay_gula1268,1pl,centralsudanic.1pl.0002
JurModo_jurm1239,1pl,centralsudanic.1pl.0002
JurModo_jurm1239,1pl,centralsudanic.1pl.0006
Kaba_kaba1281,1pl,centralsudanic.1pl.0006
Kaba_kaba1281,1pl,centralsudanic.1pl.0009
Keliko_keli1248,1pl,centralsudanic.1pl.0001
Kenga_keng1240,1pl,centralsudanic.1pl.0005
Kenga_keng1240,1pl,centralsudanic.1pl.0010
Lendu_lend1245,1pl,centralsudanic.1pl.0001
Lendu_lend1245,1pl,centralsudanic.1pl.0011
Lese_lese1243,1pl,centralsudanic.1pl.0001
Logo_logo1259,1pl,centralsudanic.1pl.0001
Lugbara_lugb1240,1pl,centralsudanic.1pl.0001
Madi_madi1260,1pl,centralsudanic.1pl.0001
Madi_madi1260,1pl,centralsudanic.1pl.0001
Madi_madi1260,1pl,centralsudanic.1pl.0001
Mamvu_mamv1243,1pl,centralsudanic.1pl.0001
Mangbetu_mang1394,1pl,centralsudanic.1pl.0001
Mangbetu_mang1394,1pl,centralsudanic.1pl.0012
Mangbetu_mang1394,1pl,centralsudanic.1pl.0012
Mangbutu_mang1396,1pl,centralsudanic.1pl.0001
Mangbutu_mang1396,1pl,centralsudanic.1pl.0013
Mango_mang1398,1pl,centralsudanic.1pl.0002
Morokodo_moro1284,1pl,centralsudanic.1pl.0002
Morom_moro1281,1pl,?
Moru_moru1253,1pl,centralsudanic.1pl.0001
Moru_moru1253,1pl,centralsudanic.1pl.0001
Moru_moru1253,1pl,centralsudanic.1pl.0001
Moru_moru1253,1pl,centralsudanic.1pl.0001
Moru_moru1253,1pl,centralsudanic.1pl.0001
Moru_moru1253,1pl,centralsudanic.1pl.0001
Moru_moru1253,1pl,centralsudanic.1pl.0001
Nyamusa-Molo_nyam1279,1pl,centralsudanic.1pl.0002
Olubo_olub1238,1pl,centralsudanic.1pl.0001
Omi_omii1238,1pl,?
SaraKabaDeme_sara1322,1pl,centralsudanic.1pl.0002
SaraKabaDeme_sara1322,1pl,centralsudanic.1pl.0002
Sinyar_siny1243,1pl,centralsudanic.1pl.0004
Sinyar_siny1243,1pl,centralsudanic.1pl.0007
SouthernMadi_sout2828,1pl,?
Yulu-Binga_yulu1243,1pl,centralsudanic.1pl.0008
Aringa_arin1244,1sg,?
Avokaya_avok1242,1sg,centralsudanic.1sg.0014
Avokaya_avok1242,1sg,centralsudanic.1sg.0014
Bagirmi_bagi1246,1sg,centralsudanic.1sg.0014
BakaSouthSudan_baka1274,1sg,centralsudanic.1sg.0014
Birri_birr1240,1sg,centralsudanic.1sg.0014
Bongo_bong1285,1sg,centralsudanic.1sg.0014
Dagba_dagb1248,1sg,centralsudanic.1sg.0014
Furu_furu1242,1sg,centralsudanic.1sg.0014
Gor_gorr1238,1sg,centralsudanic.1sg.0014
GulaCentralAfricanRepublic_gula1266,1sg,?
GulaChad_gula1269,1sg,?
Gulay_gula1268,1sg,centralsudanic.1sg.0014
JurModo_jurm1239,1sg,centralsudanic.1sg.0014
Kaba_kaba1281,1sg,centralsudanic.1sg.0014
Keliko_keli1248,1sg,centralsudanic.1sg.0014
