Language_ID,Feature_ID,Value
Achuar-Shiwiar_achu1248,1pl,chicham.1pl.0001
Achuar-Shiwiar_achu1248,1pl,chicham.1pl.0004
Aguaruna_agua1253,1pl,chicham.1pl.0001
Huambisa_huam1247,1pl,chicham.1pl.0002
Shuar_shua1257,1pl,chicham.1pl.0003
Achuar-Shiwiar_achu1248,1sg,chicham.1sg.0005
Achuar-Shiwiar_achu1248,1sg,chicham.1sg.0005
Aguaruna_agua1253,1sg,chicham.1sg.0005
Huambisa_huam1247,1sg,chicham.1sg.0005
Shuar_shua1257,1sg,chicham.1sg.0005
Shuar_shua1257,1sg,chicham.1sg.0005
Shuar_shua1257,1sg,chicham.1sg.0005
Achuar-Shiwiar_achu1248,2sg,chicham.2sg.0006
Aguaruna_agua1253,2sg,chicham.2sg.0006
Huambisa_huam1247,2sg,chicham.2sg.0006
Huambisa_huam1247,2sg,chicham.2sg.0006
Shuar_shua1257,2sg,chicham.2sg.0006
Shuar_shua1257,2sg,chicham.2sg.0006
Shuar_shua1257,2sg,chicham.2sg.0006
Achuar-Shiwiar_achu1248,blood,chicham.blood.0007
Aguaruna_agua1253,blood,chicham.blood.0007
Huambisa_huam1247,blood,chicham.blood.0007
Shuar_shua1257,blood,chicham.blood.0007
Shuar_shua1257,blood,chicham.blood.0008
Achuar-Shiwiar_achu1248,bone,chicham.bone.0009
Achuar-Shiwiar_achu1248,bone,chicham.bone.0009
Aguaruna_agua1253,bone,chicham.bone.0009
Huambisa_huam1247,bone,chicham.bone.0009
Shuar_shua1257,bone,chicham.bone.0009
Shuar_shua1257,bone,chicham.bone.0009
Shuar_shua1257,bone,chicham.bone.0009
Achuar-Shiwiar_achu1248,breast,chicham.breast.0010
Aguaruna_agua1253,breast,chicham.breast.0011
Huambisa_huam1247,breast,chicham.breast.0010
Shuar_shua1257,breast,chicham.breast.0010
Shuar_shua1257,breast,chicham.breast.0012
Achuar-Shiwiar_achu1248,come,chicham.come.0013
Aguaruna_agua1253,come,chicham.come.0014
Aguaruna_agua1253,come,chicham.come.0015
Huambisa_huam1247,come,chicham.come.0013
Huambisa_huam1247,come,chicham.come.0016
Shuar_shua1257,come,chicham.come.0013
Shuar_shua1257,come,chicham.come.0013
Shuar_shua1257,come,chicham.come.0013
Achuar-Shiwiar_achu1248,die,chicham.die.0017
Achuar-Shiwiar_achu1248,die,chicham.die.0017
Aguaruna_agua1253,die,chicham.die.0017
Huambisa_huam1247,die,chicham.die.0017
Huambisa_huam1247,die,chicham.die.0017
Shuar_shua1257,die,chicham.die.0017
Shuar_shua1257,die,chicham.die.0017
Shuar_shua1257,die,chicham.die.0018
Achuar-Shiwiar_achu1248,dog,chicham.dog.0019
Achuar-Shiwiar_achu1248,dog,chicham.dog.0020
Aguaruna_agua1253,dog,chicham.dog.0019
Huambisa_huam1247,dog,chicham.dog.0019
Shuar_shua1257,dog,chicham.dog.0019
Shuar_shua1257,dog,chicham.dog.0019
Shuar_shua1257,dog,chicham.dog.0019
Shuar_shua1257,dog,chicham.dog.0020
Shuar_shua1257,dog,chicham.dog.0021
Achuar-Shiwiar_achu1248,drink,chicham.drink.0022
Achuar-Shiwiar_achu1248,drink,chicham.drink.0022
Aguaruna_agua1253,drink,chicham.drink.0022
Huambisa_huam1247,drink,chicham.drink.0022
Huambisa_huam1247,drink,chicham.drink.0022
Shuar_shua1257,drink,chicham.drink.0023
Shuar_shua1257,drink,chicham.drink.0023
Shuar_shua1257,drink,chicham.drink.0024
Achuar-Shiwiar_achu1248,ear,chicham.ear.0025
Aguaruna_agua1253,ear,chicham.ear.0025
Huambisa_huam1247,ear,chicham.ear.0025
Shuar_shua1257,ear,chicham.ear.0025
Shuar_shua1257,ear,chicham.ear.0025
Achuar-Shiwiar_achu1248,eye,chicham.eye.0026
Achuar-Shiwiar_achu1248,eye,chicham.eye.0026
Aguaruna_agua1253,eye,chicham.eye.0026
Huambisa_huam1247,eye,chicham.eye.0026
Shuar_shua1257,eye,chicham.eye.0026
Shuar_shua1257,eye,chicham.eye.0026
Achuar-Shiwiar_achu1248,fire,chicham.fire.0027
Achuar-Shiwiar_achu1248,fire,chicham.fire.0027
Aguaruna_agua1253,fire,chicham.fire.0027
Huambisa_huam1247,fire,chicham.fire.0027
Shuar_shua1257,fire,chicham.fire.0027
Shuar_shua1257,fire,chicham.fire.0027
Achuar-Shiwiar_achu1248,fish,chicham.fish.0028
Aguaruna_agua1253,fish,chicham.fish.0028
Huambisa_huam1247,fish,chicham.fish.0028
Shuar_shua1257,fish,chicham.fish.0028
Shuar_shua1257,fish,chicham.fish.0029
Achuar-Shiwiar_achu1248,full,chicham.full.0030
Achuar-Shiwiar_achu1248,full,chicham.full.0030
Aguaruna_agua1253,full,chicham.full.0030
Aguaruna_agua1253,full,chicham.full.0032
Huambisa_huam1247,full,chicham.full.0030
Huambisa_huam1247,full,chicham.full.0033
Shuar_shua1257,full,chicham.full.0031
Shuar_shua1257,full,chicham.full.0034
Achuar-Shiwiar_achu1248,hand,chicham.hand.0035
Achuar-Shiwiar_achu1248,hand,chicham.hand.0035
Aguaruna_agua1253,hand,chicham.hand.0035
Huambisa_huam1247,hand,chicham.hand.0035
Shuar_shua1257,hand,chicham.hand.0036
Shuar_shua1257,hand,chicham.hand.0037
Achuar-Shiwiar_achu1248,hear,chicham.hear.0038
Aguaruna_agua1253,hear,chicham.hear.0039
Huambisa_huam1247,hear,chicham.hear.0038
Huambisa_huam1247,hear,chicham.hear.0040
Shuar_shua1257,hear,chicham.hear.0038
Shuar_shua1257,hear,chicham.hear.0038
Achuar-Shiwiar_achu1248,horn,chicham.horn.0041
Aguaruna_agua1253,horn,chicham.horn.0042
Huambisa_huam1247,horn,chicham.horn.0041
Huambisa_huam1247,horn,chicham.horn.0042
Shuar_shua1257,horn,chicham.horn.0041
Shuar_shua1257,horn,chicham.horn.0042
Achuar-Shiwiar_achu1248,knee,chicham.knee.0043
Aguaruna_agua1253,knee,chicham.knee.0043
Huambisa_huam1247,knee,chicham.knee.0043
Shuar_shua1257,knee,chicham.knee.0043
Achuar-Shiwiar_achu1248,leaf,chicham.leaf.0044
Aguaruna_agua1253,leaf,chicham.leaf.0044
Huambisa_huam1247,leaf,chicham.leaf.0044
Shuar_shua1257,leaf,chicham.leaf.0044
Shuar_shua1257,leaf,chicham.leaf.0044
Achuar-Shiwiar_achu1248,liver,chicham.liver.0045
Aguaruna_agua1253,liver,chicham.liver.0045
Huambisa_huam1247,liver,chicham.liver.0045
Shuar_shua1257,liver,chicham.liver.0045
Shuar_shua1257,liver,chicham.liver.0046
Achuar-Shiwiar_achu1248,louse,chicham.louse.0047
Aguaruna_agua1253,louse,chicham.louse.0047
Huambisa_huam1247,louse,chicham.louse.0047
Shuar_shua1257,louse,chicham.louse.0047
Shuar_shua1257,louse,chicham.louse.0047
Achuar-Shiwiar_achu1248,mountain,chicham.mountain.0048
Aguaruna_agua1253,mountain,chicham.mountain.0049
Aguaruna_agua1253,mountain,chicham.mountain.0050
Huambisa_huam1247,mountain,chicham.mountain.0050
Shuar_shua1257,mountain,chicham.mountain.0050
Shuar_shua1257,mountain,chicham.mountain.0051
