Language_ID,Feature_ID,Value
Embera-Catio_embe1260,1pl,chocoan.1pl.0001
Embera-Chami_embe1262,1pl,chocoan.1pl.0001
Embera-Tado_embe1261,1pl,chocoan.1pl.0001
Epena_epen1239,1pl,chocoan.1pl.0001
Epena_epen1239,1pl,chocoan.1pl.0001
NorthernEmbera_nort2972,1pl,chocoan.1pl.0001
NorthernEmbera_nort2972,1pl,chocoan.1pl.0001
NorthernEmbera_nort2972,1pl,chocoan.1pl.0001
WounMeu_woun1238,1pl,chocoan.1pl.0002
WounMeu_woun1238,1pl,chocoan.1pl.0003
Embera-Catio_embe1260,1sg,chocoan.1sg.0004
Embera-Chami_embe1262,1sg,chocoan.1sg.0004
Embera-Tado_embe1261,1sg,chocoan.1sg.0004
Epena_epen1239,1sg,chocoan.1sg.0004
Epena_epen1239,1sg,chocoan.1sg.0004
NorthernEmbera_nort2972,1sg,chocoan.1sg.0004
NorthernEmbera_nort2972,1sg,chocoan.1sg.0004
NorthernEmbera_nort2972,1sg,chocoan.1sg.0004
WounMeu_woun1238,1sg,chocoan.1sg.0004
Embera-Catio_embe1260,2sg,chocoan.2sg.0005
Embera-Catio_embe1260,2sg,chocoan.2sg.0007
Embera-Chami_embe1262,2sg,chocoan.2sg.0005
Embera-Chami_embe1262,2sg,chocoan.2sg.0007
Embera-Chami_embe1262,2sg,chocoan.2sg.0008
Embera-Tado_embe1261,2sg,chocoan.2sg.0005
Embera-Tado_embe1261,2sg,chocoan.2sg.0007
Epena_epen1239,2sg,chocoan.2sg.0005
Epena_epen1239,2sg,chocoan.2sg.0005
Epena_epen1239,2sg,chocoan.2sg.0007
Epena_epen1239,2sg,chocoan.2sg.0007
NorthernEmbera_nort2972,2sg,chocoan.2sg.0005
NorthernEmbera_nort2972,2sg,chocoan.2sg.0005
NorthernEmbera_nort2972,2sg,chocoan.2sg.0006
NorthernEmbera_nort2972,2sg,chocoan.2sg.0007
WounMeu_woun1238,2sg,chocoan.2sg.0005
WounMeu_woun1238,2sg,chocoan.2sg.0005
WounMeu_woun1238,2sg,chocoan.2sg.0009
Embera-Catio_embe1260,blood,chocoan.blood.0010
Embera-Chami_embe1262,blood,?
Embera-Tado_embe1261,blood,?
Epena_epen1239,blood,chocoan.blood.0010
NorthernEmbera_nort2972,blood,chocoan.blood.0011
NorthernEmbera_nort2972,blood,chocoan.blood.0012
WounMeu_woun1238,blood,chocoan.blood.0013
Embera-Catio_embe1260,bone,chocoan.bone.0014
Embera-Chami_embe1262,bone,chocoan.bone.0014
Embera-Tado_embe1261,bone,chocoan.bone.0014
Epena_epen1239,bone,chocoan.bone.0014
Epena_epen1239,bone,chocoan.bone.0015
NorthernEmbera_nort2972,bone,chocoan.bone.0014
NorthernEmbera_nort2972,bone,chocoan.bone.0014
NorthernEmbera_nort2972,bone,chocoan.bone.0016
WounMeu_woun1238,bone,chocoan.bone.0014
Embera-Catio_embe1260,breast,chocoan.breast.0017
Embera-Chami_embe1262,breast,chocoan.breast.0017
Embera-Tado_embe1261,breast,chocoan.breast.0017
Epena_epen1239,breast,chocoan.breast.0017
Epena_epen1239,breast,chocoan.breast.0018
NorthernEmbera_nort2972,breast,chocoan.breast.0017
NorthernEmbera_nort2972,breast,chocoan.breast.0017
WounMeu_woun1238,breast,chocoan.breast.0019
Embera-Catio_embe1260,come,chocoan.come.0020
Embera-Chami_embe1262,come,chocoan.come.0021
Embera-Tado_embe1261,come,chocoan.come.0020
Epena_epen1239,come,chocoan.come.0020
Epena_epen1239,come,chocoan.come.0020
NorthernEmbera_nort2972,come,chocoan.come.0020
NorthernEmbera_nort2972,come,chocoan.come.0020
NorthernEmbera_nort2972,come,chocoan.come.0022
NorthernEmbera_nort2972,come,chocoan.come.0022
WounMeu_woun1238,come,chocoan.come.0023
Embera-Catio_embe1260,die,chocoan.die.0024
Embera-Chami_embe1262,die,chocoan.die.0024
Embera-Tado_embe1261,die,chocoan.die.0024
Epena_epen1239,die,chocoan.die.0024
Epena_epen1239,die,chocoan.die.0024
Epena_epen1239,die,chocoan.die.0026
NorthernEmbera_nort2972,die,chocoan.die.0024
NorthernEmbera_nort2972,die,chocoan.die.0024
NorthernEmbera_nort2972,die,chocoan.die.0026
NorthernEmbera_nort2972,die,chocoan.die.0028
NorthernEmbera_nort2972,die,chocoan.die.0029
WounMeu_woun1238,die,chocoan.die.0025
WounMeu_woun1238,die,chocoan.die.0027
Embera-Catio_embe1260,dog,chocoan.dog.0030
Embera-Chami_embe1262,dog,chocoan.dog.0030
Embera-Tado_embe1261,dog,chocoan.dog.0030
Epena_epen1239,dog,chocoan.dog.0030
Epena_epen1239,dog,chocoan.dog.0030
NorthernEmbera_nort2972,dog,chocoan.dog.0030
NorthernEmbera_nort2972,dog,chocoan.dog.0030
NorthernEmbera_nort2972,dog,chocoan.dog.0031
WounMeu_woun1238,dog,chocoan.dog.0032
Embera-Catio_embe1260,drink,chocoan.drink.0033
