Language_ID,Feature_ID,Value
Cochimi_coch1272,1pl,cochimiyuman.1pl.0001
Cochimi_coch1272,1pl,cochimiyuman.1pl.0006
Havasupai-Walapai-Yavapai_hava1248,1pl,cochimiyuman.1pl.0005
Kiliwa_kili1268,1pl,cochimiyuman.1pl.0003
Maricopa_mari1440,1pl,?
Mohave_moha1256,1pl,cochimiyuman.1pl.0004
Tipai_kumi1248,1pl,cochimiyuman.1pl.0002
Cochimi_coch1272,1sg,cochimiyuman.1sg.0007
Havasupai-Walapai-Yavapai_hava1248,1sg,cochimiyuman.1sg.0008
Havasupai-Walapai-Yavapai_hava1248,1sg,cochimiyuman.1sg.0008
Kiliwa_kili1268,1sg,cochimiyuman.1sg.0008
Maricopa_mari1440,1sg,?
Mohave_moha1256,1sg,cochimiyuman.1sg.0008
Tipai_kumi1248,1sg,cochimiyuman.1sg.0008
Cochimi_coch1272,2sg,cochimiyuman.2sg.0009
Cochimi_coch1272,2sg,cochimiyuman.2sg.0012
Havasupai-Walapai-Yavapai_hava1248,2sg,cochimiyuman.2sg.0010
Kiliwa_kili1268,2sg,cochimiyuman.2sg.0010
Maricopa_mari1440,2sg,?
Mohave_moha1256,2sg,cochimiyuman.2sg.0011
Tipai_kumi1248,2sg,cochimiyuman.2sg.0010
Cochimi_coch1272,blood,cochimiyuman.blood.0013
Cochimi_coch1272,blood,cochimiyuman.blood.0013
Havasupai-Walapai-Yavapai_hava1248,blood,cochimiyuman.blood.0013
Kiliwa_kili1268,blood,cochimiyuman.blood.0013
Maricopa_mari1440,blood,cochimiyuman.blood.0013
Mohave_moha1256,blood,cochimiyuman.blood.0013
Mohave_moha1256,blood,cochimiyuman.blood.0013
Tipai_kumi1248,blood,cochimiyuman.blood.0013
Cochimi_coch1272,bone,cochimiyuman.bone.0014
Havasupai-Walapai-Yavapai_hava1248,bone,cochimiyuman.bone.0015
Kiliwa_kili1268,bone,cochimiyuman.bone.0014
Maricopa_mari1440,bone,cochimiyuman.bone.0014
Mohave_moha1256,bone,cochimiyuman.bone.0014
