Language_ID,Feature_ID,Value
DarFurDaju_darf1239,1pl,dajuic.1pl.0002
DarSilaDaju_dars1235,1pl,dajuic.1pl.0005
Logorik_logo1261,1pl,dajuic.1pl.0001
Njalgulgule_njal1239,1pl,dajuic.1pl.0003
Shatt_shat1244,1pl,dajuic.1pl.0004
DarFurDaju_darf1239,1sg,dajuic.1sg.0006
DarSilaDaju_dars1235,1sg,dajuic.1sg.0008
Logorik_logo1261,1sg,dajuic.1sg.0006
Njalgulgule_njal1239,1sg,dajuic.1sg.0007
Shatt_shat1244,1sg,dajuic.1sg.0006
DarFurDaju_darf1239,blood,dajuic.blood.0009
DarSilaDaju_dars1235,blood,dajuic.blood.0009
Logorik_logo1261,blood,dajuic.blood.0009
Njalgulgule_njal1239,blood,dajuic.blood.0010
Shatt_shat1244,blood,dajuic.blood.0009
DarFurDaju_darf1239,bone,dajuic.bone.0012
DarSilaDaju_dars1235,bone,dajuic.bone.0015
Logorik_logo1261,bone,dajuic.bone.0011
Njalgulgule_njal1239,bone,dajuic.bone.0013
Shatt_shat1244,bone,dajuic.bone.0014
DarFurDaju_darf1239,breast,dajuic.breast.0016
DarSilaDaju_dars1235,breast,dajuic.breast.0016
Logorik_logo1261,breast,dajuic.breast.0016
Njalgulgule_njal1239,breast,dajuic.breast.0016
Shatt_shat1244,breast,dajuic.breast.0016
DarFurDaju_darf1239,come,dajuic.come.0018
DarSilaDaju_dars1235,come,dajuic.come.0018
Logorik_logo1261,come,dajuic.come.0017
Njalgulgule_njal1239,come,dajuic.come.0018
Shatt_shat1244,come,dajuic.come.0018
DarFurDaju_darf1239,die,dajuic.die.0019
DarSilaDaju_dars1235,die,dajuic.die.0021
Logorik_logo1261,die,dajuic.die.0019
Njalgulgule_njal1239,die,dajuic.die.0020
Shatt_shat1244,die,dajuic.die.0019
DarFurDaju_darf1239,dog,dajuic.dog.0023
DarSilaDaju_dars1235,dog,dajuic.dog.0022
Logorik_logo1261,dog,dajuic.dog.0022
Njalgulgule_njal1239,dog,dajuic.dog.0022
Shatt_shat1244,dog,dajuic.dog.0022
DarFurDaju_darf1239,drink,dajuic.drink.0025
DarSilaDaju_dars1235,drink,dajuic.drink.0027
Logorik_logo1261,drink,dajuic.drink.0024
Njalgulgule_njal1239,drink,dajuic.drink.0025
Shatt_shat1244,drink,dajuic.drink.0026
DarFurDaju_darf1239,ear,dajuic.ear.0029
DarSilaDaju_dars1235,ear,dajuic.ear.0029
Logorik_logo1261,ear,dajuic.ear.0028
Njalgulgule_njal1239,ear,dajuic.ear.0029
Shatt_shat1244,ear,dajuic.ear.0030
DarFurDaju_darf1239,eye,dajuic.eye.0032
DarSilaDaju_dars1235,eye,dajuic.eye.0032
Logorik_logo1261,eye,dajuic.eye.0031
Njalgulgule_njal1239,eye,dajuic.eye.0032
Shatt_shat1244,eye,dajuic.eye.0031
DarFurDaju_darf1239,fire,dajuic.fire.0033
DarSilaDaju_dars1235,fire,dajuic.fire.0033
Logorik_logo1261,fire,dajuic.fire.0033
Njalgulgule_njal1239,fire,dajuic.fire.0033
Shatt_shat1244,fire,dajuic.fire.0033
DarFurDaju_darf1239,fish,dajuic.fish.0034
DarSilaDaju_dars1235,fish,dajuic.fish.0034
Logorik_logo1261,fish,dajuic.fish.0034
Njalgulgule_njal1239,fish,dajuic.fish.0034
Shatt_shat1244,fish,dajuic.fish.0034
DarFurDaju_darf1239,hand,dajuic.hand.0035
DarSilaDaju_dars1235,hand,dajuic.hand.0035
Logorik_logo1261,hand,dajuic.hand.0035
Njalgulgule_njal1239,hand,dajuic.hand.0035
Shatt_shat1244,hand,dajuic.hand.0035
DarFurDaju_darf1239,hear,dajuic.hear.0037
DarSilaDaju_dars1235,hear,dajuic.hear.0039
Logorik_logo1261,hear,dajuic.hear.0036
Njalgulgule_njal1239,hear,dajuic.hear.0038
Shatt_shat1244,hear,dajuic.hear.0039
DarFurDaju_darf1239,horn,dajuic.horn.0041
DarSilaDaju_dars1235,horn,dajuic.horn.0041
Logorik_logo1261,horn,dajuic.horn.0040
Njalgulgule_njal1239,horn,dajuic.horn.0042
Shatt_shat1244,horn,dajuic.horn.0040
DarFurDaju_darf1239,knee,dajuic.knee.0044
DarSilaDaju_dars1235,knee,dajuic.knee.0044
Logorik_logo1261,knee,dajuic.knee.0043
Njalgulgule_njal1239,knee,dajuic.knee.0044
Shatt_shat1244,knee,dajuic.knee.0044
DarFurDaju_darf1239,leaf,dajuic.leaf.0045
DarSilaDaju_dars1235,leaf,?
Logorik_logo1261,leaf,dajuic.leaf.0045
Njalgulgule_njal1239,leaf,dajuic.leaf.0046
Shatt_shat1244,leaf,dajuic.leaf.0047
DarFurDaju_darf1239,liver,dajuic.liver.0048
DarSilaDaju_dars1235,liver,dajuic.liver.0048
Logorik_logo1261,liver,dajuic.liver.0048
Njalgulgule_njal1239,liver,dajuic.liver.0048
Shatt_shat1244,liver,dajuic.liver.0049
DarFurDaju_darf1239,louse,dajuic.louse.0051
DarSilaDaju_dars1235,louse,dajuic.louse.0051
Logorik_logo1261,louse,dajuic.louse.0050
Njalgulgule_njal1239,louse,dajuic.louse.0051
Shatt_shat1244,louse,dajuic.louse.0051
DarFurDaju_darf1239,mountain,dajuic.mountain.0053
DarSilaDaju_dars1235,mountain,dajuic.mountain.0054
Logorik_logo1261,mountain,dajuic.mountain.0052
Njalgulgule_njal1239,mountain,dajuic.mountain.0054
Shatt_shat1244,mountain,dajuic.mountain.0055
DarFurDaju_darf1239,name,dajuic.name.0056
DarSilaDaju_dars1235,name,dajuic.name.0056
Logorik_logo1261,name,dajuic.name.0056
Njalgulgule_njal1239,name,dajuic.name.0056
Shatt_shat1244,name,dajuic.name.0056
DarFurDaju_darf1239,new,dajuic.new.0057
DarSilaDaju_dars1235,new,?
Logorik_logo1261,new,?
Njalgulgule_njal1239,new,dajuic.new.0057
Shatt_shat1244,new,?
DarFurDaju_darf1239,night,dajuic.night.0059
DarSilaDaju_dars1235,night,dajuic.night.0061
Logorik_logo1261,night,dajuic.night.0058
Njalgulgule_njal1239,night,dajuic.night.0058
Shatt_shat1244,night,dajuic.night.0060
DarFurDaju_darf1239,nose,dajuic.nose.0062
DarSilaDaju_dars1235,nose,dajuic.nose.0062
Logorik_logo1261,nose,dajuic.nose.0062
Njalgulgule_njal1239,nose,dajuic.nose.0062
Shatt_shat1244,nose,dajuic.nose.0062
DarFurDaju_darf1239,one,dajuic.one.0064
DarSilaDaju_dars1235,one,dajuic.one.0066
Logorik_logo1261,one,dajuic.one.0063
Njalgulgule_njal1239,one,dajuic.one.0064
Shatt_shat1244,one,dajuic.one.0065
DarFurDaju_darf1239,path,dajuic.path.0068
DarSilaDaju_dars1235,path,dajuic.path.0068
Logorik_logo1261,path,dajuic.path.0067
Njalgulgule_njal1239,path,dajuic.path.0069
Shatt_shat1244,path,dajuic.path.0067
DarFurDaju_darf1239,person,dajuic.person.0071
DarSilaDaju_dars1235,person,dajuic.person.0072
Logorik_logo1261,person,dajuic.person.0070
Njalgulgule_njal1239,person,?
Shatt_shat1244,person,dajuic.person.0070
DarFurDaju_darf1239,see,dajuic.see.0074
DarSilaDaju_dars1235,see,dajuic.see.0076
Logorik_logo1261,see,dajuic.see.0073
Njalgulgule_njal1239,see,dajuic.see.0075
Shatt_shat1244,see,dajuic.see.0076
DarFurDaju_darf1239,skin,dajuic.skin.0078
DarSilaDaju_dars1235,skin,dajuic.skin.0077
Logorik_logo1261,skin,dajuic.skin.0077
Njalgulgule_njal1239,skin,dajuic.skin.0079
Shatt_shat1244,skin,dajuic.skin.0077
DarFurDaju_darf1239,star,dajuic.star.0081
DarSilaDaju_dars1235,star,dajuic.star.0083
Logorik_logo1261,star,dajuic.star.0080
Njalgulgule_njal1239,star,dajuic.star.0081
Shatt_shat1244,star,dajuic.star.0082
DarFurDaju_darf1239,stone,dajuic.stone.0085
DarSilaDaju_dars1235,stone,dajuic.stone.0085
Logorik_logo1261,stone,dajuic.stone.0084
Njalgulgule_njal1239,stone,dajuic.stone.0085
Shatt_shat1244,stone,dajuic.stone.0085
DarFurDaju_darf1239,sun,dajuic.sun.0087
DarSilaDaju_dars1235,sun,dajuic.sun.0087
Logorik_logo1261,sun,dajuic.sun.0086
Njalgulgule_njal1239,sun,dajuic.sun.0087
Shatt_shat1244,sun,dajuic.sun.0088
DarFurDaju_darf1239,tongue,dajuic.tongue.0090
DarSilaDaju_dars1235,tongue,dajuic.tongue.0092
Logorik_logo1261,tongue,dajuic.tongue.0089
Njalgulgule_njal1239,tongue,dajuic.tongue.0090
Shatt_shat1244,tongue,dajuic.tongue.0091
DarFurDaju_darf1239,tooth,dajuic.tooth.0093
DarSilaDaju_dars1235,tooth,dajuic.tooth.0093
Logorik_logo1261,tooth,dajuic.tooth.0093
Njalgulgule_njal1239,tooth,dajuic.tooth.0094
Shatt_shat1244,tooth,dajuic.tooth.0093
DarFurDaju_darf1239,tree,dajuic.tree.0096
DarSilaDaju_dars1235,tree,dajuic.tree.0097
Logorik_logo1261,tree,dajuic.tree.0095
Njalgulgule_njal1239,tree,dajuic.tree.0096
Shatt_shat1244,tree,dajuic.tree.0096
DarFurDaju_darf1239,two,dajuic.two.0098
DarSilaDaju_dars1235,two,dajuic.two.0098
Logorik_logo1261,two,dajuic.two.0098
Njalgulgule_njal1239,two,dajuic.two.0098
Shatt_shat1244,two,dajuic.two.0098
DarFurDaju_darf1239,water,dajuic.water.0100
DarSilaDaju_dars1235,water,dajuic.water.0100
Logorik_logo1261,water,dajuic.water.0099
Njalgulgule_njal1239,water,dajuic.water.0101
Shatt_shat1244,water,dajuic.water.0099
