Language_ID,Feature_ID,Value
Dizin_dizi1235,1pl,dizoid.1pl.0001
Dizin_dizi1235,1pl,dizoid.1pl.0001
Nayi_nayi1243,1pl,dizoid.1pl.0002
Sheko_shek1245,1pl,dizoid.1pl.0003
Dizin_dizi1235,1sg,dizoid.1sg.0004
Dizin_dizi1235,1sg,dizoid.1sg.0004
Nayi_nayi1243,1sg,dizoid.1sg.0005
Sheko_shek1245,1sg,dizoid.1sg.0006
Dizin_dizi1235,2sg,dizoid.2sg.0007
Dizin_dizi1235,2sg,dizoid.2sg.0007
Nayi_nayi1243,2sg,dizoid.2sg.0008
Sheko_shek1245,2sg,dizoid.2sg.0007
Dizin_dizi1235,blood,dizoid.blood.0009
Dizin_dizi1235,blood,dizoid.blood.0009
Nayi_nayi1243,blood,dizoid.blood.0009
Sheko_shek1245,blood,dizoid.blood.0009
Dizin_dizi1235,bone,dizoid.bone.0010
Dizin_dizi1235,bone,dizoid.bone.0010
Nayi_nayi1243,bone,dizoid.bone.0010
Sheko_shek1245,bone,dizoid.bone.0010
Dizin_dizi1235,breast,dizoid.breast.0011
Dizin_dizi1235,breast,dizoid.breast.0011
Nayi_nayi1243,breast,dizoid.breast.0011
Sheko_shek1245,breast,dizoid.breast.0011
Dizin_dizi1235,come,dizoid.come.0012
Dizin_dizi1235,come,dizoid.come.0012
Nayi_nayi1243,come,dizoid.come.0012
Sheko_shek1245,come,dizoid.come.0012
Dizin_dizi1235,die,dizoid.die.0013
Dizin_dizi1235,die,dizoid.die.0014
Nayi_nayi1243,die,dizoid.die.0014
Sheko_shek1245,die,dizoid.die.0014
Dizin_dizi1235,dog,dizoid.dog.0015
Dizin_dizi1235,dog,dizoid.dog.0015
Nayi_nayi1243,dog,dizoid.dog.0015
Sheko_shek1245,dog,dizoid.dog.0015
Sheko_shek1245,dog,dizoid.dog.0015
Dizin_dizi1235,drink,dizoid.drink.0016
Dizin_dizi1235,drink,dizoid.drink.0016
Nayi_nayi1243,drink,dizoid.drink.0017
Sheko_shek1245,drink,dizoid.drink.0018
Dizin_dizi1235,ear,dizoid.ear.0019
Dizin_dizi1235,ear,dizoid.ear.0020
Nayi_nayi1243,ear,dizoid.ear.0021
Nayi_nayi1243,ear,dizoid.ear.0021
Sheko_shek1245,ear,dizoid.ear.0019
Sheko_shek1245,ear,dizoid.ear.0022
Dizin_dizi1235,eye,dizoid.eye.0023
Dizin_dizi1235,eye,dizoid.eye.0023
Nayi_nayi1243,eye,dizoid.eye.0023
Sheko_shek1245,eye,dizoid.eye.0023
Dizin_dizi1235,fire,dizoid.fire.0024
Dizin_dizi1235,fire,dizoid.fire.0024
Nayi_nayi1243,fire,dizoid.fire.0025
Sheko_shek1245,fire,dizoid.fire.0025
Dizin_dizi1235,fish,dizoid.fish.0026
Dizin_dizi1235,fish,dizoid.fish.0027
Nayi_nayi1243,fish,dizoid.fish.0028
Sheko_shek1245,fish,dizoid.fish.0029
Dizin_dizi1235,hand,dizoid.hand.0030
Dizin_dizi1235,hand,dizoid.hand.0030
Nayi_nayi1243,hand,dizoid.hand.0030
Nayi_nayi1243,hand,dizoid.hand.0030
Sheko_shek1245,hand,dizoid.hand.0030
Dizin_dizi1235,hear,dizoid.hear.0031
Dizin_dizi1235,hear,dizoid.hear.0031
Nayi_nayi1243,hear,dizoid.hear.0031
Sheko_shek1245,hear,dizoid.hear.0031
Dizin_dizi1235,horn,dizoid.horn.0032
Dizin_dizi1235,horn,dizoid.horn.0033
Dizin_dizi1235,horn,dizoid.horn.0033
Nayi_nayi1243,horn,dizoid.horn.0034
Sheko_shek1245,horn,dizoid.horn.0035
Dizin_dizi1235,knee,dizoid.knee.0036
Dizin_dizi1235,knee,dizoid.knee.0036
Nayi_nayi1243,knee,dizoid.knee.0037
Sheko_shek1245,knee,dizoid.knee.0037
Dizin_dizi1235,leaf,dizoid.leaf.0038
Dizin_dizi1235,leaf,dizoid.leaf.0039
Nayi_nayi1243,leaf,dizoid.leaf.0039
Sheko_shek1245,leaf,dizoid.leaf.0040
Dizin_dizi1235,liver,dizoid.liver.0041
Dizin_dizi1235,liver,dizoid.liver.0041
Nayi_nayi1243,liver,dizoid.liver.0042
Sheko_shek1245,liver,dizoid.liver.0041
Sheko_shek1245,liver,dizoid.liver.0043
Dizin_dizi1235,louse,dizoid.louse.0044
Dizin_dizi1235,louse,dizoid.louse.0044
Nayi_nayi1243,louse,dizoid.louse.0044
Sheko_shek1245,louse,dizoid.louse.0044
Dizin_dizi1235,mountain,dizoid.mountain.0045
Dizin_dizi1235,mountain,dizoid.mountain.0045
Dizin_dizi1235,mountain,dizoid.mountain.0045
Nayi_nayi1243,mountain,dizoid.mountain.0046
Sheko_shek1245,mountain,dizoid.mountain.0047
Dizin_dizi1235,name,dizoid.name.0048
Dizin_dizi1235,name,dizoid.name.0048
Dizin_dizi1235,name,dizoid.name.0048
Dizin_dizi1235,name,dizoid.name.0049
Nayi_nayi1243,name,dizoid.name.0048
Nayi_nayi1243,name,dizoid.name.0048
Sheko_shek1245,name,dizoid.name.0048
Dizin_dizi1235,new,dizoid.new.0050
Dizin_dizi1235,new,dizoid.new.0050
Nayi_nayi1243,new,dizoid.new.0051
Sheko_shek1245,new,dizoid.new.0052
Dizin_dizi1235,night,dizoid.night.0053
Dizin_dizi1235,night,dizoid.night.0053
Nayi_nayi1243,night,dizoid.night.0053
Sheko_shek1245,night,dizoid.night.0053
Dizin_dizi1235,nose,dizoid.nose.0054
Dizin_dizi1235,nose,dizoid.nose.0054
Nayi_nayi1243,nose,dizoid.nose.0054
Sheko_shek1245,nose,dizoid.nose.0055
Dizin_dizi1235,one,dizoid.one.0056
Dizin_dizi1235,one,dizoid.one.0056
Nayi_nayi1243,one,dizoid.one.0057
Sheko_shek1245,one,dizoid.one.0056
Dizin_dizi1235,path,dizoid.path.0058
Nayi_nayi1243,path,dizoid.path.0059
Sheko_shek1245,path,dizoid.path.0060
Dizin_dizi1235,person,dizoid.person.0061
Nayi_nayi1243,person,dizoid.person.0061
Sheko_shek1245,person,dizoid.person.0061
Dizin_dizi1235,see,dizoid.see.0062
Dizin_dizi1235,see,dizoid.see.0063
Nayi_nayi1243,see,dizoid.see.0062
Sheko_shek1245,see,dizoid.see.0062
Dizin_dizi1235,skin,dizoid.skin.0064
Dizin_dizi1235,skin,dizoid.skin.0064
Dizin_dizi1235,skin,dizoid.skin.0065
Nayi_nayi1243,skin,dizoid.skin.0064
Sheko_shek1245,skin,dizoid.skin.0066
Dizin_dizi1235,star,dizoid.star.0067
Dizin_dizi1235,star,dizoid.star.0068
Dizin_dizi1235,star,dizoid.star.0071
Nayi_nayi1243,star,dizoid.star.0069
Nayi_nayi1243,star,dizoid.star.0069
Sheko_shek1245,star,dizoid.star.0070
Dizin_dizi1235,stone,dizoid.stone.0072
Dizin_dizi1235,stone,dizoid.stone.0072
Nayi_nayi1243,stone,dizoid.stone.0072
Nayi_nayi1243,stone,dizoid.stone.0072
Sheko_shek1245,stone,dizoid.stone.0072
Dizin_dizi1235,sun,dizoid.sun.0073
Dizin_dizi1235,sun,dizoid.sun.0073
Dizin_dizi1235,sun,dizoid.sun.0075
Nayi_nayi1243,sun,dizoid.sun.0074
Sheko_shek1245,sun,dizoid.sun.0073
Dizin_dizi1235,tongue,dizoid.tongue.0076
Dizin_dizi1235,tongue,dizoid.tongue.0077
Dizin_dizi1235,tongue,dizoid.tongue.0077
Nayi_nayi1243,tongue,dizoid.tongue.0078
Sheko_shek1245,tongue,dizoid.tongue.0079
Dizin_dizi1235,tooth,dizoid.tooth.0080
Dizin_dizi1235,tooth,dizoid.tooth.0080
Nayi_nayi1243,tooth,dizoid.tooth.0080
Sheko_shek1245,tooth,dizoid.tooth.0080
Dizin_dizi1235,tree,dizoid.tree.0081
Dizin_dizi1235,tree,dizoid.tree.0082
Nayi_nayi1243,tree,dizoid.tree.0083
Sheko_shek1245,tree,dizoid.tree.0084
Dizin_dizi1235,two,dizoid.two.0085
Dizin_dizi1235,two,dizoid.two.0085
