Language_ID,Feature_ID,Value
Amdang_amda1238,1pl,?
Fur_furr1244,1pl,furan.1pl.0001
Amdang_amda1238,1sg,furan.1sg.0002
Fur_furr1244,1sg,furan.1sg.0003
Amdang_amda1238,2sg,furan.2sg.0004
Fur_furr1244,2sg,furan.2sg.0005
Amdang_amda1238,blood,furan.blood.0006
Fur_furr1244,blood,furan.blood.0007
Amdang_amda1238,bone,furan.bone.0008
Fur_furr1244,bone,furan.bone.0009
Amdang_amda1238,breast,furan.breast.0010
Amdang_amda1238,breast,furan.breast.0010
Fur_furr1244,breast,furan.breast.0010
Amdang_amda1238,come,furan.come.0011
Fur_furr1244,come,furan.come.0012
Amdang_amda1238,die,furan.die.0013
Fur_furr1244,die,furan.die.0014
Fur_furr1244,die,furan.die.0015
Fur_furr1244,die,furan.die.0016
Amdang_amda1238,dog,furan.dog.0017
Fur_furr1244,dog,furan.dog.0018
Amdang_amda1238,drink,furan.drink.0019
Fur_furr1244,drink,furan.drink.0020
Fur_furr1244,drink,furan.drink.0020
Fur_furr1244,drink,furan.drink.0021
Amdang_amda1238,ear,furan.ear.0022
Amdang_amda1238,ear,furan.ear.0023
Fur_furr1244,ear,furan.ear.0023
Amdang_amda1238,eye,furan.eye.0024
Fur_furr1244,eye,furan.eye.0025
Amdang_amda1238,fire,furan.fire.0026
Fur_furr1244,fire,furan.fire.0027
Amdang_amda1238,fish,furan.fish.0028
Fur_furr1244,fish,furan.fish.0029
Amdang_amda1238,full,furan.full.0030
Fur_furr1244,full,furan.full.0031
Amdang_amda1238,hand,furan.hand.0032
Fur_furr1244,hand,furan.hand.0033
Amdang_amda1238,hear,furan.hear.0034
Fur_furr1244,hear,furan.hear.0035
Amdang_amda1238,horn,furan.horn.0036
Fur_furr1244,horn,furan.horn.0037
Amdang_amda1238,knee,furan.knee.0038
Fur_furr1244,knee,furan.knee.0038
Amdang_amda1238,leaf,furan.leaf.0039
Fur_furr1244,leaf,furan.leaf.0040
Amdang_amda1238,liver,?
Fur_furr1244,liver,furan.liver.0041
Amdang_amda1238,louse,furan.louse.0042
Fur_furr1244,louse,furan.louse.0042
Amdang_amda1238,mountain,?
Fur_furr1244,mountain,furan.mountain.0043
Amdang_amda1238,name,furan.name.0044
Fur_furr1244,name,furan.name.0045
Amdang_amda1238,new,furan.new.0046
Fur_furr1244,new,furan.new.0046
Amdang_amda1238,night,furan.night.0047
Fur_furr1244,night,furan.night.0048
Amdang_amda1238,nose,furan.nose.0049
Fur_furr1244,nose,furan.nose.0050
Amdang_amda1238,one,furan.one.0051
Fur_furr1244,one,furan.one.0052
Amdang_amda1238,path,furan.path.0053
Fur_furr1244,path,furan.path.0054
Amdang_amda1238,person,furan.person.0055
Fur_furr1244,person,?
Amdang_amda1238,see,furan.see.0056
Fur_furr1244,see,furan.see.0057
Fur_furr1244,see,furan.see.0057
Fur_furr1244,see,furan.see.0058
Amdang_amda1238,skin,furan.skin.0059
Fur_furr1244,skin,?
Amdang_amda1238,star,furan.star.0060
Fur_furr1244,star,furan.star.0061
Amdang_amda1238,stone,furan.stone.0062
Fur_furr1244,stone,furan.stone.0063
Amdang_amda1238,sun,furan.sun.0064
Fur_furr1244,sun,furan.sun.0065
Amdang_amda1238,tongue,furan.tongue.0066
Fur_furr1244,tongue,furan.tongue.0067
Amdang_amda1238,tooth,furan.tooth.0068
Fur_furr1244,tooth,furan.tooth.0069
Amdang_amda1238,tree,furan.tree.0070
Fur_furr1244,tree,furan.tree.0071
Amdang_amda1238,two,furan.two.0072
Fur_furr1244,two,furan.two.0073
Amdang_amda1238,water,furan.water.0074
Fur_furr1244,water,furan.water.0075
