Language_ID,Feature_ID,Value
Bauzi_bauz1241,1pl,geelvinkbay.1pl.0001
Burate_bura1276,1pl,?
Kofei_kofe1239,1pl,geelvinkbay.1pl.0002
Tefaro_tefa1238,1pl,geelvinkbay.1pl.0001
Tunggare_tung1293,1pl,geelvinkbay.1pl.0001
Bauzi_bauz1241,1sg,geelvinkbay.1sg.0003
Burate_bura1276,1sg,geelvinkbay.1sg.0004
Kofei_kofe1239,1sg,geelvinkbay.1sg.0005
Tefaro_tefa1238,1sg,geelvinkbay.1sg.0003
Tunggare_tung1293,1sg,geelvinkbay.1sg.0006
Tunggare_tung1293,1sg,geelvinkbay.1sg.0007
Bauzi_bauz1241,2sg,geelvinkbay.2sg.0008
Burate_bura1276,2sg,geelvinkbay.2sg.0009
Kofei_kofe1239,2sg,geelvinkbay.2sg.0009
Tefaro_tefa1238,2sg,geelvinkbay.2sg.0008
Tunggare_tung1293,2sg,geelvinkbay.2sg.0010
Tunggare_tung1293,2sg,geelvinkbay.2sg.0011
Bauzi_bauz1241,blood,geelvinkbay.blood.0012
Burate_bura1276,blood,geelvinkbay.blood.0013
Kofei_kofe1239,blood,geelvinkbay.blood.0014
Tefaro_tefa1238,blood,geelvinkbay.blood.0014
Tunggare_tung1293,blood,geelvinkbay.blood.0015
Tunggare_tung1293,blood,geelvinkbay.blood.0015
Bauzi_bauz1241,bone,geelvinkbay.bone.0016
Burate_bura1276,bone,geelvinkbay.bone.0017
Kofei_kofe1239,bone,geelvinkbay.bone.0017
Kofei_kofe1239,bone,geelvinkbay.bone.0017
Tefaro_tefa1238,bone,geelvinkbay.bone.0017
Tunggare_tung1293,bone,geelvinkbay.bone.0017
Bauzi_bauz1241,breast,geelvinkbay.breast.0018
Burate_bura1276,breast,geelvinkbay.breast.0019
Kofei_kofe1239,breast,geelvinkbay.breast.0020
Kofei_kofe1239,breast,geelvinkbay.breast.0021
Tefaro_tefa1238,breast,geelvinkbay.breast.0021
Tunggare_tung1293,breast,geelvinkbay.breast.0022
Tunggare_tung1293,breast,geelvinkbay.breast.0022
Bauzi_bauz1241,come,geelvinkbay.come.0023
Burate_bura1276,come,geelvinkbay.come.0024
Kofei_kofe1239,come,geelvinkbay.come.0025
Tefaro_tefa1238,come,geelvinkbay.come.0026
Tunggare_tung1293,come,geelvinkbay.come.0027
Bauzi_bauz1241,die,geelvinkbay.die.0028
Burate_bura1276,die,geelvinkbay.die.0029
Kofei_kofe1239,die,geelvinkbay.die.0030
Tefaro_tefa1238,die,geelvinkbay.die.0031
Tunggare_tung1293,die,geelvinkbay.die.0029
Bauzi_bauz1241,dog,geelvinkbay.dog.0032
Burate_bura1276,dog,geelvinkbay.dog.0032
Kofei_kofe1239,dog,geelvinkbay.dog.0032
Tefaro_tefa1238,dog,geelvinkbay.dog.0032
Tunggare_tung1293,dog,geelvinkbay.dog.0032
Tunggare_tung1293,dog,geelvinkbay.dog.0032
