Language_ID,Feature_ID,Value
Erre_erre1238,1pl,giimbiyu.1pl.0001
Mangerr_mang1382,1pl,giimbiyu.1pl.0001
Mangerr_mang1382,1pl,giimbiyu.1pl.0002
Urningangg_urni1239,1pl,giimbiyu.1pl.0002
Erre_erre1238,1sg,giimbiyu.1sg.0003
Mangerr_mang1382,1sg,giimbiyu.1sg.0004
Urningangg_urni1239,1sg,giimbiyu.1sg.0003
Erre_erre1238,2sg,giimbiyu.2sg.0005
Mangerr_mang1382,2sg,giimbiyu.2sg.0005
Urningangg_urni1239,2sg,giimbiyu.2sg.0005
Erre_erre1238,blood,giimbiyu.blood.0006
Mangerr_mang1382,blood,giimbiyu.blood.0007
Urningangg_urni1239,blood,giimbiyu.blood.0006
Erre_erre1238,bone,giimbiyu.bone.0008
Mangerr_mang1382,bone,?
Urningangg_urni1239,bone,giimbiyu.bone.0008
Erre_erre1238,breast,giimbiyu.breast.0009
Mangerr_mang1382,breast,giimbiyu.breast.0009
Urningangg_urni1239,breast,giimbiyu.breast.0009
Erre_erre1238,come,giimbiyu.come.0010
Mangerr_mang1382,come,?
Urningangg_urni1239,come,giimbiyu.come.0010
Erre_erre1238,die,giimbiyu.die.0011
Mangerr_mang1382,die,giimbiyu.die.0011
Urningangg_urni1239,die,giimbiyu.die.0011
Erre_erre1238,dog,giimbiyu.dog.0012
Mangerr_mang1382,dog,giimbiyu.dog.0012
Urningangg_urni1239,dog,giimbiyu.dog.0012
Erre_erre1238,drink,giimbiyu.drink.0013
Mangerr_mang1382,drink,giimbiyu.drink.0014
Urningangg_urni1239,drink,giimbiyu.drink.0015
Erre_erre1238,ear,giimbiyu.ear.0016
Mangerr_mang1382,ear,giimbiyu.ear.0016
Urningangg_urni1239,ear,giimbiyu.ear.0016
Erre_erre1238,eye,giimbiyu.eye.0017
Mangerr_mang1382,eye,giimbiyu.eye.0017
Urningangg_urni1239,eye,giimbiyu.eye.0017
Erre_erre1238,fire,giimbiyu.fire.0018
Mangerr_mang1382,fire,giimbiyu.fire.0018
Urningangg_urni1239,fire,giimbiyu.fire.0018
