Language_ID,Feature_ID,Value
Airoran_airo1242,1pl,greaterkwerba.1pl.0001
Isirawa_isir1237,1pl,greaterkwerba.1pl.0002
Kwerba_nucl1595,1pl,?
Airoran_airo1242,1sg,greaterkwerba.1sg.0003
Isirawa_isir1237,1sg,greaterkwerba.1sg.0005
Isirawa_isir1237,1sg,greaterkwerba.1sg.0006
Kwerba_nucl1595,1sg,greaterkwerba.1sg.0004
Airoran_airo1242,2sg,greaterkwerba.2sg.0007
Isirawa_isir1237,2sg,greaterkwerba.2sg.0008
Kwerba_nucl1595,2sg,?
Airoran_airo1242,blood,greaterkwerba.blood.0009
Isirawa_isir1237,blood,?
Kwerba_nucl1595,blood,greaterkwerba.blood.0010
Airoran_airo1242,bone,greaterkwerba.bone.0011
Isirawa_isir1237,bone,greaterkwerba.bone.0011
Isirawa_isir1237,bone,greaterkwerba.bone.0012
Kwerba_nucl1595,bone,greaterkwerba.bone.0011
Airoran_airo1242,breast,?
Isirawa_isir1237,breast,?
Kwerba_nucl1595,breast,greaterkwerba.breast.0013
Airoran_airo1242,come,greaterkwerba.come.0014
Isirawa_isir1237,come,greaterkwerba.come.0016
Isirawa_isir1237,come,greaterkwerba.come.0017
Isirawa_isir1237,come,greaterkwerba.come.0018
Kwerba_nucl1595,come,greaterkwerba.come.0015
Airoran_airo1242,die,greaterkwerba.die.0019
Isirawa_isir1237,die,greaterkwerba.die.0020
Isirawa_isir1237,die,greaterkwerba.die.0021
Kwerba_nucl1595,die,greaterkwerba.die.0019
Airoran_airo1242,dog,greaterkwerba.dog.0022
Isirawa_isir1237,dog,greaterkwerba.dog.0023
Kwerba_nucl1595,dog,?
Airoran_airo1242,drink,?
Isirawa_isir1237,drink,greaterkwerba.drink.0025
Kwerba_nucl1595,drink,greaterkwerba.drink.0024
Airoran_airo1242,ear,greaterkwerba.ear.0026
Isirawa_isir1237,ear,?
Kwerba_nucl1595,ear,greaterkwerba.ear.0027
Airoran_airo1242,eye,greaterkwerba.eye.0028
Isirawa_isir1237,eye,greaterkwerba.eye.0028
Isirawa_isir1237,eye,greaterkwerba.eye.0028
Kwerba_nucl1595,eye,greaterkwerba.eye.0028
Airoran_airo1242,fire,greaterkwerba.fire.0029
Isirawa_isir1237,fire,greaterkwerba.fire.0030
Kwerba_nucl1595,fire,greaterkwerba.fire.0029
Airoran_airo1242,fish,greaterkwerba.fish.0031
Isirawa_isir1237,fish,?
Kwerba_nucl1595,fish,greaterkwerba.fish.0032
Airoran_airo1242,full,greaterkwerba.full.0033
Isirawa_isir1237,full,greaterkwerba.full.0034
Kwerba_nucl1595,full,?
Airoran_airo1242,hand,greaterkwerba.hand.0035
Isirawa_isir1237,hand,greaterkwerba.hand.0037
Isirawa_isir1237,hand,greaterkwerba.hand.0037
Kwerba_nucl1595,hand,greaterkwerba.hand.0036
Airoran_airo1242,hear,greaterkwerba.hear.0038
Isirawa_isir1237,hear,greaterkwerba.hear.0040
Kwerba_nucl1595,hear,greaterkwerba.hear.0039
Airoran_airo1242,horn,greaterkwerba.horn.0041
Isirawa_isir1237,horn,?
Kwerba_nucl1595,horn,?
Airoran_airo1242,knee,greaterkwerba.knee.0042
Isirawa_isir1237,knee,?
Kwerba_nucl1595,knee,greaterkwerba.knee.0043
Airoran_airo1242,leaf,greaterkwerba.leaf.0044
Isirawa_isir1237,leaf,?
Kwerba_nucl1595,leaf,?
Airoran_airo1242,liver,greaterkwerba.liver.0045
Isirawa_isir1237,liver,greaterkwerba.liver.0046
Kwerba_nucl1595,liver,?
Airoran_airo1242,louse,greaterkwerba.louse.0047
Isirawa_isir1237,louse,?
Kwerba_nucl1595,louse,?
Airoran_airo1242,mountain,greaterkwerba.mountain.0048
Isirawa_isir1237,mountain,greaterkwerba.mountain.0050
Kwerba_nucl1595,mountain,greaterkwerba.mountain.0049
Airoran_airo1242,name,greaterkwerba.name.0051
Isirawa_isir1237,name,greaterkwerba.name.0052
Isirawa_isir1237,name,greaterkwerba.name.0053
Kwerba_nucl1595,name,?
Airoran_airo1242,new,greaterkwerba.new.0054
Isirawa_isir1237,new,greaterkwerba.new.0056
