Language_ID,Feature_ID,Value
Ebang_heib1243,1pl,heibanic.1pl.0001
Ebang_heib1243,1pl,heibanic.1pl.0001
Ko_kooo1244,1pl,heibanic.1pl.0002
Koalib-Rere_koal1240,1pl,heibanic.1pl.0001
LaruNorthSudan_laro1243,1pl,heibanic.1pl.0001
Logol_logo1262,1pl,heibanic.1pl.0001
Moro_moro1285,1pl,heibanic.1pl.0003
Otoro_otor1240,1pl,heibanic.1pl.0001
Shwai_shwa1239,1pl,heibanic.1pl.0001
Shwai_shwa1239,1pl,heibanic.1pl.0001
Tira_tira1254,1pl,heibanic.1pl.0004
Warnang_warn1244,1pl,heibanic.1pl.0001
Ebang_heib1243,1sg,heibanic.1sg.0005
Ebang_heib1243,1sg,heibanic.1sg.0005
Ko_kooo1244,1sg,heibanic.1sg.0005
Koalib-Rere_koal1240,1sg,heibanic.1sg.0005
LaruNorthSudan_laro1243,1sg,heibanic.1sg.0006
Logol_logo1262,1sg,heibanic.1sg.0007
Moro_moro1285,1sg,heibanic.1sg.0005
Otoro_otor1240,1sg,heibanic.1sg.0005
Shwai_shwa1239,1sg,heibanic.1sg.0005
Tira_tira1254,1sg,heibanic.1sg.0005
Warnang_warn1244,1sg,heibanic.1sg.0005
Ebang_heib1243,2sg,heibanic.2sg.0008
Ebang_heib1243,2sg,heibanic.2sg.0008
Ko_kooo1244,2sg,heibanic.2sg.0008
Koalib-Rere_koal1240,2sg,heibanic.2sg.0008
LaruNorthSudan_laro1243,2sg,heibanic.2sg.0008
Logol_logo1262,2sg,heibanic.2sg.0008
Moro_moro1285,2sg,heibanic.2sg.0008
Otoro_otor1240,2sg,heibanic.2sg.0008
Shwai_shwa1239,2sg,heibanic.2sg.0008
Tira_tira1254,2sg,heibanic.2sg.0008
Warnang_warn1244,2sg,heibanic.2sg.0008
Ebang_heib1243,blood,heibanic.blood.0009
Ebang_heib1243,blood,heibanic.blood.0009
Ko_kooo1244,blood,heibanic.blood.0009
Koalib-Rere_koal1240,blood,heibanic.blood.0009
LaruNorthSudan_laro1243,blood,heibanic.blood.0009
Logol_logo1262,blood,heibanic.blood.0009
Moro_moro1285,blood,heibanic.blood.0009
Otoro_otor1240,blood,heibanic.blood.0009
Otoro_otor1240,blood,heibanic.blood.0009
Shwai_shwa1239,blood,heibanic.blood.0009
Shwai_shwa1239,blood,heibanic.blood.0009
Tira_tira1254,blood,heibanic.blood.0009
Warnang_warn1244,blood,heibanic.blood.0010
Ebang_heib1243,bone,heibanic.bone.0011
Ebang_heib1243,bone,heibanic.bone.0011
Ebang_heib1243,bone,heibanic.bone.0011
Ko_kooo1244,bone,heibanic.bone.0012
Koalib-Rere_koal1240,bone,heibanic.bone.0011
LaruNorthSudan_laro1243,bone,heibanic.bone.0011
Logol_logo1262,bone,heibanic.bone.0011
Moro_moro1285,bone,heibanic.bone.0011
Otoro_otor1240,bone,heibanic.bone.0011
Shwai_shwa1239,bone,heibanic.bone.0011
Tira_tira1254,bone,heibanic.bone.0011
Warnang_warn1244,bone,heibanic.bone.0012
Ebang_heib1243,breast,heibanic.breast.0013
Ebang_heib1243,breast,heibanic.breast.0013
Ko_kooo1244,breast,heibanic.breast.0014
Koalib-Rere_koal1240,breast,heibanic.breast.0013
LaruNorthSudan_laro1243,breast,heibanic.breast.0013
Logol_logo1262,breast,heibanic.breast.0013
Moro_moro1285,breast,heibanic.breast.0013
Moro_moro1285,breast,heibanic.breast.0013
Otoro_otor1240,breast,heibanic.breast.0013
Shwai_shwa1239,breast,heibanic.breast.0013
Tira_tira1254,breast,heibanic.breast.0013
Warnang_warn1244,breast,heibanic.breast.0013
Ebang_heib1243,come,heibanic.come.0015
Ebang_heib1243,come,heibanic.come.0015
Ko_kooo1244,come,heibanic.come.0016
Ko_kooo1244,come,heibanic.come.0018
Koalib-Rere_koal1240,come,heibanic.come.0015
LaruNorthSudan_laro1243,come,heibanic.come.0015
Logol_logo1262,come,heibanic.come.0015
Logol_logo1262,come,heibanic.come.0015
Moro_moro1285,come,heibanic.come.0015
Moro_moro1285,come,heibanic.come.0019
Otoro_otor1240,come,heibanic.come.0015
Shwai_shwa1239,come,heibanic.come.0015
Tira_tira1254,come,heibanic.come.0015
Tira_tira1254,come,heibanic.come.0020
Warnang_warn1244,come,heibanic.come.0017
Warnang_warn1244,come,heibanic.come.0021
Ebang_heib1243,die,heibanic.die.0022
Ebang_heib1243,die,heibanic.die.0022
Ko_kooo1244,die,heibanic.die.0023
Koalib-Rere_koal1240,die,heibanic.die.0024
LaruNorthSudan_laro1243,die,heibanic.die.0024
Logol_logo1262,die,heibanic.die.0022
Moro_moro1285,die,heibanic.die.0022
Otoro_otor1240,die,heibanic.die.0022
Shwai_shwa1239,die,heibanic.die.0022
Tira_tira1254,die,heibanic.die.0022
Warnang_warn1244,die,heibanic.die.0025
Ebang_heib1243,dog,heibanic.dog.0026
Ebang_heib1243,dog,heibanic.dog.0026
Ko_kooo1244,dog,heibanic.dog.0026
Koalib-Rere_koal1240,dog,heibanic.dog.0026
LaruNorthSudan_laro1243,dog,heibanic.dog.0026
Logol_logo1262,dog,heibanic.dog.0026
Moro_moro1285,dog,heibanic.dog.0026
Otoro_otor1240,dog,heibanic.dog.0026
Shwai_shwa1239,dog,heibanic.dog.0026
Tira_tira1254,dog,heibanic.dog.0026
Tira_tira1254,dog,heibanic.dog.0026
Warnang_warn1244,dog,heibanic.dog.0026
Ebang_heib1243,drink,heibanic.drink.0027
Ebang_heib1243,drink,heibanic.drink.0027
Ko_kooo1244,drink,heibanic.drink.0027
Koalib-Rere_koal1240,drink,heibanic.drink.0029
LaruNorthSudan_laro1243,drink,heibanic.drink.0027
Logol_logo1262,drink,?
Moro_moro1285,drink,heibanic.drink.0028
Otoro_otor1240,drink,heibanic.drink.0031
Shwai_shwa1239,drink,heibanic.drink.0027
Tira_tira1254,drink,heibanic.drink.0030
Warnang_warn1244,drink,heibanic.drink.0032
Ebang_heib1243,ear,heibanic.ear.0033
Ebang_heib1243,ear,heibanic.ear.0033
Ko_kooo1244,ear,heibanic.ear.0033
Koalib-Rere_koal1240,ear,heibanic.ear.0033
LaruNorthSudan_laro1243,ear,heibanic.ear.0033
Logol_logo1262,ear,heibanic.ear.0033
Moro_moro1285,ear,heibanic.ear.0034
Otoro_otor1240,ear,heibanic.ear.0033
Shwai_shwa1239,ear,heibanic.ear.0033
Tira_tira1254,ear,heibanic.ear.0034
Warnang_warn1244,ear,heibanic.ear.0035
Ebang_heib1243,eye,heibanic.eye.0036
Ebang_heib1243,eye,heibanic.eye.0036
Ko_kooo1244,eye,heibanic.eye.0037
Koalib-Rere_koal1240,eye,heibanic.eye.0036
LaruNorthSudan_laro1243,eye,heibanic.eye.0036
Logol_logo1262,eye,heibanic.eye.0036
Moro_moro1285,eye,heibanic.eye.0038
Otoro_otor1240,eye,heibanic.eye.0036
Shwai_shwa1239,eye,heibanic.eye.0036
Tira_tira1254,eye,heibanic.eye.0036
Warnang_warn1244,eye,heibanic.eye.0037
Ebang_heib1243,fire,heibanic.fire.0039
Ebang_heib1243,fire,heibanic.fire.0039
Ko_kooo1244,fire,heibanic.fire.0039
Koalib-Rere_koal1240,fire,heibanic.fire.0039
LaruNorthSudan_laro1243,fire,heibanic.fire.0039
Logol_logo1262,fire,heibanic.fire.0039
Moro_moro1285,fire,heibanic.fire.0040
Otoro_otor1240,fire,heibanic.fire.0039
Shwai_shwa1239,fire,heibanic.fire.0041
Tira_tira1254,fire,heibanic.fire.0042
Warnang_warn1244,fire,heibanic.fire.0039
Ebang_heib1243,fish,heibanic.fish.0043
Ebang_heib1243,fish,heibanic.fish.0043
Ebang_heib1243,fish,heibanic.fish.0043
Ko_kooo1244,fish,heibanic.fish.0043
Koalib-Rere_koal1240,fish,heibanic.fish.0043
LaruNorthSudan_laro1243,fish,heibanic.fish.0043
Logol_logo1262,fish,?
Moro_moro1285,fish,heibanic.fish.0043
Otoro_otor1240,fish,heibanic.fish.0043
Shwai_shwa1239,fish,heibanic.fish.0043
Tira_tira1254,fish,heibanic.fish.0043
Warnang_warn1244,fish,heibanic.fish.0043
Ebang_heib1243,full,heibanic.full.0044
Ebang_heib1243,full,heibanic.full.0045
Ko_kooo1244,full,heibanic.full.0046
Koalib-Rere_koal1240,full,heibanic.full.0048
LaruNorthSudan_laro1243,full,heibanic.full.0047
Logol_logo1262,full,heibanic.full.0044
Moro_moro1285,full,heibanic.full.0044
Otoro_otor1240,full,heibanic.full.0050
Shwai_shwa1239,full,heibanic.full.0049
Tira_tira1254,full,heibanic.full.0044
Warnang_warn1244,full,heibanic.full.0051
Ebang_heib1243,hand,heibanic.hand.0052
Ebang_heib1243,hand,heibanic.hand.0052
Ko_kooo1244,hand,heibanic.hand.0052
Koalib-Rere_koal1240,hand,heibanic.hand.0054
LaruNorthSudan_laro1243,hand,heibanic.hand.0053
Logol_logo1262,hand,heibanic.hand.0052
Moro_moro1285,hand,heibanic.hand.0052
Otoro_otor1240,hand,heibanic.hand.0054
Shwai_shwa1239,hand,heibanic.hand.0052
Tira_tira1254,hand,heibanic.hand.0055
Warnang_warn1244,hand,heibanic.hand.0056
Ebang_heib1243,hear,heibanic.hear.0057
Ebang_heib1243,hear,heibanic.hear.0057
Ko_kooo1244,hear,heibanic.hear.0058
Koalib-Rere_koal1240,hear,heibanic.hear.0059
LaruNorthSudan_laro1243,hear,heibanic.hear.0057
Logol_logo1262,hear,heibanic.hear.0059
Moro_moro1285,hear,heibanic.hear.0059
Otoro_otor1240,hear,heibanic.hear.0057
Otoro_otor1240,hear,heibanic.hear.0060
Shwai_shwa1239,hear,heibanic.hear.0059
Tira_tira1254,hear,heibanic.hear.0058
Warnang_warn1244,hear,heibanic.hear.0058
Ebang_heib1243,horn,heibanic.horn.0061
Ebang_heib1243,horn,heibanic.horn.0061
Ko_kooo1244,horn,?
Koalib-Rere_koal1240,horn,?
LaruNorthSudan_laro1243,horn,heibanic.horn.0061
Logol_logo1262,horn,heibanic.horn.0061
Moro_moro1285,horn,heibanic.horn.0061
Otoro_otor1240,horn,heibanic.horn.0062
Shwai_shwa1239,horn,heibanic.horn.0062
Tira_tira1254,horn,heibanic.horn.0062
Warnang_warn1244,horn,heibanic.horn.0063
Ebang_heib1243,knee,heibanic.knee.0064
Ebang_heib1243,knee,heibanic.knee.0064
Ebang_heib1243,knee,heibanic.knee.0064
Ko_kooo1244,knee,heibanic.knee.0064
Koalib-Rere_koal1240,knee,heibanic.knee.0064
LaruNorthSudan_laro1243,knee,heibanic.knee.0064
Logol_logo1262,knee,heibanic.knee.0064
Moro_moro1285,knee,heibanic.knee.0064
Otoro_otor1240,knee,heibanic.knee.0064
Shwai_shwa1239,knee,heibanic.knee.0064
Tira_tira1254,knee,heibanic.knee.0064
Warnang_warn1244,knee,heibanic.knee.0064
Ebang_heib1243,leaf,heibanic.leaf.0065
Ebang_heib1243,leaf,heibanic.leaf.0065
Ko_kooo1244,leaf,heibanic.leaf.0065
Koalib-Rere_koal1240,leaf,heibanic.leaf.0065
LaruNorthSudan_laro1243,leaf,heibanic.leaf.0065
Logol_logo1262,leaf,heibanic.leaf.0065
Moro_moro1285,leaf,heibanic.leaf.0066
Otoro_otor1240,leaf,heibanic.leaf.0065
