Language_ID,Feature_ID,Value
Atohwaim_atoh1238,1pl,kayagaric.1pl.0001
Kayagar_kaya1328,1pl,kayagaric.1pl.0001
Tamagario_tama1336,1pl,kayagaric.1pl.0001
Atohwaim_atoh1238,1sg,kayagaric.1sg.0002
Kayagar_kaya1328,1sg,kayagaric.1sg.0002
Tamagario_tama1336,1sg,kayagaric.1sg.0002
Atohwaim_atoh1238,2sg,kayagaric.2sg.0003
Kayagar_kaya1328,2sg,kayagaric.2sg.0003
Tamagario_tama1336,2sg,kayagaric.2sg.0003
Atohwaim_atoh1238,blood,kayagaric.blood.0005
Kayagar_kaya1328,blood,kayagaric.blood.0004
Tamagario_tama1336,blood,kayagaric.blood.0006
Atohwaim_atoh1238,bone,kayagaric.bone.0007
Kayagar_kaya1328,bone,kayagaric.bone.0007
Tamagario_tama1336,bone,kayagaric.bone.0007
Atohwaim_atoh1238,breast,kayagaric.breast.0008
Kayagar_kaya1328,breast,?
Tamagario_tama1336,breast,kayagaric.breast.0009
Atohwaim_atoh1238,come,kayagaric.come.0010
Kayagar_kaya1328,come,?
Tamagario_tama1336,come,kayagaric.come.0010
Atohwaim_atoh1238,die,kayagaric.die.0012
Kayagar_kaya1328,die,kayagaric.die.0011
Tamagario_tama1336,die,?
Atohwaim_atoh1238,dog,kayagaric.dog.0014
Kayagar_kaya1328,dog,kayagaric.dog.0013
Kayagar_kaya1328,dog,kayagaric.dog.0013
Tamagario_tama1336,dog,kayagaric.dog.0013
Atohwaim_atoh1238,ear,kayagaric.ear.0016
Kayagar_kaya1328,ear,kayagaric.ear.0015
Tamagario_tama1336,ear,kayagaric.ear.0017
Atohwaim_atoh1238,eye,kayagaric.eye.0018
Kayagar_kaya1328,eye,kayagaric.eye.0018
Tamagario_tama1336,eye,kayagaric.eye.0018
Atohwaim_atoh1238,fire,kayagaric.fire.0019
Kayagar_kaya1328,fire,kayagaric.fire.0019
Tamagario_tama1336,fire,kayagaric.fire.0019
Atohwaim_atoh1238,fish,kayagaric.fish.0021
Kayagar_kaya1328,fish,kayagaric.fish.0020
Tamagario_tama1336,fish,kayagaric.fish.0020
Atohwaim_atoh1238,full,kayagaric.full.0022
Kayagar_kaya1328,full,?
Tamagario_tama1336,full,kayagaric.full.0023
Atohwaim_atoh1238,hand,kayagaric.hand.0024
Kayagar_kaya1328,hand,kayagaric.hand.0024
Tamagario_tama1336,hand,kayagaric.hand.0024
Atohwaim_atoh1238,hear,kayagaric.hear.0025
Kayagar_kaya1328,hear,?
Tamagario_tama1336,hear,kayagaric.hear.0025
Atohwaim_atoh1238,knee,kayagaric.knee.0026
Kayagar_kaya1328,knee,kayagaric.knee.0026
Tamagario_tama1336,knee,kayagaric.knee.0026
Atohwaim_atoh1238,leaf,kayagaric.leaf.0028
Kayagar_kaya1328,leaf,kayagaric.leaf.0027
Tamagario_tama1336,leaf,kayagaric.leaf.0027
Atohwaim_atoh1238,louse,kayagaric.louse.0030
Kayagar_kaya1328,louse,kayagaric.louse.0029
Tamagario_tama1336,louse,?
Atohwaim_atoh1238,new,kayagaric.new.0032
Kayagar_kaya1328,new,kayagaric.new.0031
Tamagario_tama1336,new,kayagaric.new.0031
Atohwaim_atoh1238,night,kayagaric.night.0033
Kayagar_kaya1328,night,kayagaric.night.0033
Tamagario_tama1336,night,kayagaric.night.0034
Atohwaim_atoh1238,nose,kayagaric.nose.0036
Kayagar_kaya1328,nose,kayagaric.nose.0035
Tamagario_tama1336,nose,kayagaric.nose.0035
Atohwaim_atoh1238,one,kayagaric.one.0038
Kayagar_kaya1328,one,kayagaric.one.0037
Tamagario_tama1336,one,kayagaric.one.0037
Atohwaim_atoh1238,path,kayagaric.path.0040
Kayagar_kaya1328,path,kayagaric.path.0039
Tamagario_tama1336,path,kayagaric.path.0039
Atohwaim_atoh1238,person,kayagaric.person.0042
Kayagar_kaya1328,person,kayagaric.person.0041
Tamagario_tama1336,person,kayagaric.person.0041
Atohwaim_atoh1238,see,kayagaric.see.0044
Kayagar_kaya1328,see,kayagaric.see.0043
Tamagario_tama1336,see,kayagaric.see.0043
Atohwaim_atoh1238,skin,kayagaric.skin.0045
Kayagar_kaya1328,skin,kayagaric.skin.0045
Tamagario_tama1336,skin,kayagaric.skin.0045
Atohwaim_atoh1238,star,kayagaric.star.0046
Kayagar_kaya1328,star,kayagaric.star.0046
Tamagario_tama1336,star,kayagaric.star.0046
Atohwaim_atoh1238,stone,kayagaric.stone.0048
Kayagar_kaya1328,stone,kayagaric.stone.0047
Tamagario_tama1336,stone,kayagaric.stone.0049
Atohwaim_atoh1238,sun,kayagaric.sun.0051
Kayagar_kaya1328,sun,kayagaric.sun.0050
Tamagario_tama1336,sun,kayagaric.sun.0050
Atohwaim_atoh1238,tongue,kayagaric.tongue.0053
Kayagar_kaya1328,tongue,kayagaric.tongue.0052
Tamagario_tama1336,tongue,kayagaric.tongue.0052
Atohwaim_atoh1238,tooth,kayagaric.tooth.0054
Kayagar_kaya1328,tooth,kayagaric.tooth.0054
Tamagario_tama1336,tooth,kayagaric.tooth.0054
Atohwaim_atoh1238,tree,kayagaric.tree.0056
Kayagar_kaya1328,tree,kayagaric.tree.0055
Tamagario_tama1336,tree,kayagaric.tree.0055
Atohwaim_atoh1238,two,kayagaric.two.0058
Kayagar_kaya1328,two,kayagaric.two.0057
Tamagario_tama1336,two,kayagaric.two.0057
Atohwaim_atoh1238,water,kayagaric.water.0059
Kayagar_kaya1328,water,kayagaric.water.0059
Tamagario_tama1336,water,kayagaric.water.0059
