Language_ID,Feature_ID,Value
Ambakich_amba1269,1pl,lowersepikramu.1pl.0001
ApMa_apma1241,1pl,?
Mwakai_mong1344,1pl,koam.1pl.0001
UlwaPapuaNewGuinea_yaul1241,1pl,koam.1pl.0002
Ambakich_amba1269,1sg,lowersepikramu.1sg.0009
Ambakich_amba1269,1sg,lowersepikramu.1sg.0009
Ambakich_amba1269,1sg,lowersepikramu.1sg.0009
Ambakich_amba1269,1sg,lowersepikramu.1sg.0009
Ambakich_amba1269,1sg,lowersepikramu.1sg.0009
Ambakich_amba1269,1sg,lowersepikramu.1sg.0009
ApMa_apma1241,1sg,botin.1sg.0007
ApMa_apma1241,1sg,botin.1sg.0065
Mwakai_mong1344,1sg,koam.1sg.0003
Mwakai_mong1344,1sg,koam.1sg.0003
UlwaPapuaNewGuinea_yaul1241,1sg,koam.1sg.0003
Ambakich_amba1269,2sg,lowersepikramu.2sg.0018
Ambakich_amba1269,2sg,lowersepikramu.2sg.0018
Ambakich_amba1269,2sg,lowersepikramu.2sg.0018
Ambakich_amba1269,2sg,lowersepikramu.2sg.0018
Ambakich_amba1269,2sg,lowersepikramu.2sg.0018
Ambakich_amba1269,2sg,lowersepikramu.2sg.0018
ApMa_apma1241,2sg,?
Mwakai_mong1344,2sg,koam.2sg.0004
UlwaPapuaNewGuinea_yaul1241,2sg,koam.2sg.0005
Ambakich_amba1269,blood,lowersepikramu.blood.0025
Ambakich_amba1269,blood,lowersepikramu.blood.0025
Ambakich_amba1269,blood,lowersepikramu.blood.0025
Ambakich_amba1269,blood,lowersepikramu.blood.0025
Ambakich_amba1269,blood,lowersepikramu.blood.0025
Ambakich_amba1269,blood,lowersepikramu.blood.0025
ApMa_apma1241,blood,botin.blood.0082
Mwakai_mong1344,blood,koam.blood.0006
UlwaPapuaNewGuinea_yaul1241,blood,koam.blood.0007
Ambakich_amba1269,bone,lowersepikramu.bone.0042
Ambakich_amba1269,bone,lowersepikramu.bone.0042
Ambakich_amba1269,bone,lowersepikramu.bone.0042
Ambakich_amba1269,bone,lowersepikramu.bone.0042
Ambakich_amba1269,bone,lowersepikramu.bone.0042
Ambakich_amba1269,bone,lowersepikramu.bone.0042
ApMa_apma1241,bone,botin.bone.0001
Mwakai_mong1344,bone,koam.bone.0008
UlwaPapuaNewGuinea_yaul1241,bone,koam.bone.0009
Ambakich_amba1269,breast,lowersepikramu.breast.0049
Ambakich_amba1269,breast,lowersepikramu.breast.0049
Ambakich_amba1269,breast,lowersepikramu.breast.0049
Ambakich_amba1269,breast,lowersepikramu.breast.0049
Ambakich_amba1269,breast,lowersepikramu.breast.0049
Ambakich_amba1269,breast,lowersepikramu.breast.0049
ApMa_apma1241,breast,botin.breast.0100
Mwakai_mong1344,breast,koam.breast.0010
UlwaPapuaNewGuinea_yaul1241,breast,koam.breast.0011
Ambakich_amba1269,come,lowersepikramu.come.0058
Ambakich_amba1269,come,lowersepikramu.come.0059
Ambakich_amba1269,come,lowersepikramu.come.0059
Ambakich_amba1269,come,lowersepikramu.come.0059
Ambakich_amba1269,come,lowersepikramu.come.0059
Ambakich_amba1269,come,lowersepikramu.come.0059
ApMa_apma1241,come,botin.come.0103
Mwakai_mong1344,come,koam.come.0012
UlwaPapuaNewGuinea_yaul1241,come,koam.come.0013
Ambakich_amba1269,die,lowersepikramu.die.0078
Ambakich_amba1269,die,lowersepikramu.die.0079
Ambakich_amba1269,die,lowersepikramu.die.0079
