Language_ID,Feature_ID,Value
AjaSouthSudan_ajas1235,1pl,kreshaja.1pl.0001
Kresh-Woro_gbay1288,1pl,kreshaja.1pl.0002
AjaSouthSudan_ajas1235,1sg,kreshaja.1sg.0003
AjaSouthSudan_ajas1235,1sg,kreshaja.1sg.0004
Kresh-Woro_gbay1288,1sg,kreshaja.1sg.0003
AjaSouthSudan_ajas1235,2sg,kreshaja.2sg.0005
AjaSouthSudan_ajas1235,2sg,kreshaja.2sg.0006
Kresh-Woro_gbay1288,2sg,kreshaja.2sg.0006
AjaSouthSudan_ajas1235,blood,kreshaja.blood.0007
Kresh-Woro_gbay1288,blood,kreshaja.blood.0008
AjaSouthSudan_ajas1235,bone,kreshaja.bone.0009
Kresh-Woro_gbay1288,bone,kreshaja.bone.0010
AjaSouthSudan_ajas1235,breast,kreshaja.breast.0011
AjaSouthSudan_ajas1235,breast,kreshaja.breast.0013
Kresh-Woro_gbay1288,breast,kreshaja.breast.0012
Kresh-Woro_gbay1288,breast,kreshaja.breast.0014
AjaSouthSudan_ajas1235,come,kreshaja.come.0015
Kresh-Woro_gbay1288,come,kreshaja.come.0016
AjaSouthSudan_ajas1235,die,kreshaja.die.0017
Kresh-Woro_gbay1288,die,kreshaja.die.0018
AjaSouthSudan_ajas1235,dog,kreshaja.dog.0019
Kresh-Woro_gbay1288,dog,kreshaja.dog.0020
AjaSouthSudan_ajas1235,drink,kreshaja.drink.0021
Kresh-Woro_gbay1288,drink,kreshaja.drink.0021
AjaSouthSudan_ajas1235,ear,kreshaja.ear.0022
Kresh-Woro_gbay1288,ear,kreshaja.ear.0023
AjaSouthSudan_ajas1235,eye,kreshaja.eye.0024
Kresh-Woro_gbay1288,eye,kreshaja.eye.0025
AjaSouthSudan_ajas1235,fire,kreshaja.fire.0026
AjaSouthSudan_ajas1235,fire,kreshaja.fire.0026
Kresh-Woro_gbay1288,fire,kreshaja.fire.0027
AjaSouthSudan_ajas1235,fish,kreshaja.fish.0028
Kresh-Woro_gbay1288,fish,kreshaja.fish.0029
AjaSouthSudan_ajas1235,hand,?
Kresh-Woro_gbay1288,hand,kreshaja.hand.0030
AjaSouthSudan_ajas1235,hear,kreshaja.hear.0031
Kresh-Woro_gbay1288,hear,kreshaja.hear.0032
AjaSouthSudan_ajas1235,horn,kreshaja.horn.0033
Kresh-Woro_gbay1288,horn,kreshaja.horn.0034
AjaSouthSudan_ajas1235,knee,kreshaja.knee.0035
Kresh-Woro_gbay1288,knee,kreshaja.knee.0036
AjaSouthSudan_ajas1235,mountain,kreshaja.mountain.0037
Kresh-Woro_gbay1288,mountain,kreshaja.mountain.0038
AjaSouthSudan_ajas1235,name,kreshaja.name.0039
Kresh-Woro_gbay1288,name,kreshaja.name.0040
AjaSouthSudan_ajas1235,new,kreshaja.new.0041
Kresh-Woro_gbay1288,new,kreshaja.new.0042
AjaSouthSudan_ajas1235,nose,kreshaja.nose.0043
Kresh-Woro_gbay1288,nose,kreshaja.nose.0044
AjaSouthSudan_ajas1235,one,kreshaja.one.0045
Kresh-Woro_gbay1288,one,kreshaja.one.0046
AjaSouthSudan_ajas1235,path,kreshaja.path.0047
Kresh-Woro_gbay1288,path,kreshaja.path.0048
Kresh-Woro_gbay1288,path,kreshaja.path.0048
AjaSouthSudan_ajas1235,see,kreshaja.see.0049
Kresh-Woro_gbay1288,see,kreshaja.see.0049
AjaSouthSudan_ajas1235,skin,kreshaja.skin.0050
Kresh-Woro_gbay1288,skin,kreshaja.skin.0051
AjaSouthSudan_ajas1235,star,kreshaja.star.0052
Kresh-Woro_gbay1288,star,kreshaja.star.0053
AjaSouthSudan_ajas1235,stone,kreshaja.stone.0054
Kresh-Woro_gbay1288,stone,kreshaja.stone.0055
Kresh-Woro_gbay1288,stone,kreshaja.stone.0056
AjaSouthSudan_ajas1235,sun,kreshaja.sun.0057
Kresh-Woro_gbay1288,sun,kreshaja.sun.0058
AjaSouthSudan_ajas1235,tongue,kreshaja.tongue.0059
Kresh-Woro_gbay1288,tongue,kreshaja.tongue.0060
AjaSouthSudan_ajas1235,tooth,kreshaja.tooth.0061
Kresh-Woro_gbay1288,tooth,kreshaja.tooth.0062
AjaSouthSudan_ajas1235,tree,kreshaja.tree.0063
Kresh-Woro_gbay1288,tree,kreshaja.tree.0064
AjaSouthSudan_ajas1235,two,kreshaja.two.0065
Kresh-Woro_gbay1288,two,kreshaja.two.0066
AjaSouthSudan_ajas1235,water,kreshaja.water.0067
Kresh-Woro_gbay1288,water,kreshaja.water.0068
