Language_ID,Feature_ID,Value
Bauwaki_bauw1240,1pl,?
Domu_domu1245,1pl,mailuan.1pl.0001
Mailu_mail1248,1pl,mailuan.1pl.0001
Bauwaki_bauw1240,1sg,?
Domu_domu1245,1sg,mailuan.1sg.0002
Mailu_mail1248,1sg,mailuan.1sg.0002
Bauwaki_bauw1240,2sg,?
Domu_domu1245,2sg,mailuan.2sg.0003
Domu_domu1245,2sg,mailuan.2sg.0004
Mailu_mail1248,2sg,mailuan.2sg.0003
Bauwaki_bauw1240,blood,mailuan.blood.0005
Domu_domu1245,blood,mailuan.blood.0006
Mailu_mail1248,blood,mailuan.blood.0007
Bauwaki_bauw1240,bone,mailuan.bone.0008
Domu_domu1245,bone,mailuan.bone.0009
Mailu_mail1248,bone,mailuan.bone.0009
Bauwaki_bauw1240,breast,mailuan.breast.0010
Domu_domu1245,breast,mailuan.breast.0010
Mailu_mail1248,breast,?
Bauwaki_bauw1240,come,mailuan.come.0011
Domu_domu1245,come,mailuan.come.0011
Mailu_mail1248,come,mailuan.come.0012
Bauwaki_bauw1240,die,?
Domu_domu1245,die,?
Mailu_mail1248,die,mailuan.die.0013
Bauwaki_bauw1240,dog,mailuan.dog.0014
Domu_domu1245,dog,mailuan.dog.0014
Domu_domu1245,dog,mailuan.dog.0014
Mailu_mail1248,dog,?
Bauwaki_bauw1240,drink,?
Domu_domu1245,drink,mailuan.drink.0015
Mailu_mail1248,drink,mailuan.drink.0015
Bauwaki_bauw1240,ear,mailuan.ear.0016
Domu_domu1245,ear,mailuan.ear.0017
Mailu_mail1248,ear,mailuan.ear.0017
Bauwaki_bauw1240,eye,mailuan.eye.0018
Domu_domu1245,eye,mailuan.eye.0018
Domu_domu1245,eye,mailuan.eye.0018
Mailu_mail1248,eye,mailuan.eye.0019
Bauwaki_bauw1240,fire,mailuan.fire.0020
Domu_domu1245,fire,mailuan.fire.0020
Domu_domu1245,fire,mailuan.fire.0022
Mailu_mail1248,fire,mailuan.fire.0021
Bauwaki_bauw1240,fish,mailuan.fish.0023
Domu_domu1245,fish,mailuan.fish.0023
Mailu_mail1248,fish,mailuan.fish.0023
Bauwaki_bauw1240,full,mailuan.full.0024
Domu_domu1245,full,mailuan.full.0025
Mailu_mail1248,full,?
Bauwaki_bauw1240,hand,mailuan.hand.0026
Domu_domu1245,hand,mailuan.hand.0027
Mailu_mail1248,hand,mailuan.hand.0028
Bauwaki_bauw1240,hear,?
Domu_domu1245,hear,mailuan.hear.0029
Mailu_mail1248,hear,mailuan.hear.0030
Bauwaki_bauw1240,knee,mailuan.knee.0031
Domu_domu1245,knee,?
Mailu_mail1248,knee,?
Bauwaki_bauw1240,leaf,mailuan.leaf.0032
Domu_domu1245,leaf,?
Mailu_mail1248,leaf,mailuan.leaf.0033
Bauwaki_bauw1240,liver,mailuan.liver.0034
Domu_domu1245,liver,?
Mailu_mail1248,liver,?
Bauwaki_bauw1240,louse,mailuan.louse.0035
Domu_domu1245,louse,mailuan.louse.0036
Mailu_mail1248,louse,mailuan.louse.0036
Bauwaki_bauw1240,mountain,mailuan.mountain.0037
Domu_domu1245,mountain,mailuan.mountain.0038
Mailu_mail1248,mountain,mailuan.mountain.0038
Bauwaki_bauw1240,name,mailuan.name.0039
Domu_domu1245,name,mailuan.name.0040
Mailu_mail1248,name,mailuan.name.0040
Bauwaki_bauw1240,new,mailuan.new.0041
Domu_domu1245,new,?
Mailu_mail1248,new,mailuan.new.0042
Bauwaki_bauw1240,night,mailuan.night.0043
Domu_domu1245,night,mailuan.night.0044
Domu_domu1245,night,mailuan.night.0045
Mailu_mail1248,night,mailuan.night.0044
Bauwaki_bauw1240,nose,mailuan.nose.0046
Domu_domu1245,nose,?
Mailu_mail1248,nose,mailuan.nose.0047
Bauwaki_bauw1240,one,mailuan.one.0048
Domu_domu1245,one,mailuan.one.0049
Mailu_mail1248,one,mailuan.one.0050
Bauwaki_bauw1240,path,mailuan.path.0051
Domu_domu1245,path,mailuan.path.0052
Domu_domu1245,path,mailuan.path.0053
Mailu_mail1248,path,mailuan.path.0052
Bauwaki_bauw1240,see,mailuan.see.0054
Domu_domu1245,see,mailuan.see.0054
Mailu_mail1248,see,mailuan.see.0055
Mailu_mail1248,see,mailuan.see.0056
Mailu_mail1248,see,mailuan.see.0057
Bauwaki_bauw1240,skin,mailuan.skin.0058
Domu_domu1245,skin,mailuan.skin.0059
Mailu_mail1248,skin,mailuan.skin.0059
Bauwaki_bauw1240,star,mailuan.star.0060
Domu_domu1245,star,mailuan.star.0061
Mailu_mail1248,star,mailuan.star.0062
Bauwaki_bauw1240,stone,mailuan.stone.0063
Domu_domu1245,stone,mailuan.stone.0063
Mailu_mail1248,stone,mailuan.stone.0063
Mailu_mail1248,stone,mailuan.stone.0064
Bauwaki_bauw1240,sun,mailuan.sun.0065
Domu_domu1245,sun,mailuan.sun.0066
Mailu_mail1248,sun,mailuan.sun.0067
Bauwaki_bauw1240,tongue,mailuan.tongue.0068
Domu_domu1245,tongue,?
Mailu_mail1248,tongue,mailuan.tongue.0069
Bauwaki_bauw1240,tooth,mailuan.tooth.0070
Domu_domu1245,tooth,mailuan.tooth.0071
Domu_domu1245,tooth,mailuan.tooth.0071
Mailu_mail1248,tooth,mailuan.tooth.0071
Bauwaki_bauw1240,tree,mailuan.tree.0072
Domu_domu1245,tree,mailuan.tree.0072
Domu_domu1245,tree,mailuan.tree.0073
Mailu_mail1248,tree,mailuan.tree.0072
Bauwaki_bauw1240,two,mailuan.two.0074
Domu_domu1245,two,mailuan.two.0075
Mailu_mail1248,two,mailuan.two.0076
Bauwaki_bauw1240,water,mailuan.water.0077
Domu_domu1245,water,mailuan.water.0077
Domu_domu1245,water,mailuan.water.0078
Mailu_mail1248,water,mailuan.water.0079
