Language_ID,Feature_ID,Value
Jaminjung-Ngaliwurru_djam1255,1pl,mirndi.1pl.0001
Jingulu_djin1251,1pl,mirndi.1pl.0002
Jingulu_djin1251,1pl,mirndi.1pl.0004
Ngarnka_ngar1283,1pl,?
Wambayan_wamb1258,1pl,mirndi.1pl.0003
Jaminjung-Ngaliwurru_djam1255,1sg,mirndi.1sg.0005
Jingulu_djin1251,1sg,mirndi.1sg.0005
Jingulu_djin1251,1sg,mirndi.1sg.0006
Ngarnka_ngar1283,1sg,?
Wambayan_wamb1258,1sg,mirndi.1sg.0007
Jaminjung-Ngaliwurru_djam1255,2sg,mirndi.2sg.0008
Jingulu_djin1251,2sg,mirndi.2sg.0009
Jingulu_djin1251,2sg,mirndi.2sg.0010
Ngarnka_ngar1283,2sg,?
Wambayan_wamb1258,2sg,mirndi.2sg.0008
Wambayan_wamb1258,2sg,mirndi.2sg.0011
Jaminjung-Ngaliwurru_djam1255,blood,mirndi.blood.0012
Jingulu_djin1251,blood,mirndi.blood.0013
Ngarnka_ngar1283,blood,mirndi.blood.0014
Wambayan_wamb1258,blood,mirndi.blood.0014
Jaminjung-Ngaliwurru_djam1255,bone,mirndi.bone.0015
Jingulu_djin1251,bone,mirndi.bone.0016
Ngarnka_ngar1283,bone,mirndi.bone.0017
Wambayan_wamb1258,bone,mirndi.bone.0017
Jaminjung-Ngaliwurru_djam1255,breast,mirndi.breast.0018
Jingulu_djin1251,breast,mirndi.breast.0019
Ngarnka_ngar1283,breast,mirndi.breast.0018
Wambayan_wamb1258,breast,mirndi.breast.0018
Jaminjung-Ngaliwurru_djam1255,come,mirndi.come.0020
Jingulu_djin1251,come,mirndi.come.0021
Jingulu_djin1251,come,mirndi.come.0022
Ngarnka_ngar1283,come,?
Wambayan_wamb1258,come,mirndi.come.0022
Jaminjung-Ngaliwurru_djam1255,die,mirndi.die.0023
Jingulu_djin1251,die,mirndi.die.0024
Ngarnka_ngar1283,die,mirndi.die.0025
Wambayan_wamb1258,die,mirndi.die.0026
Jaminjung-Ngaliwurru_djam1255,dog,mirndi.dog.0027
Jingulu_djin1251,dog,mirndi.dog.0028
Jingulu_djin1251,dog,mirndi.dog.0028
