Language_ID,Feature_ID,Value
Koneraw_kone1241,1pl,mombumkoneraw.1pl.0002
Mombum_nucl1452,1pl,mombumkoneraw.1pl.0001
Mombum_nucl1452,1pl,mombumkoneraw.1pl.0001
Koneraw_kone1241,1sg,mombumkoneraw.1sg.0004
Mombum_nucl1452,1sg,mombumkoneraw.1sg.0003
Mombum_nucl1452,1sg,mombumkoneraw.1sg.0004
Koneraw_kone1241,2sg,mombumkoneraw.2sg.0005
Mombum_nucl1452,2sg,mombumkoneraw.2sg.0005
Mombum_nucl1452,2sg,mombumkoneraw.2sg.0005
Mombum_nucl1452,2sg,mombumkoneraw.2sg.0005
Koneraw_kone1241,blood,mombumkoneraw.blood.0006
Mombum_nucl1452,blood,mombumkoneraw.blood.0006
Mombum_nucl1452,blood,mombumkoneraw.blood.0006
Koneraw_kone1241,bone,mombumkoneraw.bone.0008
Mombum_nucl1452,bone,mombumkoneraw.bone.0007
Mombum_nucl1452,bone,mombumkoneraw.bone.0009
Koneraw_kone1241,breast,mombumkoneraw.breast.0011
Koneraw_kone1241,breast,mombumkoneraw.breast.0013
Mombum_nucl1452,breast,mombumkoneraw.breast.0010
Mombum_nucl1452,breast,mombumkoneraw.breast.0011
Mombum_nucl1452,breast,mombumkoneraw.breast.0012
Koneraw_kone1241,come,mombumkoneraw.come.0015
Mombum_nucl1452,come,mombumkoneraw.come.0014
Mombum_nucl1452,come,mombumkoneraw.come.0016
Koneraw_kone1241,die,mombumkoneraw.die.0018
Mombum_nucl1452,die,mombumkoneraw.die.0017
Mombum_nucl1452,die,mombumkoneraw.die.0017
Koneraw_kone1241,dog,mombumkoneraw.dog.0019
Mombum_nucl1452,dog,mombumkoneraw.dog.0019
Mombum_nucl1452,dog,mombumkoneraw.dog.0019
Koneraw_kone1241,drink,mombumkoneraw.drink.0021
Mombum_nucl1452,drink,mombumkoneraw.drink.0020
Mombum_nucl1452,drink,mombumkoneraw.drink.0022
Mombum_nucl1452,drink,mombumkoneraw.drink.0023
Koneraw_kone1241,ear,mombumkoneraw.ear.0024
Mombum_nucl1452,ear,mombumkoneraw.ear.0024
Mombum_nucl1452,ear,mombumkoneraw.ear.0024
Koneraw_kone1241,eye,mombumkoneraw.eye.0026
Mombum_nucl1452,eye,mombumkoneraw.eye.0025
Mombum_nucl1452,eye,mombumkoneraw.eye.0025
Koneraw_kone1241,fire,mombumkoneraw.fire.0028
Mombum_nucl1452,fire,mombumkoneraw.fire.0027
Mombum_nucl1452,fire,mombumkoneraw.fire.0029
Koneraw_kone1241,fish,mombumkoneraw.fish.0031
Mombum_nucl1452,fish,mombumkoneraw.fish.0030
Mombum_nucl1452,fish,mombumkoneraw.fish.0030
Koneraw_kone1241,full,?
Mombum_nucl1452,full,mombumkoneraw.full.0032
Koneraw_kone1241,hand,mombumkoneraw.hand.0034
Koneraw_kone1241,hand,mombumkoneraw.hand.0036
Mombum_nucl1452,hand,mombumkoneraw.hand.0033
Mombum_nucl1452,hand,mombumkoneraw.hand.0035
Koneraw_kone1241,hear,mombumkoneraw.hear.0038
Mombum_nucl1452,hear,mombumkoneraw.hear.0037
