Language_ID,Feature_ID,Value
Aghul_aghu1253,1pl,nakhdaghestanian.1pl.0001
Akhvakh_akhv1239,1pl,nakhdaghestanian.1pl.0002
Akhvakh_akhv1239,1pl,nakhdaghestanian.1pl.0004
Akhvakh_akhv1239,1pl,nakhdaghestanian.1pl.0008
Akhvakh_akhv1239,1pl,nakhdaghestanian.1pl.0008
Andi_andi1255,1pl,nakhdaghestanian.1pl.0002
Andi_andi1255,1pl,nakhdaghestanian.1pl.0004
Archi_arch1244,1pl,nakhdaghestanian.1pl.0001
Avar_avar1256,1pl,nakhdaghestanian.1pl.0005
Avar_avar1256,1pl,nakhdaghestanian.1pl.0005
Avar_avar1256,1pl,nakhdaghestanian.1pl.0005
Avar_avar1256,1pl,nakhdaghestanian.1pl.0005
Avar_avar1256,1pl,nakhdaghestanian.1pl.0006
Avar_avar1256,1pl,nakhdaghestanian.1pl.0006
Avar_avar1256,1pl,nakhdaghestanian.1pl.0006
Avar_avar1256,1pl,nakhdaghestanian.1pl.0006
Avar_avar1256,1pl,nakhdaghestanian.1pl.0006
Avar_avar1256,1pl,nakhdaghestanian.1pl.0006
Bagvalal_bagv1239,1pl,nakhdaghestanian.1pl.0002
Bats_bats1242,1pl,nakhdaghestanian.1pl.0007
Bezhta_bezh1248,1pl,nakhdaghestanian.1pl.0008
Botlikh_botl1242,1pl,nakhdaghestanian.1pl.0002
Botlikh_botl1242,1pl,nakhdaghestanian.1pl.0002
Budukh_budu1248,1pl,nakhdaghestanian.1pl.0001
Chamalal_cham1309,1pl,nakhdaghestanian.1pl.0002
Chechen_chec1245,1pl,nakhdaghestanian.1pl.0001
Chechen_chec1245,1pl,nakhdaghestanian.1pl.0001
Chechen_chec1245,1pl,nakhdaghestanian.1pl.0003
Chechen_chec1245,1pl,nakhdaghestanian.1pl.0009
Godoberi_ghod1238,1pl,nakhdaghestanian.1pl.0002
Hinuq_hinu1240,1pl,nakhdaghestanian.1pl.0008
Hunzib_hunz1247,1pl,nakhdaghestanian.1pl.0008
Ingush_ingu1240,1pl,nakhdaghestanian.1pl.0010
Karata-Tukita_kara1474,1pl,nakhdaghestanian.1pl.0002
Karata-Tukita_kara1474,1pl,nakhdaghestanian.1pl.0002
Khinalug_khin1240,1pl,nakhdaghestanian.1pl.0011
Khwarshi-Inkhoqwari_khva1239,1pl,nakhdaghestanian.1pl.0008
Khwarshi-Inkhoqwari_khva1239,1pl,nakhdaghestanian.1pl.0008
Kryz_kryt1240,1pl,nakhdaghestanian.1pl.0001
Lak_lakk1252,1pl,nakhdaghestanian.1pl.0011
Lezgian_lezg1247,1pl,nakhdaghestanian.1pl.0001
Lezgian_lezg1247,1pl,nakhdaghestanian.1pl.0001
Lezgian_lezg1247,1pl,nakhdaghestanian.1pl.0001
Lezgian_lezg1247,1pl,nakhdaghestanian.1pl.0001
Lezgian_lezg1247,1pl,nakhdaghestanian.1pl.0012
North-CentralDargwa_darg1241,1pl,nakhdaghestanian.1pl.0002
North-CentralDargwa_darg1241,1pl,nakhdaghestanian.1pl.0002
North-CentralDargwa_darg1241,1pl,nakhdaghestanian.1pl.0002
North-CentralDargwa_darg1241,1pl,nakhdaghestanian.1pl.0002
North-CentralDargwa_darg1241,1pl,nakhdaghestanian.1pl.0002
North-CentralDargwa_darg1241,1pl,nakhdaghestanian.1pl.0002
North-CentralDargwa_darg1241,1pl,nakhdaghestanian.1pl.0002
North-CentralDargwa_darg1241,1pl,nakhdaghestanian.1pl.0002
Rutul_rutu1240,1pl,nakhdaghestanian.1pl.0001
Tabasaran_taba1259,1pl,nakhdaghestanian.1pl.0001
Tabasaran_taba1259,1pl,nakhdaghestanian.1pl.0002
Tabasaran_taba1259,1pl,nakhdaghestanian.1pl.0002
Tindi_tind1238,1pl,nakhdaghestanian.1pl.0002
Tsakhur_tsak1249,1pl,nakhdaghestanian.1pl.0011
Tsez_dido1241,1pl,nakhdaghestanian.1pl.0008
Tsez_dido1241,1pl,nakhdaghestanian.1pl.0008
Tsez_dido1241,1pl,nakhdaghestanian.1pl.0008
Udi_udii1243,1pl,nakhdaghestanian.1pl.0001
Aghul_aghu1253,1sg,nakhdaghestanian.1sg.0013
Akhvakh_akhv1239,1sg,nakhdaghestanian.1sg.0013
Akhvakh_akhv1239,1sg,nakhdaghestanian.1sg.0013
Akhvakh_akhv1239,1sg,nakhdaghestanian.1sg.0013
Andi_andi1255,1sg,nakhdaghestanian.1sg.0013
Andi_andi1255,1sg,nakhdaghestanian.1sg.0013
Andi_andi1255,1sg,nakhdaghestanian.1sg.0013
Archi_arch1244,1sg,nakhdaghestanian.1sg.0013
Avar_avar1256,1sg,nakhdaghestanian.1sg.0013
Avar_avar1256,1sg,nakhdaghestanian.1sg.0013
Avar_avar1256,1sg,nakhdaghestanian.1sg.0013
Avar_avar1256,1sg,nakhdaghestanian.1sg.0013
Avar_avar1256,1sg,nakhdaghestanian.1sg.0013
Avar_avar1256,1sg,nakhdaghestanian.1sg.0013
Avar_avar1256,1sg,nakhdaghestanian.1sg.0013
Avar_avar1256,1sg,nakhdaghestanian.1sg.0013
Bagvalal_bagv1239,1sg,nakhdaghestanian.1sg.0013
Bats_bats1242,1sg,nakhdaghestanian.1sg.0014
Bezhta_bezh1248,1sg,nakhdaghestanian.1sg.0013
Botlikh_botl1242,1sg,nakhdaghestanian.1sg.0013
Botlikh_botl1242,1sg,nakhdaghestanian.1sg.0013
Budukh_budu1248,1sg,nakhdaghestanian.1sg.0013
Chamalal_cham1309,1sg,nakhdaghestanian.1sg.0013
Chechen_chec1245,1sg,nakhdaghestanian.1sg.0014
Chechen_chec1245,1sg,nakhdaghestanian.1sg.0015
Godoberi_ghod1238,1sg,nakhdaghestanian.1sg.0013
Hinuq_hinu1240,1sg,nakhdaghestanian.1sg.0013
Hunzib_hunz1247,1sg,nakhdaghestanian.1sg.0013
Ingush_ingu1240,1sg,nakhdaghestanian.1sg.0014
Karata-Tukita_kara1474,1sg,nakhdaghestanian.1sg.0013
Karata-Tukita_kara1474,1sg,nakhdaghestanian.1sg.0013
Khinalug_khin1240,1sg,nakhdaghestanian.1sg.0015
Khwarshi-Inkhoqwari_khva1239,1sg,nakhdaghestanian.1sg.0013
Khwarshi-Inkhoqwari_khva1239,1sg,nakhdaghestanian.1sg.0013
Kryz_kryt1240,1sg,nakhdaghestanian.1sg.0013
Lak_lakk1252,1sg,nakhdaghestanian.1sg.0017
Lezgian_lezg1247,1sg,nakhdaghestanian.1sg.0013
Lezgian_lezg1247,1sg,nakhdaghestanian.1sg.0013
Lezgian_lezg1247,1sg,nakhdaghestanian.1sg.0013
Lezgian_lezg1247,1sg,nakhdaghestanian.1sg.0015
Lezgian_lezg1247,1sg,nakhdaghestanian.1sg.0016
North-CentralDargwa_darg1241,1sg,nakhdaghestanian.1sg.0014
North-CentralDargwa_darg1241,1sg,nakhdaghestanian.1sg.0014
North-CentralDargwa_darg1241,1sg,nakhdaghestanian.1sg.0014
North-CentralDargwa_darg1241,1sg,nakhdaghestanian.1sg.0014
