Language_ID,Feature_ID,Value
AcatepecMephaa_acat1239,1pl,otomanguean.1pl.0003
AcatepecMephaa_acat1239,1pl,otomanguean.1pl.0003
AcatepecMephaa_acat1239,1pl,otomanguean.1pl.0003
AlcozaucaMixtec_alco1235,1pl,otomanguean.1pl.0012
AloapamZapotec_aloa1235,1pl,otomanguean.1pl.0001
AmatlanZapotec_amat1238,1pl,otomanguean.1pl.0002
AtzingoMatlatzinca_atzi1235,1pl,otomanguean.1pl.0008
AyautlaMazatec_ayau1235,1pl,otomanguean.1pl.0004
AyoquescoZapotec_ayoq1235,1pl,?
AzoyuMephaa_azoy1236,1pl,otomanguean.1pl.0003
CajonosZapotec_cajo1238,1pl,otomanguean.1pl.0004
CentralMazahua_cent2144,1pl,otomanguean.1pl.0005
CentralMazahua_cent2144,1pl,otomanguean.1pl.0005
CentralMazahua_cent2144,1pl,otomanguean.1pl.0005
CentralMazahua_cent2144,1pl,otomanguean.1pl.0005
CentralMazahua_cent2144,1pl,otomanguean.1pl.0005
ChayucoMixtec_chay1249,1pl,otomanguean.1pl.0013
Chiapanec_chia1262,1pl,otomanguean.1pl.0007
ChicahuaxtlaTriqui_chic1273,1pl,otomanguean.1pl.0005
Chichimeca-Jonaz_chic1272,1pl,otomanguean.1pl.0008
ChiquihuitlanMazatec_chiq1250,1pl,otomanguean.1pl.0005
ChiquihuitlanMazatec_chiq1250,1pl,otomanguean.1pl.0005
ChoapanZapotec_choa1237,1pl,otomanguean.1pl.0001
Chochotec_choc1279,1pl,otomanguean.1pl.0005
Chochotec_choc1279,1pl,otomanguean.1pl.0010
CopalaTriqui_copa1237,1pl,otomanguean.1pl.0005
CoyotepecPopoloca_coyo1236,1pl,?
EasternHighlandOtomi_east2556,1pl,?
EstadodeMexicoOtomi_esta1236,1pl,otomanguean.1pl.0005
GuerreroAmuzgo_guer1243,1pl,otomanguean.1pl.0010
HuautlaMazatec_huau1238,1pl,otomanguean.1pl.0006
HuautlaMazatec_huau1238,1pl,otomanguean.1pl.0009
IsthmusZapotec_isth1244,1pl,otomanguean.1pl.0006
Ixcatec_ixca1245,1pl,otomanguean.1pl.0006
IxcatlanMazatec_ixca1246,1pl,otomanguean.1pl.0004
IxtencoOtomi_ixte1237,1pl,otomanguean.1pl.0005
JalapaDeDiazMazatec_jala1237,1pl,otomanguean.1pl.0006
LachixioZapotec_lach1249,1pl,otomanguean.1pl.0011
LealaoChinantec_leal1235,1pl,otomanguean.1pl.0005
LealaoChinantec_leal1235,1pl,otomanguean.1pl.0009
LoxichaZapotec_loxi1235,1pl,otomanguean.1pl.0005
MalinaltepecMephaa_mali1285,1pl,otomanguean.1pl.0003
Mangue_moni1237,1pl,otomanguean.1pl.0007
MazatlanMazatec_maza1296,1pl,otomanguean.1pl.0005
MezontlaPopoloca_mezo1235,1pl,?
MezquitalOtomi_mezq1235,1pl,otomanguean.1pl.0005
MezquitalOtomi_mezq1235,1pl,otomanguean.1pl.0005
MezquitalOtomi_mezq1235,1pl,otomanguean.1pl.0005
MezquitalOtomi_mezq1235,1pl,otomanguean.1pl.0008
MitlaZapotec_mitl1236,1pl,otomanguean.1pl.0005
MixtepecZapotec_mixt1426,1pl,otomanguean.1pl.0006
OcotlanZapotec_ocot1244,1pl,?
OjitlanChinantec_ojit1237,1pl,otomanguean.1pl.0005
PalantlaChinantec_pala1351,1pl,otomanguean.1pl.0009
PenolesMixtec_peno1244,1pl,otomanguean.1pl.0006
PenolesMixtec_peno1244,1pl,otomanguean.1pl.0012
QueretaroOtomi_quer1236,1pl,otomanguean.1pl.0005
QueretaroOtomi_quer1236,1pl,otomanguean.1pl.0005
QueretaroOtomi_quer1236,1pl,otomanguean.1pl.0008
Quioquitani-QuieriZapotec_quio1241,1pl,otomanguean.1pl.0006
SanBaltazarLoxichaZapotec_sanb1241,1pl,otomanguean.1pl.0006
SanFranciscoMatlatzinca_sanf1262,1pl,otomanguean.1pl.0008
SanJeronimoTecoatlMazatec_sanj1286,1pl,?
SanJuanAtzingoPopoloca_sanj1285,1pl,otomanguean.1pl.0008
SanJuanColoradoMixtec_sanj1281,1pl,otomanguean.1pl.0012
