Language_ID,Feature_ID,Value
DendiBenin_dend1243,1pl,songhay.1pl.0001
HumburiSenniSonghay_humb1243,1pl,songhay.1pl.0001
Korandje_kora1291,1pl,songhay.1pl.0003
KoyraChiiniSonghay_koyr1240,1pl,songhay.1pl.0002
KoyraboroSenniSonghai_koyr1242,1pl,songhay.1pl.0001
KoyraboroSenniSonghai_koyr1242,1pl,songhay.1pl.0004
Tadaksahak_tada1238,1pl,songhay.1pl.0001
Tasawaq_tasa1240,1pl,songhay.1pl.0001
Zarma_zarm1239,1pl,songhay.1pl.0001
Zarma_zarm1239,1pl,songhay.1pl.0002
DendiBenin_dend1243,1sg,songhay.1sg.0005
HumburiSenniSonghay_humb1243,1sg,songhay.1sg.0008
Korandje_kora1291,1sg,songhay.1sg.0005
KoyraChiiniSonghay_koyr1240,1sg,songhay.1sg.0005
KoyraboroSenniSonghai_koyr1242,1sg,songhay.1sg.0005
KoyraboroSenniSonghai_koyr1242,1sg,songhay.1sg.0006
Tadaksahak_tada1238,1sg,songhay.1sg.0007
Tasawaq_tasa1240,1sg,songhay.1sg.0005
Zarma_zarm1239,1sg,songhay.1sg.0005
Zarma_zarm1239,1sg,songhay.1sg.0005
DendiBenin_dend1243,2sg,songhay.2sg.0009
HumburiSenniSonghay_humb1243,2sg,songhay.2sg.0009
Korandje_kora1291,2sg,songhay.2sg.0009
KoyraChiiniSonghay_koyr1240,2sg,songhay.2sg.0009
KoyraChiiniSonghay_koyr1240,2sg,songhay.2sg.0010
KoyraboroSenniSonghai_koyr1242,2sg,songhay.2sg.0009
KoyraboroSenniSonghai_koyr1242,2sg,songhay.2sg.0009
KoyraboroSenniSonghai_koyr1242,2sg,songhay.2sg.0010
Tadaksahak_tada1238,2sg,songhay.2sg.0009
Tasawaq_tasa1240,2sg,songhay.2sg.0009
Zarma_zarm1239,2sg,songhay.2sg.0009
Zarma_zarm1239,2sg,songhay.2sg.0009
Zarma_zarm1239,2sg,songhay.2sg.0010
DendiBenin_dend1243,blood,songhay.blood.0011
HumburiSenniSonghay_humb1243,blood,songhay.blood.0011
Korandje_kora1291,blood,songhay.blood.0011
KoyraChiiniSonghay_koyr1240,blood,songhay.blood.0011
KoyraboroSenniSonghai_koyr1242,blood,songhay.blood.0011
Tadaksahak_tada1238,blood,songhay.blood.0011
Tasawaq_tasa1240,blood,songhay.blood.0011
Zarma_zarm1239,blood,songhay.blood.0011
Zarma_zarm1239,blood,songhay.blood.0011
DendiBenin_dend1243,bone,songhay.bone.0012
HumburiSenniSonghay_humb1243,bone,songhay.bone.0012
Korandje_kora1291,bone,songhay.bone.0012
KoyraChiiniSonghay_koyr1240,bone,songhay.bone.0012
KoyraboroSenniSonghai_koyr1242,bone,songhay.bone.0012
Tadaksahak_tada1238,bone,songhay.bone.0012
Tasawaq_tasa1240,bone,songhay.bone.0012
Zarma_zarm1239,bone,songhay.bone.0012
Zarma_zarm1239,bone,songhay.bone.0012
DendiBenin_dend1243,breast,songhay.breast.0013
HumburiSenniSonghay_humb1243,breast,songhay.breast.0013
Korandje_kora1291,breast,songhay.breast.0014
KoyraChiiniSonghay_koyr1240,breast,songhay.breast.0013
KoyraboroSenniSonghai_koyr1242,breast,songhay.breast.0013
KoyraboroSenniSonghai_koyr1242,breast,songhay.breast.0014
Tadaksahak_tada1238,breast,songhay.breast.0015
Tasawaq_tasa1240,breast,songhay.breast.0014
Zarma_zarm1239,breast,songhay.breast.0013
Zarma_zarm1239,breast,songhay.breast.0013
DendiBenin_dend1243,come,songhay.come.0016
HumburiSenniSonghay_humb1243,come,songhay.come.0016
Korandje_kora1291,come,songhay.come.0016
KoyraChiiniSonghay_koyr1240,come,songhay.come.0016
KoyraboroSenniSonghai_koyr1242,come,songhay.come.0016
Tadaksahak_tada1238,come,songhay.come.0017
Tasawaq_tasa1240,come,songhay.come.0016
Zarma_zarm1239,come,songhay.come.0016
Zarma_zarm1239,come,songhay.come.0016
DendiBenin_dend1243,die,songhay.die.0018
HumburiSenniSonghay_humb1243,die,songhay.die.0018
Korandje_kora1291,die,songhay.die.0018
KoyraChiiniSonghay_koyr1240,die,songhay.die.0018
KoyraboroSenniSonghai_koyr1242,die,songhay.die.0018
Tadaksahak_tada1238,die,songhay.die.0018
Tasawaq_tasa1240,die,songhay.die.0018
Zarma_zarm1239,die,songhay.die.0018
Zarma_zarm1239,die,songhay.die.0018
DendiBenin_dend1243,dog,songhay.dog.0019
HumburiSenniSonghay_humb1243,dog,songhay.dog.0019
Korandje_kora1291,dog,songhay.dog.0019
KoyraChiiniSonghay_koyr1240,dog,songhay.dog.0019
KoyraChiiniSonghay_koyr1240,dog,songhay.dog.0019
KoyraChiiniSonghay_koyr1240,dog,songhay.dog.0019
KoyraboroSenniSonghai_koyr1242,dog,songhay.dog.0019
KoyraboroSenniSonghai_koyr1242,dog,songhay.dog.0019
KoyraboroSenniSonghai_koyr1242,dog,songhay.dog.0019
Tadaksahak_tada1238,dog,songhay.dog.0019
Tasawaq_tasa1240,dog,songhay.dog.0019
Zarma_zarm1239,dog,songhay.dog.0019
Zarma_zarm1239,dog,songhay.dog.0019
Zarma_zarm1239,dog,songhay.dog.0019
Zarma_zarm1239,dog,songhay.dog.0019
Zarma_zarm1239,dog,songhay.dog.0019
DendiBenin_dend1243,drink,songhay.drink.0020
HumburiSenniSonghay_humb1243,drink,songhay.drink.0022
HumburiSenniSonghay_humb1243,drink,songhay.drink.0023
Korandje_kora1291,drink,songhay.drink.0021
KoyraChiiniSonghay_koyr1240,drink,songhay.drink.0021
KoyraboroSenniSonghai_koyr1242,drink,songhay.drink.0022
Tadaksahak_tada1238,drink,songhay.drink.0021
Tasawaq_tasa1240,drink,songhay.drink.0021
Zarma_zarm1239,drink,songhay.drink.0021
Zarma_zarm1239,drink,songhay.drink.0021
Zarma_zarm1239,drink,songhay.drink.0022
DendiBenin_dend1243,ear,songhay.ear.0024
HumburiSenniSonghay_humb1243,ear,songhay.ear.0024
Korandje_kora1291,ear,songhay.ear.0024
KoyraChiiniSonghay_koyr1240,ear,songhay.ear.0024
KoyraboroSenniSonghai_koyr1242,ear,songhay.ear.0024
KoyraboroSenniSonghai_koyr1242,ear,songhay.ear.0024
Tadaksahak_tada1238,ear,songhay.ear.0024
Tasawaq_tasa1240,ear,songhay.ear.0024
Zarma_zarm1239,ear,songhay.ear.0024
Zarma_zarm1239,ear,songhay.ear.0024
Zarma_zarm1239,ear,songhay.ear.0024
DendiBenin_dend1243,eye,songhay.eye.0025
HumburiSenniSonghay_humb1243,eye,songhay.eye.0025
HumburiSenniSonghay_humb1243,eye,songhay.eye.0026
Korandje_kora1291,eye,songhay.eye.0025
KoyraChiiniSonghay_koyr1240,eye,songhay.eye.0025
KoyraboroSenniSonghai_koyr1242,eye,songhay.eye.0025
KoyraboroSenniSonghai_koyr1242,eye,songhay.eye.0025
Tadaksahak_tada1238,eye,songhay.eye.0025
Tasawaq_tasa1240,eye,songhay.eye.0025
Zarma_zarm1239,eye,songhay.eye.0025
Zarma_zarm1239,eye,songhay.eye.0025
DendiBenin_dend1243,fire,songhay.fire.0027
HumburiSenniSonghay_humb1243,fire,songhay.fire.0027
Korandje_kora1291,fire,songhay.fire.0029
KoyraChiiniSonghay_koyr1240,fire,songhay.fire.0027
KoyraboroSenniSonghai_koyr1242,fire,songhay.fire.0027
KoyraboroSenniSonghai_koyr1242,fire,songhay.fire.0027
Tadaksahak_tada1238,fire,songhay.fire.0029
Tasawaq_tasa1240,fire,songhay.fire.0029
Zarma_zarm1239,fire,songhay.fire.0027
Zarma_zarm1239,fire,songhay.fire.0028
Zarma_zarm1239,fire,songhay.fire.0030
DendiBenin_dend1243,fish,songhay.fish.0031
HumburiSenniSonghay_humb1243,fish,songhay.fish.0038
Korandje_kora1291,fish,songhay.fish.0033
KoyraChiiniSonghay_koyr1240,fish,songhay.fish.0035
KoyraboroSenniSonghai_koyr1242,fish,songhay.fish.0032
KoyraboroSenniSonghai_koyr1242,fish,songhay.fish.0034
Tadaksahak_tada1238,fish,songhay.fish.0036
Tasawaq_tasa1240,fish,songhay.fish.0037
Zarma_zarm1239,fish,songhay.fish.0032
Zarma_zarm1239,fish,songhay.fish.0032
Zarma_zarm1239,fish,songhay.fish.0034
DendiBenin_dend1243,full,songhay.full.0039
HumburiSenniSonghay_humb1243,full,songhay.full.0039
HumburiSenniSonghay_humb1243,full,songhay.full.0040
Korandje_kora1291,full,songhay.full.0039
KoyraChiiniSonghay_koyr1240,full,songhay.full.0039
KoyraboroSenniSonghai_koyr1242,full,songhay.full.0039
Tadaksahak_tada1238,full,songhay.full.0039
Tasawaq_tasa1240,full,songhay.full.0039
Zarma_zarm1239,full,songhay.full.0039
Zarma_zarm1239,full,songhay.full.0039
DendiBenin_dend1243,hand,songhay.hand.0041
HumburiSenniSonghay_humb1243,hand,songhay.hand.0041
Korandje_kora1291,hand,songhay.hand.0041
KoyraChiiniSonghay_koyr1240,hand,songhay.hand.0041
KoyraboroSenniSonghai_koyr1242,hand,songhay.hand.0041
KoyraboroSenniSonghai_koyr1242,hand,songhay.hand.0041
KoyraboroSenniSonghai_koyr1242,hand,songhay.hand.0041
KoyraboroSenniSonghai_koyr1242,hand,songhay.hand.0041
Tadaksahak_tada1238,hand,songhay.hand.0041
Tasawaq_tasa1240,hand,songhay.hand.0041
Zarma_zarm1239,hand,songhay.hand.0041
Zarma_zarm1239,hand,songhay.hand.0041
DendiBenin_dend1243,hear,songhay.hear.0042
HumburiSenniSonghay_humb1243,hear,songhay.hear.0042
Korandje_kora1291,hear,songhay.hear.0042
KoyraChiiniSonghay_koyr1240,hear,songhay.hear.0042
KoyraChiiniSonghay_koyr1240,hear,songhay.hear.0042
KoyraboroSenniSonghai_koyr1242,hear,songhay.hear.0042
Tadaksahak_tada1238,hear,songhay.hear.0042
Tasawaq_tasa1240,hear,songhay.hear.0042
Zarma_zarm1239,hear,songhay.hear.0042
Zarma_zarm1239,hear,songhay.hear.0042
Zarma_zarm1239,hear,songhay.hear.0042
DendiBenin_dend1243,horn,songhay.horn.0043
HumburiSenniSonghay_humb1243,horn,songhay.horn.0043
Korandje_kora1291,horn,songhay.horn.0044
KoyraChiiniSonghay_koyr1240,horn,songhay.horn.0045
KoyraboroSenniSonghai_koyr1242,horn,songhay.horn.0045
Tadaksahak_tada1238,horn,songhay.horn.0043
Tasawaq_tasa1240,horn,songhay.horn.0046
Zarma_zarm1239,horn,songhay.horn.0043
DendiBenin_dend1243,knee,songhay.knee.0047
HumburiSenniSonghay_humb1243,knee,songhay.knee.0047
Korandje_kora1291,knee,songhay.knee.0047
KoyraChiiniSonghay_koyr1240,knee,songhay.knee.0047
KoyraboroSenniSonghai_koyr1242,knee,songhay.knee.0047
KoyraboroSenniSonghai_koyr1242,knee,songhay.knee.0047
Tadaksahak_tada1238,knee,songhay.knee.0048
Tasawaq_tasa1240,knee,songhay.knee.0049
Zarma_zarm1239,knee,songhay.knee.0047
Zarma_zarm1239,knee,songhay.knee.0047
DendiBenin_dend1243,leaf,songhay.leaf.0050
HumburiSenniSonghay_humb1243,leaf,songhay.leaf.0050
HumburiSenniSonghay_humb1243,leaf,songhay.leaf.0050
HumburiSenniSonghay_humb1243,leaf,songhay.leaf.0050
Korandje_kora1291,leaf,songhay.leaf.0052
KoyraChiiniSonghay_koyr1240,leaf,songhay.leaf.0051
KoyraboroSenniSonghai_koyr1242,leaf,songhay.leaf.0051
Tadaksahak_tada1238,leaf,songhay.leaf.0053
Tasawaq_tasa1240,leaf,songhay.leaf.0054
Zarma_zarm1239,leaf,songhay.leaf.0050
Zarma_zarm1239,leaf,songhay.leaf.0051
DendiBenin_dend1243,liver,songhay.liver.0055
HumburiSenniSonghay_humb1243,liver,songhay.liver.0057
Korandje_kora1291,liver,songhay.liver.0056
KoyraChiiniSonghay_koyr1240,liver,songhay.liver.0056
KoyraboroSenniSonghai_koyr1242,liver,songhay.liver.0056
Tadaksahak_tada1238,liver,songhay.liver.0056
Tasawaq_tasa1240,liver,?
Zarma_zarm1239,liver,songhay.liver.0056
Zarma_zarm1239,liver,songhay.liver.0056
DendiBenin_dend1243,louse,songhay.louse.0058
HumburiSenniSonghay_humb1243,louse,songhay.louse.0058
Korandje_kora1291,louse,songhay.louse.0058
KoyraChiiniSonghay_koyr1240,louse,songhay.louse.0058
KoyraboroSenniSonghai_koyr1242,louse,?
Tadaksahak_tada1238,louse,songhay.louse.0058
Tasawaq_tasa1240,louse,songhay.louse.0058
Zarma_zarm1239,louse,songhay.louse.0058
Zarma_zarm1239,louse,songhay.louse.0058
DendiBenin_dend1243,mountain,songhay.mountain.0059
HumburiSenniSonghay_humb1243,mountain,songhay.mountain.0060
Korandje_kora1291,mountain,songhay.mountain.0061
KoyraChiiniSonghay_koyr1240,mountain,songhay.mountain.0060
KoyraboroSenniSonghai_koyr1242,mountain,songhay.mountain.0060
Tadaksahak_tada1238,mountain,songhay.mountain.0060
Tasawaq_tasa1240,mountain,songhay.mountain.0062
Zarma_zarm1239,mountain,songhay.mountain.0060
DendiBenin_dend1243,name,songhay.name.0063
HumburiSenniSonghay_humb1243,name,songhay.name.0063
Korandje_kora1291,name,songhay.name.0063
KoyraChiiniSonghay_koyr1240,name,songhay.name.0063
KoyraboroSenniSonghai_koyr1242,name,songhay.name.0063
Tadaksahak_tada1238,name,songhay.name.0063
Tasawaq_tasa1240,name,songhay.name.0063
Zarma_zarm1239,name,songhay.name.0063
Zarma_zarm1239,name,songhay.name.0063
DendiBenin_dend1243,new,songhay.new.0064
HumburiSenniSonghay_humb1243,new,songhay.new.0066
Korandje_kora1291,new,songhay.new.0066
KoyraChiiniSonghay_koyr1240,new,songhay.new.0065
KoyraboroSenniSonghai_koyr1242,new,songhay.new.0064
KoyraboroSenniSonghai_koyr1242,new,songhay.new.0065
Tadaksahak_tada1238,new,songhay.new.0067
Tasawaq_tasa1240,new,songhay.new.0064
Zarma_zarm1239,new,songhay.new.0064
Zarma_zarm1239,new,songhay.new.0065
DendiBenin_dend1243,night,songhay.night.0068
HumburiSenniSonghay_humb1243,night,songhay.night.0068
Korandje_kora1291,night,songhay.night.0069
KoyraChiiniSonghay_koyr1240,night,songhay.night.0069
KoyraChiiniSonghay_koyr1240,night,songhay.night.0069
KoyraboroSenniSonghai_koyr1242,night,songhay.night.0069
KoyraboroSenniSonghai_koyr1242,night,songhay.night.0069
KoyraboroSenniSonghai_koyr1242,night,songhay.night.0069
Tadaksahak_tada1238,night,songhay.night.0069
Tasawaq_tasa1240,night,songhay.night.0069
Zarma_zarm1239,night,songhay.night.0068
Zarma_zarm1239,night,songhay.night.0069
DendiBenin_dend1243,nose,songhay.nose.0070
HumburiSenniSonghay_humb1243,nose,songhay.nose.0070
Korandje_kora1291,nose,songhay.nose.0070
KoyraChiiniSonghay_koyr1240,nose,songhay.nose.0070
KoyraboroSenniSonghai_koyr1242,nose,songhay.nose.0070
KoyraboroSenniSonghai_koyr1242,nose,songhay.nose.0070
Tadaksahak_tada1238,nose,songhay.nose.0071
Tasawaq_tasa1240,nose,songhay.nose.0070
Zarma_zarm1239,nose,songhay.nose.0070
Zarma_zarm1239,nose,songhay.nose.0070
DendiBenin_dend1243,one,songhay.one.0072
HumburiSenniSonghay_humb1243,one,songhay.one.0072
Korandje_kora1291,one,songhay.one.0072
KoyraChiiniSonghay_koyr1240,one,songhay.one.0072
KoyraboroSenniSonghai_koyr1242,one,songhay.one.0072
Tadaksahak_tada1238,one,songhay.one.0072
Tasawaq_tasa1240,one,songhay.one.0072
Zarma_zarm1239,one,songhay.one.0072
Zarma_zarm1239,one,songhay.one.0072
DendiBenin_dend1243,path,songhay.path.0073
HumburiSenniSonghay_humb1243,path,songhay.path.0078
Korandje_kora1291,path,songhay.path.0075
KoyraChiiniSonghay_koyr1240,path,songhay.path.0074
KoyraChiiniSonghay_koyr1240,path,songhay.path.0078
KoyraboroSenniSonghai_koyr1242,path,songhay.path.0074
KoyraboroSenniSonghai_koyr1242,path,songhay.path.0078
KoyraboroSenniSonghai_koyr1242,path,songhay.path.0078
Tadaksahak_tada1238,path,songhay.path.0076
Tasawaq_tasa1240,path,songhay.path.0077
Zarma_zarm1239,path,songhay.path.0074
Zarma_zarm1239,path,songhay.path.0078
Zarma_zarm1239,path,songhay.path.0078
DendiBenin_dend1243,person,songhay.person.0079
HumburiSenniSonghay_humb1243,person,songhay.person.0079
Korandje_kora1291,person,songhay.person.0079
KoyraChiiniSonghay_koyr1240,person,songhay.person.0079
KoyraChiiniSonghay_koyr1240,person,songhay.person.0079
KoyraboroSenniSonghai_koyr1242,person,songhay.person.0079
Tadaksahak_tada1238,person,songhay.person.0079
Tasawaq_tasa1240,person,songhay.person.0079
Zarma_zarm1239,person,songhay.person.0079
Zarma_zarm1239,person,songhay.person.0079
DendiBenin_dend1243,see,songhay.see.0080
HumburiSenniSonghay_humb1243,see,songhay.see.0080
Korandje_kora1291,see,songhay.see.0082
KoyraChiiniSonghay_koyr1240,see,songhay.see.0081
KoyraChiiniSonghay_koyr1240,see,songhay.see.0083
KoyraboroSenniSonghai_koyr1242,see,songhay.see.0080
KoyraboroSenniSonghai_koyr1242,see,songhay.see.0081
KoyraboroSenniSonghai_koyr1242,see,songhay.see.0083
Tadaksahak_tada1238,see,songhay.see.0081
Tasawaq_tasa1240,see,songhay.see.0081
Zarma_zarm1239,see,songhay.see.0080
Zarma_zarm1239,see,songhay.see.0081
Zarma_zarm1239,see,songhay.see.0083
DendiBenin_dend1243,skin,songhay.skin.0084
HumburiSenniSonghay_humb1243,skin,songhay.skin.0084
Korandje_kora1291,skin,songhay.skin.0084
KoyraChiiniSonghay_koyr1240,skin,songhay.skin.0084
KoyraChiiniSonghay_koyr1240,skin,songhay.skin.0084
KoyraboroSenniSonghai_koyr1242,skin,songhay.skin.0084
Tadaksahak_tada1238,skin,songhay.skin.0084
Tasawaq_tasa1240,skin,songhay.skin.0085
Zarma_zarm1239,skin,songhay.skin.0084
