Language_ID,Feature_ID,Value
Dombano_aran1237,1pl,southbirdsheadfamily.1pl.0001
Dombano_aran1237,1pl,southbirdsheadfamily.1pl.0001
Kemberano_kemb1235,1pl,southbirdsheadfamily.1pl.0002
Kokoda_koko1265,1pl,southbirdsheadfamily.1pl.0001
Puragi_pura1253,1pl,southbirdsheadfamily.1pl.0003
Dombano_aran1237,1sg,southbirdsheadfamily.1sg.0004
Dombano_aran1237,1sg,southbirdsheadfamily.1sg.0005
Kemberano_kemb1235,1sg,southbirdsheadfamily.1sg.0004
Kemberano_kemb1235,1sg,southbirdsheadfamily.1sg.0004
Kokoda_koko1265,1sg,southbirdsheadfamily.1sg.0005
Puragi_pura1253,1sg,southbirdsheadfamily.1sg.0004
Dombano_aran1237,2sg,southbirdsheadfamily.2sg.0006
Dombano_aran1237,2sg,southbirdsheadfamily.2sg.0007
Kemberano_kemb1235,2sg,southbirdsheadfamily.2sg.0006
Kemberano_kemb1235,2sg,southbirdsheadfamily.2sg.0006
Kokoda_koko1265,2sg,southbirdsheadfamily.2sg.0007
Puragi_pura1253,2sg,southbirdsheadfamily.2sg.0006
Dombano_aran1237,blood,southbirdsheadfamily.blood.0008
Dombano_aran1237,blood,southbirdsheadfamily.blood.0008
Kemberano_kemb1235,blood,southbirdsheadfamily.blood.0008
Kemberano_kemb1235,blood,southbirdsheadfamily.blood.0008
Kokoda_koko1265,blood,southbirdsheadfamily.blood.0008
Puragi_pura1253,blood,southbirdsheadfamily.blood.0008
Dombano_aran1237,bone,southbirdsheadfamily.bone.0009
Dombano_aran1237,bone,southbirdsheadfamily.bone.0009
Kemberano_kemb1235,bone,southbirdsheadfamily.bone.0009
Kemberano_kemb1235,bone,southbirdsheadfamily.bone.0009
Kokoda_koko1265,bone,southbirdsheadfamily.bone.0009
Puragi_pura1253,bone,southbirdsheadfamily.bone.0010
Dombano_aran1237,breast,southbirdsheadfamily.breast.0011
Dombano_aran1237,breast,southbirdsheadfamily.breast.0011
Kemberano_kemb1235,breast,southbirdsheadfamily.breast.0011
Kemberano_kemb1235,breast,southbirdsheadfamily.breast.0011
Kokoda_koko1265,breast,southbirdsheadfamily.breast.0011
Puragi_pura1253,breast,southbirdsheadfamily.breast.0011
Dombano_aran1237,come,southbirdsheadfamily.come.0012
Dombano_aran1237,come,southbirdsheadfamily.come.0013
Kemberano_kemb1235,come,southbirdsheadfamily.come.0012
Kemberano_kemb1235,come,southbirdsheadfamily.come.0012
Kemberano_kemb1235,come,southbirdsheadfamily.come.0012
