Language_ID,Feature_ID,Value
Temein_nucl1339,1pl,temeinic.1pl.0001
Tese_tese1238,1pl,temeinic.1pl.0002
Temein_nucl1339,1sg,temeinic.1sg.0003
Tese_tese1238,1sg,temeinic.1sg.0003
Temein_nucl1339,2sg,temeinic.2sg.0004
Tese_tese1238,2sg,temeinic.2sg.0004
Temein_nucl1339,blood,temeinic.blood.0005
Tese_tese1238,blood,temeinic.blood.0005
Temein_nucl1339,bone,temeinic.bone.0006
Tese_tese1238,bone,temeinic.bone.0007
Temein_nucl1339,breast,temeinic.breast.0008
Tese_tese1238,breast,temeinic.breast.0008
Tese_tese1238,breast,temeinic.breast.0009
Temein_nucl1339,come,temeinic.come.0010
Tese_tese1238,come,temeinic.come.0011
Tese_tese1238,come,temeinic.come.0012
Tese_tese1238,come,temeinic.come.0013
Temein_nucl1339,die,temeinic.die.0014
Tese_tese1238,die,temeinic.die.0015
Temein_nucl1339,dog,temeinic.dog.0016
Tese_tese1238,dog,temeinic.dog.0017
Tese_tese1238,dog,temeinic.dog.0018
Temein_nucl1339,drink,temeinic.drink.0019
Tese_tese1238,drink,temeinic.drink.0020
Temein_nucl1339,ear,temeinic.ear.0021
Tese_tese1238,ear,temeinic.ear.0021
Tese_tese1238,ear,temeinic.ear.0022
Temein_nucl1339,eye,temeinic.eye.0023
Tese_tese1238,eye,temeinic.eye.0023
Tese_tese1238,eye,temeinic.eye.0024
Temein_nucl1339,fire,temeinic.fire.0025
Tese_tese1238,fire,temeinic.fire.0025
Temein_nucl1339,fish,temeinic.fish.0026
Tese_tese1238,fish,temeinic.fish.0026
Tese_tese1238,fish,temeinic.fish.0026
Temein_nucl1339,full,temeinic.full.0027
Tese_tese1238,full,temeinic.full.0028
Temein_nucl1339,hand,temeinic.hand.0029
Tese_tese1238,hand,temeinic.hand.0030
Tese_tese1238,hand,temeinic.hand.0031
Temein_nucl1339,hear,temeinic.hear.0032
Tese_tese1238,hear,temeinic.hear.0032
Temein_nucl1339,horn,temeinic.horn.0033
Tese_tese1238,horn,temeinic.horn.0033
Tese_tese1238,horn,temeinic.horn.0033
Temein_nucl1339,knee,temeinic.knee.0034
Tese_tese1238,knee,temeinic.knee.0034
Tese_tese1238,knee,temeinic.knee.0035
Temein_nucl1339,leaf,temeinic.leaf.0036
Tese_tese1238,leaf,?
Temein_nucl1339,liver,temeinic.liver.0037
Tese_tese1238,liver,temeinic.liver.0037
Temein_nucl1339,louse,temeinic.louse.0038
Tese_tese1238,louse,temeinic.louse.0039
Temein_nucl1339,mountain,temeinic.mountain.0040
Temein_nucl1339,mountain,temeinic.mountain.0042
Tese_tese1238,mountain,temeinic.mountain.0041
Temein_nucl1339,name,temeinic.name.0043
Temein_nucl1339,name,temeinic.name.0043
Tese_tese1238,name,temeinic.name.0043
Temein_nucl1339,new,temeinic.new.0044
Temein_nucl1339,new,temeinic.new.0044
Tese_tese1238,new,temeinic.new.0044
Temein_nucl1339,night,temeinic.night.0045
Tese_tese1238,night,temeinic.night.0046
Temein_nucl1339,nose,temeinic.nose.0047
Tese_tese1238,nose,temeinic.nose.0048
Temein_nucl1339,one,temeinic.one.0049
Tese_tese1238,one,temeinic.one.0049
Temein_nucl1339,path,temeinic.path.0050
Tese_tese1238,path,temeinic.path.0051
Tese_tese1238,path,temeinic.path.0052
Temein_nucl1339,person,temeinic.person.0053
Tese_tese1238,person,temeinic.person.0053
Tese_tese1238,person,temeinic.person.0054
Temein_nucl1339,see,temeinic.see.0055
Tese_tese1238,see,temeinic.see.0056
Temein_nucl1339,skin,temeinic.skin.0057
Tese_tese1238,skin,temeinic.skin.0057
Temein_nucl1339,star,temeinic.star.0058
Tese_tese1238,star,temeinic.star.0059
Temein_nucl1339,stone,temeinic.stone.0060
Tese_tese1238,stone,temeinic.stone.0060
Temein_nucl1339,sun,temeinic.sun.0061
Temein_nucl1339,sun,temeinic.sun.0061
Tese_tese1238,sun,temeinic.sun.0061
Temein_nucl1339,tongue,temeinic.tongue.0062
Tese_tese1238,tongue,temeinic.tongue.0063
Temein_nucl1339,tooth,temeinic.tooth.0064
Tese_tese1238,tooth,temeinic.tooth.0065
Tese_tese1238,tooth,temeinic.tooth.0066
Temein_nucl1339,tree,temeinic.tree.0067
Tese_tese1238,tree,temeinic.tree.0068
Temein_nucl1339,two,temeinic.two.0069
Tese_tese1238,two,temeinic.two.0069
Temein_nucl1339,water,temeinic.water.0070
Tese_tese1238,water,temeinic.water.0070
Tese_tese1238,water,temeinic.water.0070
