Language_ID,Feature_ID,Value
FilomenoMataTotonac_filo1235,1pl,totonacan.1pl.0001
HighlandTotonac_high1243,1pl,totonacan.1pl.0001
HighlandTotonac_high1243,1pl,totonacan.1pl.0001
HighlandTotonac_high1243,1pl,totonacan.1pl.0001
HighlandTotonac_high1243,1pl,totonacan.1pl.0001
HuehuetlaTepehua_hueh1236,1pl,totonacan.1pl.0001
PapantlaTotonac_papa1238,1pl,totonacan.1pl.0001
PisafloresTepehua_pisa1237,1pl,totonacan.1pl.0001
TlachichilcoTepehua_tlac1235,1pl,totonacan.1pl.0001
TlachichilcoTepehua_tlac1235,1pl,totonacan.1pl.0001
UpperNecaxaTotonac_uppe1275,1pl,totonacan.1pl.0001
UpperNecaxaTotonac_uppe1275,1pl,totonacan.1pl.0001
XicotepecDeJuarezTotonac_xico1235,1pl,totonacan.1pl.0001
YecuatlaTotonac_yecu1235,1pl,totonacan.1pl.0001
FilomenoMataTotonac_filo1235,1sg,totonacan.1sg.0002
HighlandTotonac_high1243,1sg,totonacan.1sg.0002
HighlandTotonac_high1243,1sg,totonacan.1sg.0002
HighlandTotonac_high1243,1sg,totonacan.1sg.0002
HighlandTotonac_high1243,1sg,totonacan.1sg.0002
HuehuetlaTepehua_hueh1236,1sg,totonacan.1sg.0002
HuehuetlaTepehua_hueh1236,1sg,totonacan.1sg.0002
PapantlaTotonac_papa1238,1sg,totonacan.1sg.0002
PisafloresTepehua_pisa1237,1sg,totonacan.1sg.0002
TlachichilcoTepehua_tlac1235,1sg,totonacan.1sg.0002
UpperNecaxaTotonac_uppe1275,1sg,totonacan.1sg.0002
XicotepecDeJuarezTotonac_xico1235,1sg,totonacan.1sg.0002
YecuatlaTotonac_yecu1235,1sg,totonacan.1sg.0002
FilomenoMataTotonac_filo1235,2sg,totonacan.2sg.0003
HighlandTotonac_high1243,2sg,totonacan.2sg.0003
HighlandTotonac_high1243,2sg,totonacan.2sg.0003
HuehuetlaTepehua_hueh1236,2sg,totonacan.2sg.0004
HuehuetlaTepehua_hueh1236,2sg,totonacan.2sg.0004
PapantlaTotonac_papa1238,2sg,totonacan.2sg.0003
