Language_ID,Feature_ID,Value
Ache_ache1246,1pl,tupian.1pl.0001
Amundava_amun1246,1pl,tupian.1pl.0001
Apiaka_apia1248,1pl,tupian.1pl.0001
Arawete_araw1273,1pl,tupian.1pl.0002
Ava-Canoeiro_avac1239,1pl,tupian.1pl.0001
CintaLarga_cint1239,1pl,tupian.1pl.0001
Cocama-Cocamilla_coca1259,1pl,tupian.1pl.0001
EasternBolivianGuarani_east2555,1pl,tupian.1pl.0001
EasternBolivianGuarani_east2555,1pl,tupian.1pl.0011
GaviaoDoJiparana_gavi1246,1pl,tupian.1pl.0003
Guajajara_guaj1255,1pl,tupian.1pl.0001
Guarayu_guar1292,1pl,tupian.1pl.0001
Juruna_juru1256,1pl,tupian.1pl.0004
Kaiwa_kaiw1246,1pl,tupian.1pl.0001
Kamayura_kama1373,1pl,tupian.1pl.0001
Karitiana_kari1311,1pl,tupian.1pl.0005
Kayabi_kaya1329,1pl,tupian.1pl.0001
Kuruaya_kuru1309,1pl,tupian.1pl.0006
Makurap_maku1278,1pl,tupian.1pl.0007
MbyaGuarani_mbya1239,1pl,tupian.1pl.0001
Mekens_saki1248,1pl,tupian.1pl.0008
Munduruku_mund1330,1pl,tupian.1pl.0006
Nhengatu_nhen1239,1pl,tupian.1pl.0001
ParaguayanGuarani_para1311,1pl,tupian.1pl.0001
ParaguayanGuarani_para1311,1pl,tupian.1pl.0011
Parakana_para1312,1pl,tupian.1pl.0001
Salamai_sala1273,1pl,tupian.1pl.0001
Satere-Mawe_sate1243,1pl,tupian.1pl.0009
Siriono_siri1273,1pl,tupian.1pl.0001
SuruiDoPara_suru1261,1pl,tupian.1pl.0001
Tapiete_tapi1253,1pl,tupian.1pl.0001
Tapiete_tapi1253,1pl,tupian.1pl.0011
Tapirape_tapi1254,1pl,tupian.1pl.0001
Tenetehara_temb1276,1pl,tupian.1pl.0001
Tenharim-Parintintin-Diahoi_tenh1241,1pl,tupian.1pl.0001
Tenharim-Parintintin-Diahoi_tenh1241,1pl,tupian.1pl.0001
TocantinsAsurini_toca1235,1pl,tupian.1pl.0001
Tupari_tupa1250,1pl,tupian.1pl.0010
Tupinamba_tupi1273,1pl,tupian.1pl.0001
Uru-Eu-Wau-Wau_urue1240,1pl,tupian.1pl.0001
Urubu-Kaapor_urub1250,1pl,tupian.1pl.0001
Warazu_paus1244,1pl,tupian.1pl.0001
Wayampi_waya1270,1pl,tupian.1pl.0001
Wayampi_waya1270,1pl,tupian.1pl.0011
Xeta_xeta1241,1pl,tupian.1pl.0001
XinguAsurini_xing1248,1pl,tupian.1pl.0001
Xipaya_xipa1240,1pl,tupian.1pl.0004
Yuqui_yuqu1240,1pl,?
Ache_ache1246,1sg,tupian.1sg.0012
Amundava_amun1246,1sg,tupian.1sg.0013
Apiaka_apia1248,1sg,tupian.1sg.0014
Arawete_araw1273,1sg,tupian.1sg.0014
Ava-Canoeiro_avac1239,1sg,tupian.1sg.0012
Ava-Canoeiro_avac1239,1sg,tupian.1sg.0015
CintaLarga_cint1239,1sg,tupian.1sg.0016
Cocama-Cocamilla_coca1259,1sg,tupian.1sg.0012
EasternBolivianGuarani_east2555,1sg,tupian.1sg.0012
GaviaoDoJiparana_gavi1246,1sg,tupian.1sg.0017
Guajajara_guaj1255,1sg,tupian.1sg.0013
Guarayu_guar1292,1sg,tupian.1sg.0012
Juruna_juru1256,1sg,tupian.1sg.0017
Kaiwa_kaiw1246,1sg,tupian.1sg.0014
Kamayura_kama1373,1sg,tupian.1sg.0015
Karitiana_kari1311,1sg,?
Kayabi_kaya1329,1sg,tupian.1sg.0015
Kuruaya_kuru1309,1sg,tupian.1sg.0017
Makurap_maku1278,1sg,tupian.1sg.0017
MbyaGuarani_mbya1239,1sg,tupian.1sg.0014
Mekens_saki1248,1sg,tupian.1sg.0017
Munduruku_mund1330,1sg,tupian.1sg.0017
Nhengatu_nhen1239,1sg,tupian.1sg.0014
ParaguayanGuarani_para1311,1sg,tupian.1sg.0014
Parakana_para1312,1sg,tupian.1sg.0012
Salamai_sala1273,1sg,tupian.1sg.0018
Satere-Mawe_sate1243,1sg,tupian.1sg.0019
Siriono_siri1273,1sg,tupian.1sg.0014
SuruiDoPara_suru1261,1sg,tupian.1sg.0015
Tapiete_tapi1253,1sg,tupian.1sg.0014
Tapirape_tapi1254,1sg,tupian.1sg.0015
Tenetehara_temb1276,1sg,tupian.1sg.0014
