Language_ID,Feature_ID,Value
Cahuilla_cahu1264,1pl,utoaztecan.1pl.0001
CentralGuerreroNahuatl_guer1241,1pl,utoaztecan.1pl.0001
CentralGuerreroNahuatl_guer1241,1pl,utoaztecan.1pl.0001
CentralGuerreroNahuatl_guer1241,1pl,utoaztecan.1pl.0001
CentralGuerreroNahuatl_guer1241,1pl,utoaztecan.1pl.0001
CentralGuerreroNahuatl_guer1241,1pl,utoaztecan.1pl.0001
CentralHuastecaNahuatl_cent2134,1pl,utoaztecan.1pl.0001
CentralTarahumara_cent2131,1pl,utoaztecan.1pl.0001
ClassicalNahuatl_clas1250,1pl,utoaztecan.1pl.0001
CoatepecNahuatl_coat1240,1pl,utoaztecan.1pl.0001
CoatepecNahuatl_coat1240,1pl,utoaztecan.1pl.0001
CoatepecNahuatl_coat1240,1pl,utoaztecan.1pl.0001
Comanche_coma1245,1pl,utoaztecan.1pl.0002
Comanche_coma1245,1pl,utoaztecan.1pl.0003
Cupeno_cupe1243,1pl,utoaztecan.1pl.0001
EasternHuastecaNahuatl_east2538,1pl,utoaztecan.1pl.0001
ElNayarCora_elna1235,1pl,utoaztecan.1pl.0003
HighlandPueblaNahuatl_high1278,1pl,utoaztecan.1pl.0001
HighlandPueblaNahuatl_high1278,1pl,utoaztecan.1pl.0001
HighlandPueblaNahuatl_high1278,1pl,utoaztecan.1pl.0001
Hopi_hopi1249,1pl,utoaztecan.1pl.0001
Huarijio_huar1255,1pl,utoaztecan.1pl.0001
Huarijio_huar1255,1pl,utoaztecan.1pl.0001
Huarijio_huar1255,1pl,utoaztecan.1pl.0001
HuaxcalecaNahuatl_huax1236,1pl,utoaztecan.1pl.0001
Huichol_huic1243,1pl,utoaztecan.1pl.0001
Isthmus-MecayapanNahuatl_isth1242,1pl,utoaztecan.1pl.0001
Isthmus-MecayapanNahuatl_isth1242,1pl,utoaztecan.1pl.0001
Isthmus-PajapanNahuatl_isth1241,1pl,utoaztecan.1pl.0001
Kawaiisu_kawa1283,1pl,utoaztecan.1pl.0001
Kawaiisu_kawa1283,1pl,utoaztecan.1pl.0001
Luiseno-Juaneno_luis1253,1pl,utoaztecan.1pl.0001
Mayo_mayo1264,1pl,utoaztecan.1pl.0003
Mayo_mayo1264,1pl,utoaztecan.1pl.0004
Mayo_mayo1264,1pl,utoaztecan.1pl.0004
MichoacanNahuatl_mich1245,1pl,utoaztecan.1pl.0001
MonoUSA_mono1275,1pl,utoaztecan.1pl.0005
MorelosNahuatl_more1259,1pl,utoaztecan.1pl.0001
NahuatlSoutheasternPuebla_sout2973,1pl,utoaztecan.1pl.0001
NorthernOaxacaNahuatl_nort2958,1pl,utoaztecan.1pl.0001
NorthernPaiute_nort2954,1pl,utoaztecan.1pl.0001
NorthernPaiute_nort2954,1pl,utoaztecan.1pl.0001
NorthernPaiute_nort2954,1pl,utoaztecan.1pl.0001
NorthernPueblaNahuatl_nort2957,1pl,utoaztecan.1pl.0001
NorthernPueblaNahuatl_nort2957,1pl,utoaztecan.1pl.0001
NorthernTepehuan_nort2959,1pl,utoaztecan.1pl.0003
Panamint_pana1305,1pl,utoaztecan.1pl.0001
Panamint_pana1305,1pl,utoaztecan.1pl.0001
PimaBajo_pima1248,1pl,utoaztecan.1pl.0001
PimaBajo_pima1248,1pl,utoaztecan.1pl.0003
Pipil_pipi1250,1pl,utoaztecan.1pl.0001
Serrano_serr1255,1pl,utoaztecan.1pl.0001
Shoshoni_shos1248,1pl,utoaztecan.1pl.0001
SierraNegraNahuatl_sier1248,1pl,utoaztecan.1pl.0001
