Language_ID,Feature_ID,Value
Pei_peii1238,1pl,walioic.1pl.0001
Tuwari_tuwa1242,1pl,?
Walio_nucl1453,1pl,walioic.1pl.0002
Pei_peii1238,1sg,walioic.1sg.0003
Tuwari_tuwa1242,1sg,walioic.1sg.0004
Walio_nucl1453,1sg,walioic.1sg.0005
Pei_peii1238,2sg,walioic.2sg.0006
Tuwari_tuwa1242,2sg,walioic.2sg.0007
Tuwari_tuwa1242,2sg,walioic.2sg.0009
Walio_nucl1453,2sg,walioic.2sg.0008
Pei_peii1238,blood,walioic.blood.0010
Tuwari_tuwa1242,blood,walioic.blood.0011
Walio_nucl1453,blood,walioic.blood.0012
Pei_peii1238,bone,walioic.bone.0013
Tuwari_tuwa1242,bone,walioic.bone.0014
Walio_nucl1453,bone,walioic.bone.0015
Pei_peii1238,breast,walioic.breast.0016
Tuwari_tuwa1242,breast,walioic.breast.0017
Walio_nucl1453,breast,walioic.breast.0018
Pei_peii1238,come,walioic.come.0019
Tuwari_tuwa1242,come,walioic.come.0020
Walio_nucl1453,come,?
Pei_peii1238,die,?
Tuwari_tuwa1242,die,walioic.die.0021
Walio_nucl1453,die,?
Pei_peii1238,dog,walioic.dog.0022
Tuwari_tuwa1242,dog,walioic.dog.0023
Walio_nucl1453,dog,walioic.dog.0024
Pei_peii1238,drink,walioic.drink.0025
Tuwari_tuwa1242,drink,walioic.drink.0026
Walio_nucl1453,drink,?
Pei_peii1238,ear,walioic.ear.0027
Tuwari_tuwa1242,ear,walioic.ear.0028
Walio_nucl1453,ear,walioic.ear.0029
Pei_peii1238,eye,walioic.eye.0030
Tuwari_tuwa1242,eye,walioic.eye.0031
Walio_nucl1453,eye,walioic.eye.0032
Pei_peii1238,fire,walioic.fire.0033
Tuwari_tuwa1242,fire,walioic.fire.0033
Walio_nucl1453,fire,walioic.fire.0034
Pei_peii1238,fish,walioic.fish.0035
Tuwari_tuwa1242,fish,walioic.fish.0036
Walio_nucl1453,fish,walioic.fish.0037
Pei_peii1238,full,?
Tuwari_tuwa1242,full,walioic.full.0038
Walio_nucl1453,full,?
Pei_peii1238,hand,walioic.hand.0039
Tuwari_tuwa1242,hand,walioic.hand.0040
Walio_nucl1453,hand,walioic.hand.0041
Pei_peii1238,hear,walioic.hear.0042
Tuwari_tuwa1242,hear,walioic.hear.0043
Walio_nucl1453,hear,?
Pei_peii1238,knee,walioic.knee.0044
Tuwari_tuwa1242,knee,walioic.knee.0045
Tuwari_tuwa1242,knee,walioic.knee.0047
Walio_nucl1453,knee,walioic.knee.0046
Pei_peii1238,leaf,walioic.leaf.0048
Tuwari_tuwa1242,leaf,walioic.leaf.0049
Walio_nucl1453,leaf,walioic.leaf.0050
Pei_peii1238,liver,walioic.liver.0051
Tuwari_tuwa1242,liver,walioic.liver.0052
Walio_nucl1453,liver,walioic.liver.0053
Pei_peii1238,louse,walioic.louse.0054
Tuwari_tuwa1242,louse,walioic.louse.0055
Walio_nucl1453,louse,walioic.louse.0056
Pei_peii1238,mountain,walioic.mountain.0057
Tuwari_tuwa1242,mountain,walioic.mountain.0058
Walio_nucl1453,mountain,walioic.mountain.0059
Pei_peii1238,name,?
Tuwari_tuwa1242,name,walioic.name.0060
Walio_nucl1453,name,?
Pei_peii1238,new,walioic.new.0061
Tuwari_tuwa1242,new,walioic.new.0062
Walio_nucl1453,new,walioic.new.0063
Pei_peii1238,night,walioic.night.0064
Tuwari_tuwa1242,night,walioic.night.0065
Walio_nucl1453,night,walioic.night.0066
Pei_peii1238,nose,walioic.nose.0067
Tuwari_tuwa1242,nose,?
Walio_nucl1453,nose,walioic.nose.0068
Pei_peii1238,one,walioic.one.0069
Tuwari_tuwa1242,one,walioic.one.0070
Walio_nucl1453,one,walioic.one.0071
Pei_peii1238,path,walioic.path.0072
Tuwari_tuwa1242,path,walioic.path.0073
Walio_nucl1453,path,walioic.path.0074
Pei_peii1238,see,walioic.see.0075
Tuwari_tuwa1242,see,?
Walio_nucl1453,see,?
Pei_peii1238,skin,walioic.skin.0076
Tuwari_tuwa1242,skin,walioic.skin.0077
Walio_nucl1453,skin,walioic.skin.0078
Pei_peii1238,star,walioic.star.0079
Tuwari_tuwa1242,star,walioic.star.0080
Walio_nucl1453,star,walioic.star.0081
Pei_peii1238,stone,walioic.stone.0082
Tuwari_tuwa1242,stone,walioic.stone.0082
Walio_nucl1453,stone,walioic.stone.0083
Pei_peii1238,sun,walioic.sun.0084
Tuwari_tuwa1242,sun,walioic.sun.0084
Walio_nucl1453,sun,walioic.sun.0085
Pei_peii1238,tongue,walioic.tongue.0086
Tuwari_tuwa1242,tongue,walioic.tongue.0087
Walio_nucl1453,tongue,walioic.tongue.0088
Pei_peii1238,tooth,walioic.tooth.0089
Tuwari_tuwa1242,tooth,walioic.tooth.0089
Walio_nucl1453,tooth,walioic.tooth.0090
Pei_peii1238,tree,walioic.tree.0091
Tuwari_tuwa1242,tree,walioic.tree.0092
Walio_nucl1453,tree,walioic.tree.0093
Pei_peii1238,two,walioic.two.0094
Tuwari_tuwa1242,two,walioic.two.0095
Walio_nucl1453,two,walioic.two.0096
Pei_peii1238,water,walioic.water.0097
Tuwari_tuwa1242,water,walioic.water.0098
Walio_nucl1453,water,walioic.water.0099
