Language_ID,Feature_ID,Value
AnemeWake_anem1248,1pl,?
Moikodi_moik1239,1pl,?
Yareba_yare1248,1pl,yareban.1pl.0001
AnemeWake_anem1248,1sg,?
Moikodi_moik1239,1sg,?
Yareba_yare1248,1sg,yareban.1sg.0002
AnemeWake_anem1248,2sg,?
Moikodi_moik1239,2sg,?
Yareba_yare1248,2sg,yareban.2sg.0003
AnemeWake_anem1248,blood,yareban.blood.0004
Moikodi_moik1239,blood,yareban.blood.0004
Yareba_yare1248,blood,yareban.blood.0004
Yareba_yare1248,blood,yareban.blood.0005
AnemeWake_anem1248,bone,yareban.bone.0006
Moikodi_moik1239,bone,yareban.bone.0006
Yareba_yare1248,bone,yareban.bone.0006
AnemeWake_anem1248,breast,yareban.breast.0007
Moikodi_moik1239,breast,yareban.breast.0008
Yareba_yare1248,breast,yareban.breast.0007
AnemeWake_anem1248,come,?
Moikodi_moik1239,come,?
Yareba_yare1248,come,yareban.come.0009
Yareba_yare1248,come,yareban.come.0009
AnemeWake_anem1248,die,?
Moikodi_moik1239,die,?
Yareba_yare1248,die,yareban.die.0010
AnemeWake_anem1248,dog,yareban.dog.0011
Moikodi_moik1239,dog,yareban.dog.0012
Yareba_yare1248,dog,yareban.dog.0013
Yareba_yare1248,dog,yareban.dog.0014
AnemeWake_anem1248,drink,?
Moikodi_moik1239,drink,?
Yareba_yare1248,drink,yareban.drink.0015
AnemeWake_anem1248,ear,yareban.ear.0016
Moikodi_moik1239,ear,yareban.ear.0016
Yareba_yare1248,ear,yareban.ear.0016
AnemeWake_anem1248,eye,yareban.eye.0017
Moikodi_moik1239,eye,yareban.eye.0018
Yareba_yare1248,eye,yareban.eye.0019
Yareba_yare1248,eye,yareban.eye.0020
AnemeWake_anem1248,fire,yareban.fire.0021
Moikodi_moik1239,fire,yareban.fire.0021
Yareba_yare1248,fire,yareban.fire.0021
AnemeWake_anem1248,fish,yareban.fish.0022
Moikodi_moik1239,fish,yareban.fish.0023
Yareba_yare1248,fish,yareban.fish.0024
Yareba_yare1248,fish,yareban.fish.0025
AnemeWake_anem1248,full,yareban.full.0026
Moikodi_moik1239,full,yareban.full.0027
Yareba_yare1248,full,yareban.full.0026
Yareba_yare1248,full,yareban.full.0028
AnemeWake_anem1248,hand,yareban.hand.0029
Moikodi_moik1239,hand,yareban.hand.0029
Yareba_yare1248,hand,yareban.hand.0030
AnemeWake_anem1248,hear,?
Moikodi_moik1239,hear,?
Yareba_yare1248,hear,yareban.hear.0031
AnemeWake_anem1248,horn,yareban.horn.0032
Moikodi_moik1239,horn,yareban.horn.0032
Yareba_yare1248,horn,yareban.horn.0032
AnemeWake_anem1248,knee,yareban.knee.0033
Moikodi_moik1239,knee,yareban.knee.0033
Yareba_yare1248,knee,yareban.knee.0034
AnemeWake_anem1248,leaf,yareban.leaf.0035
Moikodi_moik1239,leaf,yareban.leaf.0035
Yareba_yare1248,leaf,yareban.leaf.0035
AnemeWake_anem1248,liver,yareban.liver.0036
Moikodi_moik1239,liver,yareban.liver.0037
Yareba_yare1248,liver,yareban.liver.0037
AnemeWake_anem1248,louse,yareban.louse.0038
Moikodi_moik1239,louse,yareban.louse.0038
Yareba_yare1248,louse,yareban.louse.0038
Yareba_yare1248,louse,yareban.louse.0039
AnemeWake_anem1248,mountain,yareban.mountain.0040
Moikodi_moik1239,mountain,yareban.mountain.0040
Yareba_yare1248,mountain,yareban.mountain.0041
AnemeWake_anem1248,name,yareban.name.0042
Moikodi_moik1239,name,yareban.name.0042
Yareba_yare1248,name,yareban.name.0043
AnemeWake_anem1248,new,yareban.new.0044
Moikodi_moik1239,new,yareban.new.0044
Yareba_yare1248,new,yareban.new.0045
AnemeWake_anem1248,night,yareban.night.0046
Moikodi_moik1239,night,yareban.night.0046
Yareba_yare1248,night,yareban.night.0046
AnemeWake_anem1248,nose,yareban.nose.0047
Moikodi_moik1239,nose,yareban.nose.0047
Yareba_yare1248,nose,yareban.nose.0047
AnemeWake_anem1248,one,yareban.one.0048
Moikodi_moik1239,one,yareban.one.0048
Yareba_yare1248,one,yareban.one.0048
Yareba_yare1248,one,yareban.one.0048
AnemeWake_anem1248,path,yareban.path.0049
Moikodi_moik1239,path,yareban.path.0049
Yareba_yare1248,path,yareban.path.0049
Yareba_yare1248,path,yareban.path.0050
AnemeWake_anem1248,person,yareban.person.0051
Moikodi_moik1239,person,yareban.person.0052
Yareba_yare1248,person,?
AnemeWake_anem1248,see,?
Moikodi_moik1239,see,?
Yareba_yare1248,see,yareban.see.0053
AnemeWake_anem1248,skin,yareban.skin.0054
Moikodi_moik1239,skin,yareban.skin.0054
Yareba_yare1248,skin,yareban.skin.0054
AnemeWake_anem1248,star,yareban.star.0055
Moikodi_moik1239,star,yareban.star.0056
Yareba_yare1248,star,yareban.star.0055
Yareba_yare1248,star,yareban.star.0057
AnemeWake_anem1248,stone,yareban.stone.0058
Moikodi_moik1239,stone,yareban.stone.0059
Yareba_yare1248,stone,yareban.stone.0058
Yareba_yare1248,stone,yareban.stone.0059
AnemeWake_anem1248,sun,yareban.sun.0060
Moikodi_moik1239,sun,yareban.sun.0060
Yareba_yare1248,sun,yareban.sun.0060
Yareba_yare1248,sun,yareban.sun.0061
AnemeWake_anem1248,tongue,yareban.tongue.0062
Moikodi_moik1239,tongue,yareban.tongue.0062
Yareba_yare1248,tongue,yareban.tongue.0062
Yareba_yare1248,tongue,yareban.tongue.0063
AnemeWake_anem1248,tooth,yareban.tooth.0064
Moikodi_moik1239,tooth,yareban.tooth.0064
Yareba_yare1248,tooth,yareban.tooth.0064
AnemeWake_anem1248,tree,yareban.tree.0065
Moikodi_moik1239,tree,yareban.tree.0065
Yareba_yare1248,tree,yareban.tree.0066
AnemeWake_anem1248,two,yareban.two.0067
Moikodi_moik1239,two,yareban.two.0068
Yareba_yare1248,two,yareban.two.0069
Yareba_yare1248,two,yareban.two.0070
AnemeWake_anem1248,water,yareban.water.0071
Moikodi_moik1239,water,yareban.water.0071
Yareba_yare1248,water,yareban.water.0072
