Language_ID,Feature_ID,Value
Arin_arin1243,1pl,yeniseian.1pl.0001
Ket_kett1243,1pl,yeniseian.1pl.0002
Ket_kett1243,1pl,yeniseian.1pl.0002
Ket_kett1243,1pl,yeniseian.1pl.0003
Ket_kett1243,1pl,yeniseian.1pl.0006
Kott-Assan_kott1239,1pl,yeniseian.1pl.0004
Yugh_yugh1239,1pl,yeniseian.1pl.0005
Yugh_yugh1239,1pl,yeniseian.1pl.0005
Arin_arin1243,1sg,yeniseian.1sg.0007
Arin_arin1243,1sg,yeniseian.1sg.0010
Ket_kett1243,1sg,yeniseian.1sg.0008
Ket_kett1243,1sg,yeniseian.1sg.0008
Ket_kett1243,1sg,yeniseian.1sg.0008
Ket_kett1243,1sg,yeniseian.1sg.0012
Kott-Assan_kott1239,1sg,yeniseian.1sg.0009
Kott-Assan_kott1239,1sg,yeniseian.1sg.0011
Yugh_yugh1239,1sg,yeniseian.1sg.0008
Arin_arin1243,2sg,yeniseian.2sg.0013
Ket_kett1243,2sg,yeniseian.2sg.0013
Ket_kett1243,2sg,yeniseian.2sg.0013
Kott-Assan_kott1239,2sg,yeniseian.2sg.0013
Yugh_yugh1239,2sg,yeniseian.2sg.0013
Yugh_yugh1239,2sg,yeniseian.2sg.0013
Arin_arin1243,blood,yeniseian.blood.0014
Ket_kett1243,blood,yeniseian.blood.0014
Ket_kett1243,blood,yeniseian.blood.0014
Kott-Assan_kott1239,blood,yeniseian.blood.0014
Yugh_yugh1239,blood,yeniseian.blood.0014
Yugh_yugh1239,blood,yeniseian.blood.0014
Arin_arin1243,bone,?
Ket_kett1243,bone,yeniseian.bone.0015
Ket_kett1243,bone,yeniseian.bone.0015
Kott-Assan_kott1239,bone,yeniseian.bone.0016
Yugh_yugh1239,bone,yeniseian.bone.0015
Yugh_yugh1239,bone,yeniseian.bone.0015
Arin_arin1243,breast,yeniseian.breast.0017
Arin_arin1243,breast,yeniseian.breast.0017
Ket_kett1243,breast,yeniseian.breast.0018
Ket_kett1243,breast,yeniseian.breast.0018
Ket_kett1243,breast,yeniseian.breast.0019
Ket_kett1243,breast,yeniseian.breast.0022
Kott-Assan_kott1239,breast,yeniseian.breast.0020
Kott-Assan_kott1239,breast,yeniseian.breast.0021
Yugh_yugh1239,breast,yeniseian.breast.0018
Yugh_yugh1239,breast,yeniseian.breast.0019
Arin_arin1243,come,?
Ket_kett1243,come,yeniseian.come.0023
Kott-Assan_kott1239,come,yeniseian.come.0024
Yugh_yugh1239,come,yeniseian.come.0025
Arin_arin1243,die,yeniseian.die.0026
Ket_kett1243,die,yeniseian.die.0027
Kott-Assan_kott1239,die,yeniseian.die.0028
Kott-Assan_kott1239,die,yeniseian.die.0030
Yugh_yugh1239,die,yeniseian.die.0029
Arin_arin1243,dog,yeniseian.dog.0031
Arin_arin1243,dog,yeniseian.dog.0031
Arin_arin1243,dog,yeniseian.dog.0031
Ket_kett1243,dog,yeniseian.dog.0031
Ket_kett1243,dog,yeniseian.dog.0031
Ket_kett1243,dog,yeniseian.dog.0031
Kott-Assan_kott1239,dog,yeniseian.dog.0031
Yugh_yugh1239,dog,yeniseian.dog.0031
Yugh_yugh1239,dog,yeniseian.dog.0031
Arin_arin1243,drink,yeniseian.drink.0032
Arin_arin1243,drink,yeniseian.drink.0036
Ket_kett1243,drink,yeniseian.drink.0033
Ket_kett1243,drink,yeniseian.drink.0033
Ket_kett1243,drink,yeniseian.drink.0034
Ket_kett1243,drink,yeniseian.drink.0034
Ket_kett1243,drink,yeniseian.drink.0038
Ket_kett1243,drink,yeniseian.drink.0038
Kott-Assan_kott1239,drink,yeniseian.drink.0035
Kott-Assan_kott1239,drink,yeniseian.drink.0037
Yugh_yugh1239,drink,yeniseian.drink.0033
Yugh_yugh1239,drink,yeniseian.drink.0033
Yugh_yugh1239,drink,yeniseian.drink.0033
Arin_arin1243,ear,yeniseian.ear.0039
Arin_arin1243,ear,yeniseian.ear.0039
Arin_arin1243,ear,yeniseian.ear.0042
Ket_kett1243,ear,yeniseian.ear.0040
Ket_kett1243,ear,yeniseian.ear.0040
Ket_kett1243,ear,yeniseian.ear.0040
Ket_kett1243,ear,yeniseian.ear.0043
Kott-Assan_kott1239,ear,yeniseian.ear.0041
Kott-Assan_kott1239,ear,yeniseian.ear.0044
Yugh_yugh1239,ear,yeniseian.ear.0040
Yugh_yugh1239,ear,yeniseian.ear.0040
Arin_arin1243,eye,yeniseian.eye.0045
Arin_arin1243,eye,yeniseian.eye.0047
Ket_kett1243,eye,yeniseian.eye.0046
Ket_kett1243,eye,yeniseian.eye.0046
Kott-Assan_kott1239,eye,yeniseian.eye.0046
Kott-Assan_kott1239,eye,yeniseian.eye.0047
Kott-Assan_kott1239,eye,yeniseian.eye.0048
Yugh_yugh1239,eye,yeniseian.eye.0046
Yugh_yugh1239,eye,yeniseian.eye.0046
Arin_arin1243,fire,yeniseian.fire.0049
Arin_arin1243,fire,yeniseian.fire.0049
Arin_arin1243,fire,yeniseian.fire.0049
Ket_kett1243,fire,yeniseian.fire.0050
Ket_kett1243,fire,yeniseian.fire.0050
Kott-Assan_kott1239,fire,yeniseian.fire.0049
Kott-Assan_kott1239,fire,yeniseian.fire.0049
Kott-Assan_kott1239,fire,yeniseian.fire.0049
Yugh_yugh1239,fire,yeniseian.fire.0050
Yugh_yugh1239,fire,yeniseian.fire.0050
Yugh_yugh1239,fire,yeniseian.fire.0050
Arin_arin1243,fish,yeniseian.fish.0051
Ket_kett1243,fish,yeniseian.fish.0051
Ket_kett1243,fish,yeniseian.fish.0052
Ket_kett1243,fish,yeniseian.fish.0052
Ket_kett1243,fish,yeniseian.fish.0052
Ket_kett1243,fish,yeniseian.fish.0052
Kott-Assan_kott1239,fish,yeniseian.fish.0053
Kott-Assan_kott1239,fish,yeniseian.fish.0053
Yugh_yugh1239,fish,yeniseian.fish.0052
Yugh_yugh1239,fish,yeniseian.fish.0052
Arin_arin1243,full,?
Ket_kett1243,full,?
Kott-Assan_kott1239,full,?
Yugh_yugh1239,full,yeniseian.full.0054
Arin_arin1243,hand,yeniseian.hand.0055
Arin_arin1243,hand,yeniseian.hand.0057
Arin_arin1243,hand,yeniseian.hand.0060
Ket_kett1243,hand,yeniseian.hand.0056
Ket_kett1243,hand,yeniseian.hand.0056
Ket_kett1243,hand,yeniseian.hand.0057
Ket_kett1243,hand,yeniseian.hand.0059
Ket_kett1243,hand,yeniseian.hand.0061
Ket_kett1243,hand,yeniseian.hand.0061
Kott-Assan_kott1239,hand,yeniseian.hand.0057
Kott-Assan_kott1239,hand,yeniseian.hand.0057
Kott-Assan_kott1239,hand,yeniseian.hand.0057
Yugh_yugh1239,hand,yeniseian.hand.0058
Yugh_yugh1239,hand,yeniseian.hand.0058
Arin_arin1243,hear,yeniseian.hear.0062
Ket_kett1243,hear,?
Kott-Assan_kott1239,hear,yeniseian.hear.0063
Yugh_yugh1239,hear,yeniseian.hear.0064
Arin_arin1243,horn,?
Ket_kett1243,horn,yeniseian.horn.0065
Ket_kett1243,horn,yeniseian.horn.0066
Ket_kett1243,horn,yeniseian.horn.0066
Kott-Assan_kott1239,horn,?
Yugh_yugh1239,horn,yeniseian.horn.0067
Yugh_yugh1239,horn,yeniseian.horn.0067
Arin_arin1243,knee,yeniseian.knee.0068
Ket_kett1243,knee,yeniseian.knee.0069
Ket_kett1243,knee,yeniseian.knee.0069
Ket_kett1243,knee,yeniseian.knee.0069
Kott-Assan_kott1239,knee,yeniseian.knee.0070
Yugh_yugh1239,knee,yeniseian.knee.0069
Yugh_yugh1239,knee,yeniseian.knee.0069
Yugh_yugh1239,knee,yeniseian.knee.0069
Arin_arin1243,leaf,yeniseian.leaf.0071
Arin_arin1243,leaf,yeniseian.leaf.0071
Ket_kett1243,leaf,yeniseian.leaf.0071
Ket_kett1243,leaf,yeniseian.leaf.0071
Ket_kett1243,leaf,yeniseian.leaf.0072
Kott-Assan_kott1239,leaf,yeniseian.leaf.0071
Kott-Assan_kott1239,leaf,yeniseian.leaf.0071
Yugh_yugh1239,leaf,yeniseian.leaf.0072
Yugh_yugh1239,leaf,yeniseian.leaf.0073
Arin_arin1243,liver,yeniseian.liver.0074
Ket_kett1243,liver,yeniseian.liver.0075
Kott-Assan_kott1239,liver,yeniseian.liver.0074
Yugh_yugh1239,liver,?
Arin_arin1243,louse,yeniseian.louse.0076
Ket_kett1243,louse,?
Kott-Assan_kott1239,louse,yeniseian.louse.0077
Yugh_yugh1239,louse,yeniseian.louse.0078
Yugh_yugh1239,louse,yeniseian.louse.0078
Arin_arin1243,mountain,yeniseian.mountain.0079
Arin_arin1243,mountain,yeniseian.mountain.0084
Ket_kett1243,mountain,yeniseian.mountain.0080
Ket_kett1243,mountain,yeniseian.mountain.0081
Ket_kett1243,mountain,yeniseian.mountain.0085
Kott-Assan_kott1239,mountain,yeniseian.mountain.0082
Kott-Assan_kott1239,mountain,yeniseian.mountain.0086
Kott-Assan_kott1239,mountain,yeniseian.mountain.0086
Kott-Assan_kott1239,mountain,yeniseian.mountain.0088
Yugh_yugh1239,mountain,yeniseian.mountain.0083
Yugh_yugh1239,mountain,yeniseian.mountain.0083
Yugh_yugh1239,mountain,yeniseian.mountain.0087
Yugh_yugh1239,mountain,yeniseian.mountain.0087
Arin_arin1243,name,?
Ket_kett1243,name,yeniseian.name.0089
Kott-Assan_kott1239,name,?
Yugh_yugh1239,name,yeniseian.name.0089
Yugh_yugh1239,name,yeniseian.name.0089
Arin_arin1243,new,yeniseian.new.0090
Ket_kett1243,new,yeniseian.new.0091
Kott-Assan_kott1239,new,yeniseian.new.0091
Yugh_yugh1239,new,yeniseian.new.0091
Yugh_yugh1239,new,yeniseian.new.0092
Yugh_yugh1239,new,yeniseian.new.0093
Arin_arin1243,night,yeniseian.night.0094
Ket_kett1243,night,yeniseian.night.0094
Ket_kett1243,night,yeniseian.night.0094
Ket_kett1243,night,yeniseian.night.0094
Kott-Assan_kott1239,night,yeniseian.night.0095
Yugh_yugh1239,night,yeniseian.night.0094
Yugh_yugh1239,night,yeniseian.night.0094
Arin_arin1243,nose,yeniseian.nose.0096
Ket_kett1243,nose,yeniseian.nose.0097
Ket_kett1243,nose,yeniseian.nose.0097
Ket_kett1243,nose,yeniseian.nose.0097
Ket_kett1243,nose,yeniseian.nose.0097
Kott-Assan_kott1239,nose,yeniseian.nose.0097
Yugh_yugh1239,nose,yeniseian.nose.0097
Yugh_yugh1239,nose,yeniseian.nose.0097
Arin_arin1243,one,yeniseian.one.0098
Arin_arin1243,one,yeniseian.one.0098
Arin_arin1243,one,yeniseian.one.0098
Arin_arin1243,one,yeniseian.one.0098
Ket_kett1243,one,yeniseian.one.0098
Ket_kett1243,one,yeniseian.one.0098
Ket_kett1243,one,yeniseian.one.0098
Ket_kett1243,one,yeniseian.one.0098
Ket_kett1243,one,yeniseian.one.0098
Ket_kett1243,one,yeniseian.one.0098
Kott-Assan_kott1239,one,yeniseian.one.0098
Kott-Assan_kott1239,one,yeniseian.one.0099
Yugh_yugh1239,one,yeniseian.one.0098
Yugh_yugh1239,one,yeniseian.one.0098
Yugh_yugh1239,one,yeniseian.one.0098
