Glottocode	Doculect
aari1239	ARI
aasa1238	AASAX
abad1241	GABADI
abag1245	ABAGA
aban1242	ABANYOM
abar1238	MISSONG
abau1245	ABAU_2
abaz1241	ABAZA
abee1242	ABBEY
abid1235	ABIDJI_2
abin1243	ABINOMN
abip1241	ABIPON
abkh1244	ABKHAZ_2
abro1238	ABRON_2
abua1244	ABUA
abua1245	ABU_2
abui1241	ABUI
abur1243	ABURE_3
acat1239	TEOCUITLAPA_MEPHAA
acha1249	ACHANG
acha1250	ACHAGUA
ache1246	ACHE
achi1256	KICHEE_RABINAL
achi1257	ACEH
achu1247	ACHUMAWI
achu1248	ACHUAR
acol1236	ACHOLI
adam1253	FULFULDE_ADAMAWA
adan1247	DANGME
adan1248	ADANGBE
adan1251	ADANG
adho1243	ADHOLA
adio1239	ADIOUKROU_2
adiv1239	ORIYA_KOTIA
adyg1241	ADYGHE_2
adze1240	ADZERA
afar1241	AFAR
afit1238	AFITTI
afri1274	AFRIKAANS
agar1252	GADSUP_AGARABI
aghe1239	AGHEM_2
aghu1253	AGUL
aghu1256	AGHU_THARRNGGALA
agii1245	AGI_AGEI
agob1244	AGOB_DABU
agoi1246	AGOI
agua1252	AGUACATEC
agua1253	AGUARUNA
agwa1247	AGWAGWUNE_5
ahan1243	AHANTE
aheu1239	THAVUNG_SO
ahin1234	KALLAHAN_KAYAPA_PROPER
ahte1237	AHTNA
ahwa1235	NDUN
aich1238	TAIYANG_AI_CHAM_2
aika1237	AIKANA
aime1238	AIMELE
ainu1240	HOKKAIDO_AINU
ainu1251	AYNU
aiom1240	AIOME
airo1242	ADORA
ajab1235	AJAGBE
ajas1235	AJA
ajie1238	AJIE
ajyi1238	AJYININKA_APURUCAYALI
akab1248	AKA_BO
akab1249	AKA_BEA
akac1240	AKA_CARI
akak1251	AKA_KORA
akak1252	AKA_KEDE
akak1253	AKA_KOL
akan1250	TWI_ASANTE
akar1243	AKAR_BALE
akaw1239	AKAWAIO_2
akee1238	AKE
akei1237	AKEI
akha1245	AKHA
akhv1239	AKHVAKH
akka1240	AKKADIAN
akkk1240	AK
akla1241	AKLANON
akol1237	AKOLET
akoo1248	BAKOSSI
akoy1238	LOHIKI
akpe1248	AKUNNU
akru1241	AKUKRAY
akum1238	AKUM
alab1237	ALABAMA
alag1248	ALAGWA
alam1246	ALAMBLAK
alba1267	STANDARD_ALBANIAN
alco1235	MIXTEC_ALCOZAUCA
alek1238	ALEKANO
aleu1260	ALEUT
alge1239	DELLYS
algo1255	ALGONQUIN
alii1240	ALI
alla1248	ALLADIAN_2
aloa1235	ALOAPAM_ZAPOTEC
alor1247	ALOR
alse1251	ALSEA
alum1246	TESU
alun1238	ALUNE
alur1250	ALUR
alut1245	ALUTOR
alya1239	ALYAWARRA
amah1245	AMAHAI
amah1246	AMAHUACA
amai1246	AMAIMON
amap1240	AMA_3
amar1271	AMURDAK
amar1272	AMARA
amar1274	AMARAKAERI
amas1236	AMA_AFRICA
amat1238	AMATLAN_ZAPOTEC
amba1265	AMBAI
amba1269	AMBAKICH
ambe1247	AMBELE_2
ambl1237	AMBLONG
ambo1250	AMBONESE_MALAY
ambu1247	AMBULAS
amda1238	AMDANG
amdo1237	MAQU_TIBETAN
amel1241	AMELE
amga1235	IFUGAO_AMGANAD
amha1245	AMHARIC
amis1246	C_AMIS
amol1235	AMOL
amoo1242	AMO
ampa1238	AMPARI_PA
amri1238	AMRI_KARBI
amun1246	AMONDAVA
anaa1238	ANAANG
anak1240	ANAKALANG
anam1247	PONDOMA
anam1248	IKUNDUN
anat1248	ANA_TINGA
anci1242	GREEK_ANCIENT
anci1244	BIBLICAL_HEBREW
anda1284	ANDARUM
anda1286	ANDAQUI
andi1255	ANDI
andr1248	HUS
anei1239	ANEITYUM_2
anem1248	ANEME_WAKE
anem1249	ANEM
anfi1235	SOUTHERN_MAO
anga1290	ANGAATAHA
anga1292	ANGAL_HENENG
anga1293	ANGAL
anga1316	SANAPANA_ANGAITE
angg1239	ANGGURUK_YALI
ango1254	ANGOR
ango1255	ANGORAM_2
angu1242	ANGUTHIMRI
anii1245	ANII
anii1246	ANI
anim1239	ANIMERE
anka1246	ANKAVE
anor1241	ANOR_2
ansu1237	ANSUS
anta1255	MALAGASY_ANATANKARANA_ANTALAHA
anua1242	ANYUAK
anuf1239	ANUFO
anuk1239	ANUKI
anut1237	ANUTA
anuu1241	HKONGSO
anyi1245	ANYI
aore1237	AORE
aoua1234	ZHENFENG_GELAO
apal1256	EMERUM
apal1257	APALAI
apat1240	APATANI
apia1248	APIAKA
apin1244	APINAYE
apma1240	APMA
apma1241	AP_MA
